# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
1|하늘에 있는 무언가를 바라보고 있었더니|そらに ある なにかを みつめてたら|見つめる=지그시 바라보다. 〜てたら=〜ていたら(〜하고 있었더니)
2|그건 별이라고 네가 가르쳐 줬어|それは ほしだって きみが おしえて くれた|〜だって=〜だと(인용). 〜てくれた=(나에게) 〜해 줬다
3|마치 그건 우리처럼 꼭 붙어 있어|まるで それは ぼくら みたいに よりそってる|まるで〜みたいに=마치 〜처럼. 寄り添う=바싹 다가붙다·기대다
4|그걸 울고 웃으며 이어 가|それを ないたり わらったり つないで いく|〜たり〜たり=〜하기도 하고 〜하기도 하고. 繋いでいく=이어 가다
5|몇십 번 몇백 번 서로 부딪치고|なんじゅっかい なんびゃっかい ぶつかりあって|何十回=몇십 번. 〜あう=서로 〜하다(ぶつかり合う)
6|몇십 년 몇백 년 옛날의 빛이|なんじゅうねん なんびゃくねん むかしの ひかりが|별빛은 수십·수백 년 전의 빛. 昔=옛날
7|별 자신도 잊었을 무렵에|ほし じしんも わすれた ころに|自身=자신. 〜たころに=〜했을 무렵에
8|우리에게 닿고 있어|ぼくらに とどいてる|届く=닿다·도착하다. 〜てる=〜ている
9|우리는 서로를 찾아내고 끌어당겨|ぼくら みつけあって たぐりあって|見つけ合う=서로 찾다. 手繰る=(줄을) 끌어당기다
10|같은 하늘에서|おなじ そら|同じ=같은
11|빛나겠다고, 둘이서라고|かがやくのだって ふたりだって|〜だって(인용) 「빛나겠다」「둘이서」라고 (약속했다)
12|약속했어|やくそく した|約束する=약속하다
13|아득히 멀리 끝나지 않는 베텔게우스|はるか とおく おわらない ベテルギウス|遥か=아득히. ベテルギウス=오리온자리의 붉은 별
14|누군가에게 잇는 마법|だれかに つなぐ まほう|繋ぐ=잇다·연결하다. 魔法=마법
15|우리는 어깨를 나란히, 손을 맞잡고|ぼくら かたならべ てとりあって|肩を並べる=어깨를 나란히 하다. 手を取り合う=서로 손을 잡다
16|나아가|すすんでく|進んでいく의 줄임(進んでく)
17|힘든 때라도, 울지 않겠다고|つらい ときだって なかないって|〜だって=〜라도. 〜ないって=〜하지 않겠다고(인용)
18|맹세했잖아|ちかっただろう|誓う=맹세하다. 〜だろう=〜잖아·〜했지(확인)
19|아득히 멀리 끝나지 않는 베텔게우스|はるか とおく おわらない ベテルギウス|13번과 같음
20|너에게도 보일 거야, 기도가|きみにも みえるだろう いのりが|見える=보이다. 祈り=기도. 어순 도치(祈りが見えるだろう)
21|기억을 더듬을 때마다 되살아나|きおくを たどる たび よみがえるよ|辿る=더듬다·따라가다. 〜たび(に)=〜할 때마다. 蘇る=되살아나다
22|네가 언제나 거기 있어 준다는 것|きみが いつだって そこに いて くれる こと|いつだって=언제든. 居てくれる=있어 주다. 〜こと=〜라는 것(명사화)
23|마치 그건 별의 빛과 똑같이|まるで それは ほしの ひかりと おなじ ように|〜と同じように=〜와 똑같이
24|오늘을 울고 웃으며 이어 가|きょうに ないたり わらったり つないで いく|4번 참고. 今日に=오늘로·오늘에
25|몇십 번 몇백 번 서로 부딪치고|なんじゅっかい なんびゃっかい ぶつかりあって|5번과 같음
26|몇십 년 몇백 년 옛날의 빛이|なんじゅうねん なんびゃくねん むかしの ひかりが|6번과 같음
27|나 자신도 잊었을 무렵에|ぼく じしんも わすれた ころに|7번의 星→僕
28|우리를 비추고 있어|ぼくらを てらしてる|照らす=비추다
29|우리는 서로를 찾아내고 끌어당겨|ぼくら みつけあって たぐりあって|9번과 같음
30|같은 하늘에서|おなじ そら|
31|빛나겠다고, 둘이서라고|かがやくのだって ふたりだって|11번과 같음
32|약속했어|やくそく した|
33|아득히 멀리 끝나지 않는 베텔게우스|はるか とおく おわらない ベテルギウス|
34|누군가에게 잇는 마법|だれかに つなぐ まほう|
35|어디까지, 언제까지 살 수 있을까|どこまで いつまで いきられるか|生きられる=살 수 있다(가능형). 〜か=〜일까
36|네가 불안해질 때마다 강한 척을 해|きみが ふあんに なる たびに つよがるんだ|不安になる=불안해지다. 強がる=강한 척하다. 〜んだ=〜하는 거야
37|괜찮아, 내가 옆에 있어|だいじょうぶ ぼくが よこに いるよ|横にいる=옆에 있다
38|보이지 않는 선을 잇자|みえない せんを つなごう|繋ごう=繋ぐ의 의지형(잇자)
39|우리는 서로를 찾아내고 끌어당겨|ぼくら みつけあって たぐりあって|
40|같은 하늘에서|おなじ そら|
41|빛나겠다고, 둘이서라고|かがやくのだって ふたりだって|
42|약속했어|やくそく した|
43|아득히 멀리 끝나지 않는 베텔게우스|はるか とおく おわらない ベテルギウス|
44|누군가에게 잇는 마법|だれかに つなぐ まほう|
45|우리는 어깨를 나란히, 손을 맞잡고|ぼくら かたならべ てとりあって|15번과 같음
46|나아가|すすんでく|
47|힘든 때라도, 둘이서라고|つらい ときだって ふたりだって|17번의 泣かない→二人
48|맹세했잖아|ちかっただろう|
49|아득히 멀리 끝나지 않는 베텔게우스|はるか とおく おわらない ベテルギウス|
50|너에게도 보일 거야, 기도가|きみにも みえるだろう いのりが|
51|하늘에 있는 무언가를 바라보고 있었더니|そらに ある なにかを みつめてたら|1번과 같음
52|그건 별이라고 네가 가르쳐 줬어|それは ほしだって きみが おしえて くれた|2번과 같음
