# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|見つめてたら|みつめてたら|바라보고 있었더니|見つめる+ていたら(〜てたら 줄임). 「〜하고 있었더니 (뜻밖에)」
E|〜だって|〜だって|〜라고 (인용)|星だって=별이라고. 〜だと 의 회화체
E|おしえてくれた|おしえてくれた|가르쳐 줬어|〜てくれる=(남이 나에게) 〜해 주다. 과거 くれた
E|まるで〜みたいに|まるで〜みたいに|마치 〜처럼|まるで(마치)와 みたいに(〜처럼)가 짝을 이룬다
E|泣いたり笑ったり|ないたり わらったり|울기도 하고 웃기도 하며|〜たり〜たり(する)=〜하기도 하고 〜하기도 하다
E|繋いでいく|つないで いく|이어 가다|〜ていく=〜해 가다(앞으로 계속)
E|ぶつかりあって|ぶつかりあって|서로 부딪치고|동사+合う=서로 〜하다. ぶつかる=부딪치다
E|忘れたころに|わすれた ころに|잊었을 무렵에|〜たころ(に)=〜했을 무렵(에)
E|届いてる|とどいてる|닿고 있어|届く=닿다·도착하다. 〜てる=〜ている 줄임
E|見つけあって|みつけあって|서로 찾아내고|見つける+合う
E|輝くのだって|かがやくのだって|빛나겠다고|〜のだって=〜하는 거라고(인용). 輝く=빛나다
E|約束した|やくそく した|약속했어|約束する=약속하다
E|終わらない|おわらない|끝나지 않는|終わる의 부정 연체형. 終わらない〜=끝나지 않는 〜
E|手取り合って|てとりあって|손을 맞잡고|手を取り合う=서로 손을 잡다
E|泣かないって|なかないって|울지 않겠다고|〜ないって=〜하지 않는다고(인용·다짐)
E|誓っただろう|ちかっただろう|맹세했잖아|〜ただろう=〜했잖아·〜했지?(확인)
E|見えるだろう|みえるだろう|보일 거야|見える=보이다. 〜だろう=〜일 거야(추측)
E|辿るたび|たどる たび|더듬을 때마다|〜たび(に)=〜할 때마다
E|いつだって|いつだって|언제든|いつでも 의 강조형
E|居てくれること|いて くれる こと|있어 준다는 것|居る+てくれる+こと(명사화)
E|同じように|おなじ ように|똑같이·마찬가지로|〜と同じように=〜와 같이
E|生きられるか|いきられるか|살 수 있을까|生きる의 가능형 生きられる + か
E|不安になるたびに|ふあんに なる たびに|불안해질 때마다|형용동사+になる=〜해지다
E|強がるんだ|つよがるんだ|강한 척을 해|〜がる=〜한 척하다·〜해하다. 〜んだ=〜하는 거야
E|横にいるよ|よこに いるよ|옆에 있어|横=옆. 〜よ=〜야(알려 줌)
E|繋ごう|つなごう|잇자|繋ぐ의 의지형(〜(よ)う)=〜하자
E|進んでく|すすんでく|나아가|進んでいく 의 줄임(〜てく)
# --- 단어 ---------------------------------------------------
V|空|そら|하늘|空(そら)=하늘, 空(から)=빈
V|星|ほし|별|
V|何か|なにか|무언가|何(なに)+か
V|僕ら|ぼくら|우리(남성)|僕(나)+ら(들)
V|寄り添ってる|よりそってる|바싹 붙어 있다|寄り添う=바싹 다가붙다·곁에 있다
V|何十回|なんじゅっかい|몇십 번|何十(몇십)+回(번)
V|何百年|なんびゃくねん|몇백 년|
V|昔|むかし|옛날|
V|光|ひかり|빛|光る(빛나다)의 명사형
V|自身|じしん|자신|星自身=별 자신
V|手繰りあって|たぐりあって|서로 끌어당겨|手繰る=(줄을) 손으로 끌어당기다
V|同じ|おなじ|같은|
V|二人|ふたり|둘이서·두 사람|
V|遥か|はるか|아득히|遥か遠く=아득히 멀리
V|遠く|とおく|멀리|遠い(멀다)의 부사형
V|魔法|まほう|마법|
V|肩並べ|かたならべ|어깨를 나란히|肩を並べる=나란히 서다·어깨를 나란히 하다
V|辛い|つらい|괴롭다·힘들다|辛い(からい)=맵다 와 한자가 같음
V|祈り|いのり|기도|祈る(빌다)의 명사형
V|記憶|きおく|기억|
V|蘇るよ|よみがえるよ|되살아나|蘇る=되살아나다
V|照らしてる|てらしてる|비추고 있어|照らす=비추다
V|大丈夫|だいじょうぶ|괜찮아|
V|見えない|みえない|보이지 않는|見える(보이다)의 부정
V|線|せん|선|
