# 한자 훈음 사전. 형식: 漢字|훈 음   (카드에 나오는 한자 전부. 빌드가 누락을 검사한다)
山|메 산
田|밭 전
僕|종 복
何|어찌 하
見|볼 견
人|사람 인
食|밥 식
本|근본 본
今|이제 금
日|날 일
殺|죽일 살
言|말씀 언
違|어긋날 위
気|기운 기
知|알 지
一|한 일
子|아들 자
好|좋을 호
女|여자 녀
面|낯 면
書|글 서
白|흰 백
当|마땅 당
頭|머리 두
中|가운데 중
考|생각할 고
時|때 시
私|사사 사
間|사이 간
存|있을 존
政|정사 정
党|무리 당
思|생각 사
俺|나 엄
前|앞 전
猫|고양이 묘
感|느낄 감
来|올 래
最|가장 최
美|아름다울 미
顔|낯 안
死|죽을 사
体|몸 체
想|생각 상
自|스스로 자
教|가르칠 교
待|기다릴 대
発|필 발
表|겉 표
持|가질 지
全|온전할 전
作|지을 작
在|있을 재
二|두 이
出|날 출
太|클 태
読|읽을 독
学|배울 학
危|위태할 위
誰|누구 수
杏|살구 행
奈|어찌 나
雑|섞일 잡
誌|기록할 지
綺|비단 기
麗|고울 려
痛|아플 통
下|아래 하
絶|끊을 절
対|대할 대
後|뒤 후
妄|망령될 망
夜|밤 야
返|돌이킬 반
室|집 실
会|모일 회
研|갈 연
究|연구할 구
戮|죽일 륙
始|비로소 시
引|끌 인
使|부릴 사
行|다닐 행
入|들 입
握|쥘 악
班|나눌 반
昨|어제 작
部|떼 부
確|굳을 확
制|절제할 제
調|고를 조
大|큰 대
皆|다 개
結|맺을 결
泣|울 읍
分|나눌 분
月|달 월
号|이름 호
身|몸 신
長|길 장
的|과녁 적
意|뜻 의
高|높을 고
方|모 방
特|특별할 특
失|잃을 실
喧|시끄러울 훤
嘩|시끄러울 화
仕|섬길 사
近|가까울 근
者|놈 자
買|살 매
世|인간 세
界|지경 계
無|없을 무
波|물결 파
転|구를 전
車|수레 차
市|저자 시
川|내 천
投|던질 투
平|평평할 평
和|화할 화
満|찰 만
均|고를 균
衡|저울대 형
常|떳떳할 상
血|피 혈
飢|주릴 기
獣|짐승 수
衝|찌를 충
動|움직일 동
抑|누를 억
校|학교 교
苦|쓸 고
歪|비뚤 왜
悔|뉘우칠 회
鬼|귀신 귀
繰|고치 켤 조
己|몸 기
嫌|싫어할 혐
悪|악할 악
昼|낮 주
休|쉴 휴
騒|떠들 소
倒|넘어질 도
比|견줄 비
静|고요할 정
安|편안 안
場|마당 장
所|바 소
図|그림 도
様|모양 양
給|줄 급
用|쓸 용
鼻|코 비
歌|노래 가
社|모일 사
足|발 족
歩|걸음 보
菓|과자 과
丸|둥글 환
筆|붓 필
箱|상자 상
鋭|날카로울 예
利|이로울 리
温|따뜻할 온
忘|잊을 망
暗|어두울 암
隙|틈 극
与|줄 여
把|잡을 파
席|자리 석
各|각각 각
汚|더러울 오
直|곧을 직
生|날 생
懸|매달 현
命|목숨 명
嫉|미워할 질
妬|샘낼 투
醜|추할 추
跡|자취 적
字|글자 자
目|눈 목
疑|의심할 의
論|논할 론
任|맡길 임
以|써 이
上|윗 상
終|마칠 종
重|무거울 중
激|격할 격
小|작을 소
林|수풀 림
彼|저 피
氏|성씨 씨
像|모양 상
天|하늘 천
才|재주 재
原|언덕 원
呼|부를 호
嘘|거짓말 허
識|알 식
低|낮을 저
果|열매 과
黙|잠잠할 묵
神|귀신 신
崎|험할 기
君|임금 군
流|흐를 류
告|고할 고
実|열매 실
珍|보배 진
邪|간사할 사
魔|마귀 마
物|물건 물
繊|가늘 섬
維|벼리 유
男|사내 남
桁|도리 항
段|층계 단
々|반복 부호
殊|다를 수
性|성품 성
癖|버릇 벽
礼|예도 례
声|소리 성
匹|짝 필
事|일 사
共|한가지 공
同|한가지 동
業|업 업
格|격식 격
険|험할 험
年|해 년
越|넘을 월
集|모을 집
系|이어맬 계
逃|도망할 도
店|가게 점
迷|미혹할 미
惑|미혹할 혹
家|집 가
戻|어그러질 려
割|벨 할
縁|인연 연
突|갑자기 돌
然|그럴 연
情|뜻 정
回|돌아올 회
眠|잘 면
普|넓을 보
通|통할 통
南|남녘 남
条|가지 조
設|베풀 설
定|정할 정
理|다스릴 리
友|벗 우
達|통달할 달
連|잇닿을 련
絡|이을 락
脳|골 뇌
合|합할 합
互|서로 호
電|번개 전
強|강할 강
正|바를 정
解|풀 해
可|옳을 가
愛|사랑 애
加|더할 가
減|덜 감
外|바깥 외
褒|기릴 포
葉|잎 엽
度|법도 도
楽|즐길 락
