# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석|화자   — id 는 seg.py 의 분할 결과에 대응
#   화자: 市川 / 市川〈〉(속마음) / 山田 / 小林 / モエ / 神崎 / 南条 / 足立 / 先生 / 店員 / 男子 / 女子.  '·' 로 이으면 한 카드에 둘 이상
1|나는 머리가 이상하다. 이 평화로 가득한 중학교의 균형은|ぼくは あたまが おかしい この へいわに みちた ちゅうがくの きんこうは|頭がおかしい=머리가 이상하다·미쳤다|市川〈〉
2|늘 위태롭다는 것을, 지금은 아무도 모른다|つねに あやうい ということを いまは だれも しらない|危うい=위태롭다|市川〈〉
3|생각하지 마|かんがえるな|동사+な=금지|市川〈〉
4|나는 피에 굶주린 짐승. 언젠가 올까|ぼくは ちに うえた けもの いつか くるの だろうか|飢える=굶주리다|市川〈〉
5|이 충동을 억누를 수 있는 날이|この しょうどうを おさえられる ひが|抑える=억누르다|市川〈〉
6|내가 지금 가장 죽이고 싶은 여자, 야마다 안나. 학교 제일의 미인이고|ぼくが いま もっとも ころしたい おんな やまだ あんな がっこういちの びじんで|学校一=학교에서 제일|市川〈〉
7|잡지 모델도 하고 있다는 모양이다. 뭐 그런|ざっしの モデルも やってる らしい まあ そんな|〜らしい=〜라는 모양이다|市川〈〉
8|건 아무래도 좋다. 나는 어쨌든|ことは どうでも いい ぼくは とにかく|どうでもいい=아무래도 좋다|市川〈〉
9|이 예쁜 얼굴이 고통에 일그러지는 걸 보고 싶어 견딜 수가 없는 것이다|この きれいな かおが くつうに ゆがむのが みたくて たまらないのだ|〜てたまらない=〜해서 견딜 수 없다|市川〈〉
10|그렇게 깔보는 걸 반드시 후회하게 해 주겠어|そうやって みくだしてる こと ぜったいに こうかい させて やる|見下す=깔보다, 〜させてやる=〜하게 해 주겠다|市川〈〉
11|그래|そうだ||市川〈〉
12|분명 야마다는 시체가 되어도 아름답다. 그리고 그 몸은|きっと やまだは したいに なっても うつくしい そして その からだは||市川〈〉
13|살인귀. 그래, 나만의 것이 되는 것이다|さつじんき そう ぼくだけの ものに なるのだ|〜のだ=단정·설명|市川〈〉
14|그런|そんな||市川〈〉
15|망상을 밤마다 되풀이하고는 자기혐오에 빠진다. 나는 머리가 이상하다|もうそうを よなよな くりかえしては じこけんお する ぼくは あたまが おかしい|夜な夜な=밤마다, 〜ては=〜하고는(반복)|市川〈〉
16|점심시간에는 유난히 교실이 시끄러워져서 귀찮다|ひるやすみは ひときわ きょうしつが さわがしく なり めんどうだ|ひときわ=유난히|市川〈〉
17|그에 비해 여기는 조용하다. 나에게는 안식의 장소|それに くらべ ここは しずかだ ぼくに とって やすらぎの ばしょ|〜に比べ=〜에 비해|市川〈〉
18|뭐야 뭐야 뭐야, 뭐라고 한 거지|なんだ なんだ なんだ なんて いった||市川〈〉
19|네, 그렇죠|はい そうっすね|そうっすね=そうですね 의 거친 축약|男子
20|다행이다… 다행인 건가?|よかった よかったの||市川〈〉
21|뭐라고 한 거야. 아니 뭐야, 왜 도서실에 있는 건데|なんて いったんだ てか なんだよ なんで としょしつに いるんだよ|てか=というか 의 축약|市川〈〉
22|잠깐|まてよ||市川〈〉
23|오히려 지금이 죽일 기회 아닌가|むしろ いまが ころす チャンス なんじゃ|むしろ=오히려|市川〈〉
24|아니, 아직 그때가 아니다|いや まだ その とき じゃない||市川〈〉
25|잠시 상황을 지켜보자|しばらく ようすを みよう|様子を見る=상황을 보다|市川〈〉
26|급식 먹었잖아. 아니 그거 파티용이잖아|きゅうしょく たべた だろう ていうか それ パーティーよう だよな|給食=급식|市川〈〉
27|혼자인데 싱글벙글이고|ひとり なのに ニッコニコ だし|ニコニコ 의 강조형|市川〈〉
28|아니 애초에 주먹밥이라니|ていうか そもそも おにぎり|そもそも=애초에|市川〈〉
29|콧노래가 점점 고릴라 같아져 간다|はなうたが だんだん ゴリラっぽく なって いくぞ|〜っぽい=〜같다|市川〈〉
30|어떻게 죽일지 생각하자|どうやって ころすか かんがえよう||市川〈〉
31|사회 시간에 연구 발표하는 그거인가|しゃかいで けんきゅう はっぴょう する やつか|やつ=것(구어)|市川〈〉
32|어, 초안 없이?|えっ したがき なしで|下書き=초안|市川〈〉
33|거봐, 공간이 모자라졌잖아|ほら スペース たりなく なった|足りない=모자라다|市川〈〉
34|"게 아니야"겠지|「んじゃない」だろ|야마다가 잘못 쓴 글씨를 속으로 고치는 장면|市川〈〉
35|어라, 커터… 갖고 있는데. 잠깐, 하지만… 이거 괜찮으면|あれ カッター もってる… まって しかし これ よかったら|よかったら=괜찮으면|市川〈〉
36|왜 커터를 갖고 다녀?|なんで カッター もちあるいてんの|持ち歩く=갖고 다니다|山田
37|이렇게 된 이상 드디어 살육 쇼의 시작|こう なったら いよいよ さつりく ショーの はじまり|いよいよ=드디어|市川〈〉
38|이거, 괜찮으면|これ よかったら||市川
39|됐다|やった||山田
40|아, 아재개그 아니니까. 그리고 고마워|あ ダジャレ じゃないからね あと ありがとう|ダジャレ=말장난. 「やった」가 농담이 아니라는 뜻|山田
41|일단 질색당하진 않았다. 아니 그런 것보다|とりあえず ひかれなかった いや そんな こと より|引く=(상대에게) 질리다·거리를 두다|市川〈〉
42|야마다가, 야마다가 내 커터를 쓰고 있어|やまだが やまだが ぼくの カッターを つかってる||市川〈〉
43|다행이다|よかった||市川〈〉
44|어디 갔었어? 과자 혼자 먹고 있었지|どこ いってた おかし ひとりで たべてたろ|〜てたろ=〜ていただろう|小林
45|안 먹었어|たべてないよ||山田
46|아직 (입에) 들어 있잖아|まだ はいってる じゃん|〜じゃん=〜잖아|小林
47|안 했어|してないよ||山田
48|살육의 카운트다운은 이제 막 시작됐다|さつりくの カウントダウンは はじまった ばかり|〜たばかり=막 〜했다|市川〈〉
49|앞으로 꼬박 하루, 야마다 필통 안에 커터는 들어간 채|これから まるいちにち まだ やまだの ふでばこの なかに カッターは はいった まま|丸一日=꼬박 하루, 筆箱=필통|市川〈〉
50|나의 날카로운 것이 야마다 안에… 뭐, 그렇겠지|ぼくの えいりな ものが やまだの なかに… まあ そうだよな|鋭利=예리함|市川〈〉
51|아직 따뜻해. 설마 계속 쥐고 있었던 건가|まだ あたたかい まさか ずっと にぎって きたのか|まさか=설마|市川〈〉
52|돌려주는 걸 잊지 않으려고… 아니|かえすのを わすれない ように… いや||市川〈〉
53|오히려 암살당할 틈을 나에게 주지 않기 위해서인가|むしろ あんさつ される すきを ぼくに あたえない ためか|隙=틈|市川〈〉
54|파악하고 있구나, 내 자리를|はあく してるんだな ぼくの せき|把握=파악|市川〈〉
55|자, 오늘은 각 조가 정리해 온 연구 발표를 해 보자|じゃあ きょうは かくはん まとめて きた けんきゅう はっぴょうを して もらうぞ|班=조·모둠|先生
56|어라, 어제 내가 쓴 거랑 다르지 않아?|あれ きのう わたしが かいたのと ちがくない|違くない？=違わない？ 의 젊은층 표현|山田
57|엄청 지저분해서 모에가 전부 다시 써 뒀어|めっちゃ きたなかった から モエが ぜんぶ かきなおし といたよ|〜といた=〜ておいた|女子
58|열심히 만들었는데… / 시간 없었으니까|いっしょうけんめい つくったのに… じかん なかったしな|一生懸命=열심히|山田·モエ
