# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음
#   어간 = 카드 본문(교정문)에 실제로 나오는 문자열. 긴 어간부터 맞춘다.
#   같은 한자가 읽기에 따라 다른 말이면 오쿠리가나까지 어간에 넣는다 (太っ=太る / 太=太い, 死体 / 死).
二大政党制|二大政党制|にだいせいとうせい|양대 정당제|이대정당제
二大政党|二大政党|にだいせいとう|양대 정당|이대정당
一生懸命|一生懸命|いっしょうけんめい|열심히|일생현명
自己嫌悪|自己嫌悪|じこけんお|자기혐오|자기혐오
食物繊維|食物繊維|しょくもつせんい|식이섬유|식물섬유
共同作業|共同作業|きょうどうさぎょう|공동 작업|공동작업
褒め言葉|褒め言葉|ほめことば|칭찬(의 말)|포언엽
書き直し|書き直す|かきなおす|다시 쓰다|서직
見間違い|見間違い|みまちがい|잘못 봄|견간위
持ち歩|持ち歩く|もちあるく|갖고 다니다|지보
ドン引き|ドン引き|ドンびき|질색·완전히 질림|인
政党制|政党制|せいとうせい|정당제|정당제
政党|政党|せいとう|정당|정당
研究|研究|けんきゅう|연구|연구
発表|発表|はっぴょう|발표|발표
図書室|図書室|としょしつ|도서실|도서실
自転車|自転車|じてんしゃ|자전거|자전차
殺人鬼|殺人鬼|さつじんき|살인귀|살인귀
殺戮|殺戮|さつりく|살육|살륙
学校一|学校一|がっこういち|학교에서 제일|학교일
中学|中学|ちゅうがく|중학교|중학
中だから|〜中|〜ちゅう|〜중 (ダイエット中)|중
中|中|なか|안·속|중
今月号|今月号|こんげつごう|이번 달 호|금월호
今日|今日|きょう|오늘|금일
今|今|いま|지금|금
最も|最も|もっとも|가장|최
最近|最近|さいきん|요즘|최근
最高|最高|さいこう|최고|최고
一人|一人|ひとり|혼자·한 사람|일인
1人|1人|ひとり|혼자·한 사람|인
一体|一体|いったい|대체|일체
一部|一部|いちぶ|일부|일부
丸一日|丸一日|まるいちにち|꼬박 하루|환일일
二人|二人|ふたり|둘·두 사람|이인
互い|互い|たがい|서로|호
人間|人間|にんげん|인간|인간
人|人|ひと|사람|인
仕事|仕事|しごと|일·임무|사사
仕方ない|仕方ない|しかたない|어쩔 수 없다|사방
以上|以上|いじょう|이상|이상
任せ|任せる|まかせる|맡기다|임
会い|会う|あう|만나다|회
低い|低い|ひくい|낮다|저
死体|死体|したい|시체|사체
死|死ぬ|しぬ|죽다|사
体|体|からだ|몸|체
何度も|何度も|なんども|몇 번이나|하도
何系|何系|なにけい|어떤 계열|하계
何|何|なに・なん|무엇·왜 (何で)|하
使|使う|つかう|쓰다·사용하다|사
お前|お前|おまえ|너 (거친 말)|전
俺|俺|おれ|나 (남성)|엄
僕|僕|ぼく|나 (남성, 온화)|복
入|入る|はいる|들어가다|입
全く|全く|まったく|전혀|전
全身|全身|ぜんしん|온몸|전신
全部|全部|ぜんぶ|전부|전부
出さ|出す|だす|내다·드러내다|출
出て|出る|でる|나가다|출
分|分|ぶん|몫|분
前|前|まえ|앞·전|전
割と|割と|わりと|꽤|할
加減|いい加減|いいかげん|슬슬·적당히|가감
匹|匹|ひき|마리|필
南条|南条|なんじょう|난조 (인명)|남조
危うい|危うい|あやうい|위태롭다|위
危険|危険|きけん|위험|위험
原|原|はら|하라 (인명)|원
友達|友達|ともだち|친구|우달
可愛い|可愛い|かわいい|귀엽다|가애
各班|各班|かくはん|각 조|각반
班|班|はん|조·모둠|반
合わせ|合わせる|あわせる|맞추다|합
告白|告白|こくはく|고백|고백
呼び|呼び出す|よびだす|불러내다|호
喧嘩|喧嘩|けんか|싸움|훤화
嘘つけ|嘘つけ|うそつけ|거짓말하지 마|허
嘘|嘘|うそ|거짓말|허
回|回|かい|번·회 (1回)|회
均衡|均衡|きんこう|균형|균형
場所|場所|ばしょ|장소|장소
声|声|こえ|소리·목소리|성
夜な|夜な夜な|よなよな|밤마다|야
天才的|天才的|てんさいてき|천재적|천재적
妄想|妄想|もうそう|망상|망상
太っ|太る|ふとる|살찌다|태
太|太い|ふとい|굵다|태
失っ|失う|うしなう|잃다|실
失礼|失礼|しつれい|실례|실례
女子|女子|じょし|여자아이·여학생|여자
女|女|おんな|여자|녀
好き|好き|すき|좋아함|호
始まっ|始まる|はじまる|시작되다|시
始まり|始まり|はじまり|시작|시
嫉妬|嫉妬|しっと|질투|질투
子|子|こ|아이|자
字|字|じ|글자|자
存分|思う存分|おもうぞんぶん|실컷|존분
存在|存在|そんざい|존재|존재
安らぎ|安らぎ|やすらぎ|안식·평온|안
実は|実は|じつは|실은|실
小林|小林|こばやし|코바야시 (인명)|소림
山田|山田|やまだ|야마다 (인명)|산전
杏奈|杏奈|あんな|안나 (인명)|행나
市川|市川|いちかわ|이치카와 (인명)|시천
席|席|せき|자리|석
常に|常に|つねに|늘|상
平和|平和|へいわ|평화|평화
年越し|年越し|としこし|해넘이·연말|년월
店|店|みせ|가게|점
引|引く|ひく|(상대에게) 질리다·거리를 두다|인
強い|強い|つよい|강하다|강
彼氏|彼氏|かれし|남자친구|피씨
待|待つ|まつ|기다리다|대
後悔|後悔|こうかい|후회|후회
後|後|あと|뒤·나머지|후
忘れ|忘れる|わすれる|잊다|망
思考|思考|しこう|사고·생각|사고
思|思う|おもう|생각하다|사
想像|想像|そうぞう|상상|상상
意外と|意外と|いがいと|의외로|의외
意識|意識|いしき|의식|의식
感情|感情|かんじょう|감정|감정
感じ|感じ|かんじ|느낌|감
