# 한자 훈음 사전. 형식: 漢字|훈 음
不|아닐 불
並|나란히 병
事|일 사
二|두 이
人|사람 인
今|이제 금
付|붙을 부
会|모일 회
何|어찌 하
余|남을 여
全|온전 전
処|곳 처
分|나눌 분
別|다를 별
前|앞 전
合|합할 합
名|이름 명
君|임금 군
呼|부를 호
喧|떠들 훤
嘩|시끄러울 화
器|그릇 기
声|소리 성
変|변할 변
多|많을 다
大|큰 대
奥|속 오
好|좋을 호
嫌|싫어할 혐
少|적을 소
屋|집 옥
彩|채색 채
後|뒤 후
忘|잊을 망
思|생각할 사
悲|슬플 비
抱|안을 포
持|가질 지
揺|흔들 요
新|새 신
方|모 방
日|날 일
時|때 시
暗|어두울 암
月|달 월
枯|마를 고
気|기운 기
泣|울 읍
浮|뜰 부
添|더할 첨
灯|등잔 등
無|없을 무
物|물건 물
理|다스릴 리
用|쓸 용
由|말미암을 유
眠|잘 면
私|사사 사
笑|웃음 소
経|지날 경
絡|이을 락
胸|가슴 흉
色|빛 색
花|꽃 화
葉|잎 엽
藍|쪽 람
裕|넉넉할 유
褪|바랠 퇴
見|볼 견
視|볼 시
言|말씀 언
話|말씀 화
貴|귀할 귀
赤|붉을 적
返|돌이킬 반
連|잇닿을 련
部|떼 부
都|도읍 도
間|사이 간
闇|어두울 암
顔|낯 안
香|향기 향
魔|마귀 마
黄|누를 황
々|같은 글자 반복
明|밝을 명
