# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
1|아마 내가 아니어도 괜찮겠지|たぶん わたしじゃ なくて いいね|多分=아마. 〜じゃなくていい=〜가 아니어도 된다. ね=혼잣말처럼 되뇌는 어미
2|여유 없는 두 사람이었으니까|よゆうの ない ふたり だったし|余裕がない=여유가 없다. 〜し=이유를 나열하는 어미
3|정신 차려 보니 싸움만 하고 있었지|きづけば けんか ばっかり してさ|気付けば=깨닫고 보면. 〜ばっかり=〜만(ばかり의 구어). 〜てさ=〜해서 말이야
4|미안해|ごめんね|
5|계속 이야기하려고 했었어|ずっと はなそうと おもってた|〜(よ)うと思う=〜하려고 하다. 〜てた=〜ていた의 준말
6|우린 분명 안 맞나 봐|きっと わたしたち あわないね|合う=맞다·어울리다. きっと=분명
7|단둘밖에 없는 방에서 말이야|ふたりきり しか いない へやでさ|二人きり=단둘. 〜しか〜ない=〜밖에 없다
8|너만 계속 말했었지|あなた ばかり はなして いた よね|〜ばかり=〜만. 〜ていた=〜하고 있었다. よね=확인
9|혹시 언젠가 어딘가에서 만난다면|もし いつか どこかで あえたら|会える=만날 수 있다(가능형). 〜たら=〜하면
10|오늘 일을 웃어넘겨 줄까|きょうの ことを わらって くれるかな|〜てくれる=(남이 나에게) 〜해 주다. 〜かな=〜할까
11|이유도 제대로 말하지 못하지만|りゆうも ちゃんと はなせない けれど|話せる=말할 수 있다(가능형). けれど=〜지만
12|네가 잠든 뒤에 우는 건 싫어|あなたが ねむった あとに なくのは いや|〜た後に=〜한 뒤에. 〜のは=〜하는 것은. 嫌=싫음
13|목소리도 얼굴도 서툰 구석도|こえも かおも ぶきような とこも|不器用=서투르다·요령이 없다. とこ=ところ의 준말. 〜も〜も=〜도 〜도
14|전부 전부 싫지 않아|ぜんぶ ぜんぶ きらいじゃ ないの|嫌い=싫다. 〜じゃない=〜가 아니다. の=부드럽게 단정하는 어미
15|드라이플라워처럼|ドライフラワー みたい|〜みたい=〜같다·〜처럼. 마른 꽃 = 빛바랜 추억의 비유
16|너와의 나날도|きみとの ひびも|日々=나날. 〜との=〜와의
17|분명 분명 분명 분명|きっと きっと きっと きっと|
18|빛이 바래|いろあせる|色褪せる=빛이 바래다·색이 날다
19|아마 네가 아니라서 다행이었어|たぶん きみじゃ なくて よかった|〜てよかった=〜해서 다행이다. 1번과 짝을 이루는 뒤집기
20|이제 울 일도 없고|もう なかされる ことも ないし|泣かされる=(남 때문에) 울게 되다. 사역수동. 〜こともない=〜할 일도 없다
21|「나만」이라는 말도|わたしばかり なんて ことばも|〜なんて=〜따위·〜라는. 言葉=말
22|사라졌어|なくなった|なくなる=없어지다. 21번에서 이어지는 문장
23|그렇게 슬픈 이별이라도|あんなに かなしい わかれでも|あんなに=그렇게나. 別れ=이별. 〜でも=〜라도
24|시간이 지나면 잊혀 가|じかんが たてば わすれてく|経つ=(시간이) 지나다. 〜ば=〜하면. 〜てく=〜ていく의 준말
25|새 사람과 나란히 선 너는|あたらしい ひとと ならぶ きみは|並ぶ=나란히 서다. 동사가 명사를 꾸민다
26|제대로 잘 지내고 있으려나|ちゃんと うまく やれて いるのかな|うまくやる=잘 해내다. やれる=할 수 있다(가능형). 〜のかな=〜인 걸까
27|이제 얼굴도 보고 싶지 않으니까|もう かおも みたく ないからさ|〜たくない=〜하고 싶지 않다. から=〜니까
28|이상하게 연락해 오지 않았으면 해|へんに れんらく して こないで ほしい|〜ないでほしい=〜하지 말아 줬으면 한다. 〜てくる=〜해 오다
29|편한 대로인 건 여전하구나|つごうが いいのは かわってないんだね|都合がいい=제 사정만 좋다·제멋대로다. 〜んだね=〜구나(깨달음)
30|그런데 무시하지 못하고 또 조금 답장|でも むし できずに また すこし へんじ|〜ずに=〜하지 않고(문어). 無視できる=무시할 수 있다. 返事=답장
31|목소리도 얼굴도 서툰 구석도|こえも かおも ぶきような とこも|13번과 같은 줄. 뒤에 오는 말이 바뀐다
32|아마 지금도 싫지 않아|たぶん いまも きらいじゃ ないの|14번이 「全部全部」였던 자리에 「多分今も」가 들어왔다
33|드라이플라워처럼|ドライフラワー みたく|みたく=みたいに 의 구어체. 15번의 みたい 와 짝
34|시간이 지나면|じかんが たてば|
35|분명 분명 분명 분명|きっと きっと きっと きっと|
36|빛이 바래|いろあせる|
37|달빛에 마물이 흔들려|つきあかりに まものが ゆれる|月灯り=달빛. 魔物=마물·요괴. 揺れる=흔들리다
38|나도 분명 제정신이 아닌가 봐|きっと わたしも どうか してる|どうかしてる=제정신이 아니다·어떻게 됐다
39|어둠 속에 색채가 떠올라|くらやみに しきさいが うかぶ|暗闇=어둠. 色彩=색채. 浮かぶ=떠오르다
40|붉고 노랗고 쪽빛이 가슴 깊은 곳|あか き あいいろが むねの おく|赤·黄·藍色 세 색을 잇달아 부른다. 藍色=쪽빛·남색. 胸の奥=가슴 깊은 곳
41|계속 네 이름을 불러|ずっと あなたの なまえを よぶ|呼ぶ=부르다. ずっと=계속
42|좋아한다는 마음|すきと いう きもち|〜という=〜라는. 気持ち=마음·기분
43|다시 향기가 나|また かおる|香る=향기가 나다. 마른 꽃인데 향이 난다는 모순이 이 곡의 핵심
44|목소리도 얼굴도 서툰 구석도|こえも かおも ぶきような とこも|13·31번과 같은 줄. 세 번째
45|전부 전부 너무 싫어|ぜんぶ ぜんぶ だいきらい だよ|大嫌い=아주 싫다. 14번의 「嫌いじゃないの」를 뒤집는다
46|아직 시들지 않은 꽃을|まだ かれない はなを|枯れる=시들다. 앞에서 나온 마른 꽃과 반대
