# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|私じゃなくていい|わたしじゃ なくて いい|내가 아니어도 된다|〜じゃなくていい=〜가 아니어도 된다. 19번에서 君じゃなくてよかった 로 뒤집힌다
E|余裕のない|よゆうの ない|여유 없는|余裕がない 가 명사를 꾸미면 が→の 로 바뀐다
E|気付けば|きづけば|정신 차려 보니|気付く+ば. 「〜해 보니 어느새」의 느낌
E|ばっかりしてさ|ばっかり してさ|〜만 하고 말이야|ばっかり=ばかり의 구어. 〜てさ=〜해서 말이야(말끝 흐리기)
E|話そうと思ってた|はなそうと おもってた|이야기하려고 했었어|〜(よ)うと思う=〜하려고 하다. 〜てた=〜ていた
E|二人きり|ふたりきり|단둘|〜きり=〜뿐·〜만
E|しかいない|しか いない|〜밖에 없다|〜しか〜ない. 부정과 짝을 이룬다
E|貴方ばかり|あなた ばかり|너만|〜ばかり=〜만·〜뿐
E|会えたら|あえたら|만나게 된다면|会える(가능형)+たら
E|笑ってくれるかな|わらって くれるかな|웃어 줄까|〜てくれる=(남이 나에게) 〜해 주다. 〜かな=〜할까
E|話せないけれど|はなせない けれど|말하지 못하지만|話せる의 부정+けれど(〜지만)
E|眠った後に|ねむった あとに|잠든 뒤에|〜た後に=〜한 뒤에
E|嫌いじゃないの|きらいじゃ ないの|싫지 않아|〜じゃない+の(부드러운 단정). 45번에서 大嫌いだよ 로 뒤집힌다
E|みたい|みたい|〜같다·〜처럼|명사+みたい
E|みたく|みたく|〜처럼|みたいに 의 구어체. 같은 후렴이 15번은 みたい, 33번은 みたく
E|君じゃなくてよかった|きみじゃ なくて よかった|네가 아니라서 다행이었어|〜てよかった=〜해서 다행이다
E|泣かされる|なかされる|(남 때문에) 울게 되다|泣く→泣かす(사역)→泣かされる(사역수동)
E|こともないし|ことも ないし|〜할 일도 없고|〜ことはない=〜할 일은 없다. 〜し=이유 나열
E|なんて|なんて|〜라는·〜따위|앞말을 가볍게 낮추거나 인용한다
E|時間がたてば|じかんが たてば|시간이 지나면|経つ=(시간이) 지나다. 〜ば=〜하면
E|忘れてく|わすれてく|잊혀 가다|〜ていく의 준말 〜てく. 점점 그렇게 되어 감
E|やれているのかな|やれて いるのかな|잘 지내고 있으려나|やれる(가능형)+ている+のかな
E|見たくない|みたく ない|보고 싶지 않다|〜たい의 부정 〜たくない
E|こないでほしい|こないで ほしい|오지 않았으면 해|〜ないでほしい=〜하지 말아 줬으면 한다
E|変わってない|かわってない|변하지 않았다|〜ていない의 준말 〜てない
E|無視できずに|むし できずに|무시하지 못하고|〜ずに=〜ないで 의 문어체
E|どうかしてる|どうか してる|제정신이 아니다|관용구. 스스로도 이상하다고 느낄 때
E|好きという気持ち|すきと いう きもち|좋아한다는 마음|〜という=〜라는
E|枯れない花|かれない はな|시들지 않은 꽃|부정형이 그대로 명사를 꾸민다. 앞의 드라이플라워와 대비
E|添えてさ|そえてさ|곁들여서|添える+て+さ
E|抱えてよ|かかえてよ|안고 있어 줘|〜てよ=〜해 줘(부탁·호소)
# --- 단어 ---------------------------------------------------
V|余裕|よゆう|여유|余裕がある·余裕がない 로 자주 쓴다
V|喧嘩|けんか|싸움|喧嘩する=싸우다
V|部屋|へや|방|
V|理由|りゆう|이유|
V|声|こえ|목소리|
V|顔|かお|얼굴|
V|不器用|ぶきよう|서투름·요령 없음|器用(요령 좋음)의 반대. 사람 성격에도 쓴다
V|日々|ひび|나날|
V|色褪せる|いろあせる|빛이 바래다|色(색)+褪せる(바래다)
V|別れ|わかれ|이별|別れる(헤어지다)의 명사형
V|時間|じかん|시간|
V|忘れる|わすれる|잊다|
V|新しい|あたらしい|새롭다|
V|並ぶ|ならぶ|나란히 서다|
V|連絡|れんらく|연락|連絡する=연락하다
V|都合|つごう|사정·형편|都合がいい=(제) 사정이 좋다·제멋대로다
V|無視|むし|무시|
V|返事|へんじ|답장·대답|
V|月灯り|つきあかり|달빛|보통 月明かり. 灯 를 써서 불빛의 느낌을 낸다
V|魔物|まもの|마물·요괴|
V|揺れる|ゆれる|흔들리다|
V|暗闇|くらやみ|어둠|
V|色彩|しきさい|색채|
V|浮かぶ|うかぶ|떠오르다|
V|藍色|あいいろ|쪽빛·남색|
V|名前|なまえ|이름|
V|呼ぶ|よぶ|부르다|
V|香る|かおる|향기가 나다|마른 꽃인데 향이 난다는 것이 이 곡의 핵심 이미지
V|大嫌い|だいきらい|아주 싫다|大+嫌い. 好き의 정반대
V|添える|そえる|곁들이다·덧붙이다|
V|抱える|かかえる|품에 안다·떠안다|
