# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
多分|多分|たぶん|아마|다분
私|私|わたくし|나·저|사
余裕|余裕|よゆう|여유|여유
二人|二人|ふたり|두 사람|이인
気付け|気付く|きづく|알아차리다|기부
喧嘩|喧嘩|けんか|싸움|훤화
話そう,話し,話せ|話す|はなす|이야기하다|화
思っ|思う|おもう|생각하다|사
合わ|合う|あう|맞다·어울리다|합
部屋|部屋|へや|방|부옥
貴方|貴方|あなた|당신·너|귀방
何処|何処|どこ|어디|하처
会え|会う|あう|만나다|회
今日|今日|きょう|오늘|금일
事|事|こと|일·것|사
笑っ|笑う|わらう|웃다|소
理由|理由|りゆう|이유|리유
眠っ|眠る|ねむる|잠들다|면
後|後|あと|뒤·다음|후
泣く|泣く|なく|울다|읍
嫌|嫌|いや|싫음|혐
声|声|こえ|목소리|성
顔|顔|かお|얼굴|안
不|不|ふ|아님(부정 접두사)|불
器用|器用|きよう|손재주 있음·요령 좋음|기용
全部|全部|ぜんぶ|전부|전부
嫌い|嫌い|きらい|싫음|혐
君|君|きみ|너·그대|군
日々|日々|ひび|나날|일반복
色褪せる|色褪せる|いろあせる|빛이 바래다|색퇴
泣かさ|泣かす|なかす|울리다|읍
言葉|言葉|ことば|말|언엽
悲しい|悲しい|かなしい|슬프다|비
別れ|別れ|わかれ|이별|별
時間|時間|じかん|시간|시간
忘れ|忘れる|わすれる|잊다|망
新しい|新しい|あたらしい|새롭다|신
人|人|ひと|사람|인
並ぶ|並ぶ|ならぶ|나란히 서다|병
見|見る|みる|보다|견
変|変|へん|이상함|변
連絡|連絡|れんらく|연락|련락
都合|都合|つごう|사정·형편|도합
変わっ|変わる|かわる|변하다·바뀌다|변
無視|無視|むし|무시|무시
少し|少し|すこし|조금|소
返事|返事|へんじ|답장·대답|반사
今|今|いま|지금|금
経て|経つ|たつ|(시간이) 지나다|경
月|月|つき|달|월
灯り|明かり|あかり|빛·불빛|?
魔物|魔物|まもの|마물·요괴|마물
揺れる|揺れる|ゆれる|흔들리다|요
暗闇|暗闇|くらやみ|어둠|암암
色彩|色彩|しきさい|색채|색채
浮かぶ|浮かぶ|うかぶ|떠오르다|부
赤黄|赤黄|せきこう|붉고 노랑|적황
藍色|藍色|あいいろ|쪽빛·남색|람색
胸|胸|むね|가슴|흉
奥|奥|おく|안쪽·깊은 곳|오
名前|名前|なまえ|이름|명전
呼ぶ|呼ぶ|よぶ|부르다|호
好き|好き|すき|좋아함|호
気持ち|気持ち|きもち|기분·마음|기지
香る|香る|かおる|향기가 나다|향
大嫌い|大嫌い|だいきらい|아주 싫음|대혐
枯れ|枯れる|かれる|시들다|고
花|花|はな|꽃|화
添え|添える|そえる|곁들이다·덧붙이다|첨
抱え|抱える|かかえる|품에 안다·떠안다|포
