# 한자 훈음 사전. 형식: 漢字|훈 음
々|같은 글자 반복
上|위 상
与|줄 여
中|가운데 중
主|주인 주
代|대신할 대
何|어찌 하
価|값 가
値|값 치
光|빛 광
出|날 출
分|나눌 분
十|열 십
去|갈 거
取|가질 취
口|입 구
叫|부르짖을 규
召|부를 소
名|이름 명
告|고할 고
呼|부를 호
地|땅 지
塗|칠할 도
声|소리 성
変|변할 변
契|맺을 계
子|아들 자
字|글자 자
守|지킬 수
導|이끌 도
小|작을 소
御|어거할 어
志|뜻 지
思|생각 사
意|뜻 의
戸|지게 호
支|지탱할 지
放|놓을 방
救|구원할 구
時|때 시
暗|어두울 암
束|묶을 속
架|시렁 가
染|물들 염
歩|걸음 보
民|백성 민
永|길 영
求|구할 구
海|바다 해
満|찰 만
照|비출 조
由|말미암을 유
画|그림 화
神|귀신 신
約|맺을 약
終|마칠 종
罪|허물 죄
羊|양 양
義|옳을 의
者|놈 자
聞|들을 문
自|스스로 자
至|이를 지
苦|쓸 고
血|피 혈
見|볼 견
解|풀 해
計|셀 계
起|일어날 기
超|뛰어넘을 초
越|넘을 월
過|지날 과
遠|멀 원
遣|보낼 견
配|나눌 배
闇|어두울 암
