# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
1|찬양하라|ほめたたえよ|褒め讃える=기려 찬양하다. 〜よ=명령
2|하나님의 이름을|かみの みなを|御名=이름(높임의 御)
3|대대로 이어지는 그 이름을|よよに いたる その なを|代々=대대. 至る=이르다
4|고통받는 백성의|くるしむ たみの|苦しむ=괴로워하다. 民=백성. 이집트의 이스라엘
5|부르짖는 소리를 들으시고|さけびごえを きき|叫び声=외치는 소리. 聞き=聞く 연용형
6|언약을 기억하시어|けいやくを おもいおこし|契約=언약. 思い起こす=떠올리다·기억해 내다
7|백성을 인도할|たみを みちびく|導く=인도하다. 다음 줄 解放者를 꾸민다
8|해방자를 부르시어|かいほうしゃを めし|解放者=해방자(모세). 召す=부르시다(높임)
9|보내시어 백성을 구하시네|つかわして たみを すくう|遣わす=보내다. 救う=구하다
10|피 발린 문설주를 보시고|ちが ぬられた とぐちを みて|塗る=바르다. 戸口=문어귀. 유월절 밤의 어린 양의 피
11|하나님은 넘어가셨네|かみは すぎこされた|過ぎ越す=넘어가다. 過越(すぎこし)=유월절. 〜された=존경
12|지켜지네 그 피로 인해|まもられる その ちの ゆえ|守られる=지켜지다(수동). 〜のゆえ=〜때문에
13|어린 양의 피로 인해|こひつじの ちの ゆえ|子羊=어린 양
14|찬양하라|ほめたたえよ|1번과 같은 줄
15|하나님의 이름을|かみの みなを|2번과 같은 줄
16|대대로 이어지는 그 이름을|よよに いたる その なを|3번과 같은 줄
17|부르짖으라 하나님의 이름을|よびもとめよ かみの みなを|呼び求める=부르며 구하다. 〜よ=명령
18|무엇보다 귀한 이름을|なにより かちある なを|何より=무엇보다. 価値ある=가치 있는
19|어둠 속에|くらやみの なか|暗闇=어둠
20|걷고 있던 백성|あゆんでいた たみ|歩む=걷다. 〜ていた=〜하고 있던
21|그 위에 빛이 비치네|その うえに ひかりが てる|照る=비치다. 이사야 9장
22|죄를 없애는|つみを とりさる|取り去る=없애다·거두다. 다음 줄 小羊를 꾸민다
23|하나님의 어린 양을|かみの こひつじを|13번의 子羊과 같은 말을 여기서는 小羊로 적었다
24|보내시어 백성을 구하시네|つかわして たみを すくう|9번과 같은 줄. 모세 자리에 예수가 온다
25|피로 물든 십자가를 보고|ちに そまった じゅうじか みて|染まる=물들다. 10번의 「피 발린 문설주」와 짝
26|하나님의 의가 이루어졌네|かみの ぎが みたされた|義=의. 満たす=채우다. 수동형
27|지켜지네 그 피로 인해|まもられる その ちの ゆえ|12번과 같은 줄
28|주 예수의 피로 인해|しゅ イエスの ちの ゆえ|13번의 子羊가 主イエス로 바뀐다
29|찬양하라|ほめたたえよ|1번과 같은 줄
30|하나님의 이름을|かみの みなを|2번과 같은 줄
31|대대로 이어지는 그 이름을|よよに いたる その なを|3번과 같은 줄
32|부르짖으라 하나님의 이름을|よびもとめよ かみの みなを|17번과 같은 줄
33|무엇보다 귀한 이름을|なにより かちある なを|18번과 같은 줄
34|바다를 가르고 건져 내시어|うみを わけて すくいだし|分ける=가르다. 救い出す=건져 내다. 홍해
35|죄의 지배를 끝내시고|つみの しはい おわらせて|支配=지배. 終わらせる=끝내다(사역)
36|자유를 주시고 인도하시네|じゆう あたえ みちびく|与える=주다
37|약속의 땅 그곳으로|やくそくの ち そこへと|約束の地=약속의 땅(가나안). 〜へと=〜으로
38|하나님의 뜻과 계획|かみの いしと けいかく|意志=뜻·의지
39|시간을 넘어 변하지 않네|ときを こえて かわらない|超える=넘다
40|「나는 있는 자다」라고 말씀하셨네|わたしは あると つげられた|출애굽기 3장의 「나는 스스로 있는 자」. 告げる=알리다. 〜られた=존경. 제목 I AM
41|영원한 이름을 찬양하자|えいえんの なを たたえよう|〜よう=〜하자(권유)
42|찬양하자|たたえよう|41번 끝말을 되풀이한다
43|찬양하라|ほめたたえよ|1번과 같은 줄
44|하나님의 이름을|かみの みなを|2번과 같은 줄
45|대대로 이어지는 그 이름을|よよに いたる その なを|3번과 같은 줄
46|부르짖으라 하나님의 이름을|よびもとめよ かみの みなを|17번과 같은 줄
47|무엇보다 귀한 이름을|なにより かちある なを|18번과 같은 줄
48|찬양하라|ほめたたえよ|1번과 같은 줄
49|하나님의 이름을|かみの みなを|2번과 같은 줄
50|대대로 이어지는 그 이름을|よよに いたる その なを|3번과 같은 줄
51|부르짖으라 하나님의 이름을|よびもとめよ かみの みなを|17번과 같은 줄
52|무엇보다 귀한 이름을|なにより かちある なを|18번과 같은 줄. 이 말로 곡이 끝난다
