# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|ほめたたえよ|ほめたたえよ|찬양하라|褒め讃える+〜よ(명령)
E|代々に至る|よよに いたる|대대로 이어지는|代々=よよ. 至る=이르다
E|叫び声を聞き|さけびごえを きき|부르짖는 소리를 들으시고|聞き=연용형으로 잇는다
E|思い起こし|おもいおこし|기억하시어|思い起こす=떠올리다
E|召し|めし|부르시어|召す=부르시다(높임)
E|遣わして|つかわして|보내시어|遣わす=보내다
E|過ぎ越された|すぎこされた|넘어가셨네|過ぎ越す. 過越(すぎこし)=유월절
E|守られる|まもられる|지켜지네|守る의 수동
E|その血のゆえ|その ちの ゆえ|그 피로 인해|〜のゆえ=〜때문에
E|呼び求めよ|よびもとめよ|부르짖으라|呼び求める+〜よ
E|何より価値ある|なにより かちある|무엇보다 귀한|何より=무엇보다. 価値ある=가치 있는
E|歩んでいた|あゆんでいた|걷고 있던|〜ていた=〜하고 있던
E|取り去る|とりさる|없애는|取り去る=거두어 없애다
E|染まった|そまった|물든|染まる=물들다
E|満たされた|みたされた|이루어졌네|満たす의 수동
E|救い出し|すくいだし|건져 내시어|救い出す=건져 내다
E|終わらせて|おわらせて|끝내시고|終わる의 사역
E|時を超えて|ときを こえて|시간을 넘어|超える=넘다
E|告げられた|つげられた|말씀하셨네|告げる+〜られた(존경)
E|たたえよう|たたえよう|찬양하자|〜よう=권유
# --- 단어 ---------------------------------------------------
V|御名|みな|이름(높임)|
V|民|たみ|백성|
V|契約|けいやく|언약|
V|解放者|かいほうしゃ|해방자|모세
V|戸口|とぐち|문어귀|
V|子羊|こひつじ|어린 양|小羊 로도 적는다
V|暗闇|くらやみ|어둠|
V|光|ひかり|빛|
V|十字架|じゅうじか|십자가|
V|義|ぎ|의|
V|支配|しはい|지배|
V|自由|じゆう|자유|
V|約束の地|やくそくの ち|약속의 땅|가나안
V|計画|けいかく|계획|
V|永遠|えいえん|영원|
