# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
神|神|かみ|하나님·신|신
御名|御名|みな|이름(높임)|어명
代々|代々|よよ|대대로|대반복
至る|至る|いたる|이르다|지
名|名|な|이름|명
苦しむ|苦しむ|くるしむ|괴로워하다|고
民|民|たみ|백성|민
叫び声|叫び声|さけびごえ|외치는 소리|규성
聞き|聞く|きく|묻다·듣다|문
契約|契約|けいやく|언약·계약|계약
思い起こし|思い起こす|おもいおこす|기억해 내다|사기
導く|導く|みちびく|인도하다|도
解放|解放|かいほう|해방|해방
者|者|しゃ|〜자·사람|자
召し|召す|めす|부르시다|소
遣わし|遣わす|つかわす|보내다|견
救う|救う|すくう|구하다|구
血|血|ち|피|혈
塗ら|塗る|ぬる|바르다|도
戸口|戸口|とぐち|문어귀|호구
見|見る|みる|보다|견
過ぎ|過ぎる|すぎる|지나다|과
越さ|越す|こす|넘다|월
守ら|守る|まもる|지키다|수
子羊,小羊|子羊|こひつじ|어린 양|자양
呼び求めよ|呼び求める|よびもとめる|부르며 구하다|호구
何|何|なに|무엇|하
価値|価値|かち|가치|가치
暗闇|暗闇|くらやみ|어둠|암암
中|中|なか|안·중|중
歩ん|歩む|あゆむ|걷다|보
上|上|うえ|위|상
光|光|ひかり|빛|광
照る|照る|てる|비치다|조
罪|罪|つみ|죄|죄
取り去る|取り去る|とりさる|없애다·거두다|취거
染まっ|染まる|そまる|물들다|염
十字|十字|じゅうじ|십자|십자
架|架|か|가(십자가의 架)|가
義|義|ぎ|의|의
満たさ|満たす|みたす|채우다|만
主|主|しゅ|주님|주
海|海|うみ|바다|해
分け|分ける|わける|나누다·구분하다|분
救い出し|救い出し|すくいだし|건져 냄|구출
支配|支配|しはい|지배|지배
終わら|終わる|おわる|끝나다|종
自由|自由|じゆう|자유|자유
与え|与える|あたえる|주다|여
約束|約束|やくそく|약속|약속
意志|意志|いし|뜻·의지|의지
計画|計画|けいかく|계획|계화
時|時|とき|때·시|시
超え|越える|こえる|넘다|월
変わら|変わる|かわる|변하다·바뀌다|변
告げ|告げる|つげる|알리다|고
永遠|永遠|えいえん|영원|영원
地|地|ち|땅·곳|지
