# 형식: id|한국어 뜻|주석   — id 는 seg.py 의 분할 결과(segs.json)에 대응. 영어는 읽기 줄이 없다.
# 말투: 인터뷰어(Vogue)는 해요체, 젠데이아는 편한 해요체, 다넬은 반말.
1|네? 들어오세요.|Come on in = 들어오세요 (맞이할 때)
2|누가 왔게요-|Guess who's here = 누가 왔는지 맞혀 봐. 등장 인사
3|안녕하세요?|What's up? = 캐주얼한 인사. 대답은 보통 Hey / Not much
4|젠데이아!|
5|안녕하세요.|
6|시간 내 주셔서 정말 고마워요, 바쁘신 거 아는데.|have me by = 나를 (집에) 들르게 하다. Thank you for having me 는 초대받은 사람의 정석 인사
7|네, 당연하죠, 와 주셔서 고마워요.|of course = 여기서는 '당연히요·별말씀을'
8|73가지 질문을 드릴 거예요.|I'm gonna = I'm going to 의 구어 축약
9|해 봐요.|Let's do it = 좋아요, 시작하죠
10|그리고, 레몬을 잔뜩 따고 계시네요.|a bunch of = 한 무더기의·잔뜩 (구어)
11|네, 레모네이드 만들려고요. 좀 드실래요?|You want some? = Do you want some? 조동사를 생략한 구어 질문
12|좋죠.|I'd love some = I would love some. '기꺼이요' 정중한 수락
13|알겠어요, 제가 챙길게요.|I got you = 내가 챙길게·맡겨 (구어)
14|자 그럼, 첫 번째 질문, 이름은 어디에서 온 건가요?|originate = 유래하다
15|음, 엄밀히 말하면 긴 얘긴데, '감사하다'라는 뜻의 단어에서 따온 거예요.|be based off (of) = ~에 바탕을 두다 (based on 의 구어형)
16|예쁘네요. 그럼 어린 시절은 어땠다고 표현하시겠어요?|upbringing = 성장 환경·가정 교육
17|리얼했죠.|real = 꾸밈없고 진짜인
18|자라면서 롤모델은 누구였나요?|Who would you say ~ = 누구라고 하시겠어요? 부드럽게 묻는 문형
19|엄마요.|
20|그리고 지금은 바뀌었나요?|
21|아니요, 여전히 엄마예요.|still = 여전히
22|왜요?|
23|엄마는 선생님이시거든요. 있잖아요, 평생을 베풀면서 사셨어요. 그게 정말 존경스러워요.|spend one's whole life -ing = 평생을 ~하며 보내다 / admire = 존경하다
24|네, 그럼 오늘 아침에 제일 먼저 든 생각은 뭐였어요?|the first thing you thought of = 제일 먼저 떠오른 것
25|솔직히 말해도 돼요?|Can I be honest? = 솔직히 말할게요, 하고 운을 뗄 때
26|그럼요.|Sure = 물론이죠
27|코 푸는 거요, 지금 감기 기운이 좀 있어서. 조심하세요.|blow one's nose = 코를 풀다 / a little cold = 가벼운 감기
28|거리를 좀 두겠습니다.|keep one's distance = 거리를 두다
