# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외). 영어 줄은 읽기 없음
1|마지막 키스는 담배 향(flavor)이 났어|さいごの キスは タバコの フレーバーが した|〜がした=(맛·냄새가) 났다, flavor=풍미·향
2|쓰고 애달픈 향기|にがくて せつない かおり|苦い=쓰다, 切ない=애달프다·가슴 아프다
3|내일 이맘때엔 당신은 어디에 있을까|あしたの いまごろには あなたは どこに いるん だろう|今頃=이맘때, 〜んだろう=〜인 걸까(혼잣말)
4|누구를 생각하고 있을까|だれを おもってるん だろう|想う=마음에 두고 그리워하다(思う보다 정감 있음)
5|넌 언제나 나의 사랑일 거야||gonna=going to 의 구어형
6|언젠가 누군가와 다시 사랑에 빠져도|いつか だれかと また こいに おちても|恋に落ちる=사랑에 빠지다, 〜ても=〜해도
7|사랑하는 걸 잊지 않을게||remember to 〜=잊지 않고 〜하다
8|네가 (사랑하는) 방법을 가르쳐 줬으니까||taught=teach 의 과거형
9|넌 언제나 단 한 사람일 거야||the one=(운명의) 바로 그 사람
10|지금은 아직 슬픈 love song|いまは まだ かなしい ラブソング|まだ=아직
11|새 노래를 부를 수 있을 때까지|あたらしい うた うたえる まで|うたえる=歌う 의 가능형(부를 수 있다), 〜まで=〜까지
12|멈춰 선 시간이 움직이기 시작하려 해|たちどまる じかんが うごきだそうと してる|〜(よ)うとしている=〜하려 하고 있다, 動き出す=움직이기 시작하다
13|잊고 싶지 않은 것들뿐|わすれたくない こと ばかり|〜たくない=〜하고 싶지 않다, 〜ばかり=〜뿐
14|내일 이맘때엔 나는 분명 울고 있겠지|あしたの いまごろには わたしは きっと ないてる|きっと=분명, 泣いてる=泣いている
15|당신을 생각하고 있겠지|あなたを おもってるん だろう|
16|넌 언제나 내 마음속에 있을 거야||inside my heart=내 마음속에
17|언제나 당신만의 자리가 있으니까|いつも あなた だけの ばしょが あるから|〜だけの=〜만의, 〜から=〜니까
18|네 마음속에도 내 자리가 있길 바라||I hope that 〜=〜하길 바라
19|지금도 영원히, 넌 여전히 그 사람||still=여전히
20|지금은 아직 슬픈 love song|いまは まだ かなしい ラブソング|
21|새 노래를 부를 수 있을 때까지|あたらしい うた うたえる まで|
22|넌 언제나 나의 사랑일 거야||
23|언젠가 누군가와 다시 사랑에 빠져도|いつか だれかと また こいに おちても|
24|사랑하는 걸 잊지 않을게||
25|네가 (사랑하는) 방법을 가르쳐 줬으니까||
26|넌 언제나 단 한 사람일 거야||
27|아직 슬픈 love song|まだ かなしい ラブソング|
28|지금도, 그리고 영원히||
