# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  영어 구절은 읽기 칸에 그대로 둔다
# --- 표현 ---------------------------------------------------
E|〜がした|〜がした|(맛·냄새·소리가) 났다|タバコの flavor がした. 味がする·匂いがする·音がする
E|切ない|せつない|애달프다·가슴이 아리다|노래 가사의 단골 형용사
E|今頃|いまごろ|이맘때|明日の今頃=내일 이맘때
E|〜んだろう|〜んだろう|〜인 걸까|혼잣말 추측. どこにいるんだろう
E|想う|おもう|마음에 두고 그리다|思う 와 발음이 같지만 「想」은 애틋한 감정
E|恋に落ちる|こいにおちる|사랑에 빠지다|fall in love 의 직역 표현
E|〜ても|〜ても|〜해도|恋に落ちても
E|〜まで|〜まで|〜까지|うたえるまで
E|うたえる|うたえる|부를 수 있다|歌う 의 가능형. 「新しい歌うたえるまで」
E|立ち止まる|たちどまる|멈춰 서다|
E|動き出す|うごきだす|움직이기 시작하다|동사+出す=〜하기 시작하다
E|〜(よ)うとしている|〜(よ)うとしている|〜하려 하고 있다|動き出そうとしてる
E|〜たくない|〜たくない|〜하고 싶지 않다|忘れたくない
E|〜ばかり|〜ばかり|〜뿐·〜만|ことばかり
E|きっと|きっと|분명·틀림없이|
E|〜だけの|〜だけの|〜만의|あなただけの場所
E|〜から|〜から|〜니까|場所があるから
E|いつか|いつか|언젠가|
E|いつも|いつも|언제나|
E|まだ|まだ|아직|今はまだ
E|gonna|gonna|〜할 거야 (going to)|You are always gonna be my love
E|remember to|remember to|잊지 않고 〜하다|I'll remember to love
E|the one|the one|바로 그 사람·단 한 사람|You are always gonna be the one
E|I hope that|I hope that|〜하길 바라|I hope that I have a place in your heart too
E|Now and forever|Now and forever|지금도 그리고 영원히|
# --- 단어 ---------------------------------------------------
V|最後|さいご|마지막|
V|キス|キス|키스|
V|タバコ|タバコ|담배|
V|苦い|にがい|쓰다|苦くて
V|香り|かおり|향기|
V|明日|あした|내일|
V|誰|だれ|누구|
V|恋|こい|사랑·연애|
V|悲しい|かなしい|슬프다|
V|新しい|あたらしい|새롭다|
V|歌|うた|노래|
V|時間|じかん|시간|
V|忘れる|わすれる|잊다|忘れたくない
V|私|わたし|나|
V|泣く|なく|울다|泣いてる
V|場所|ばしょ|장소·자리|
V|love song|love song|러브송|
V|heart|heart|마음|
V|forever|forever|영원히|
V|place|place|자리·장소|
