# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
1|자그마한 아침 햇살은 지쳐 잠든 사랑에 흘러내려|ちいさな あさの ひかりは つかれて ねむる あいに こぼれて|零れる=흘러넘치다. 연용형 こぼれて 로 다음 줄에 이어진다
2|흐른 시간의 많음에 수긍하듯이 바싹 붙는 두 사람|ながれた ときの おおさに うなずく ように よりそう ふたり|多さ=형용사+さ(명사로 만든다). 〜様に=〜하듯이. 寄り添う=바싹 붙다
3|창을 두드리는 바람에 깨어 너에게 뺨을 대 봤어|まどを たたく かぜに めざめて きみに ほおを よせてみた|〜てみる=〜해 보다. 寄せる=가까이 대다. 目覚める=잠에서 깨다
4|행복하니 어젯밤의 온기에|しあわせかい さくばんの ぬくもりに|〜かい=남자 말투의 부드러운 물음. 이 곡에 세 번 나온다
5|살며시 속삭이고 세게 너를 끌어안았어|そっと ささやいて つよく きみを だきしめた|そっと=살며시. 囁く=속삭이다. 抱きしめる=꼭 껴안다
6|처음 너를 만난 날 나는 빌딩 너머의|はじめて きみと であった ひ ぼくは ビルの むこうの|出会う=(우연히) 만나다. 向こう=너머. 문장이 다음 줄로 이어진다
7|하늘을 언제까지나 찾고 있었어|そらを いつまでも さがしてた|探してた=探していた 의 줄임(구어). 6·7번이 한 문장이다
8|네가 가르쳐 준 꽃의 이름은|きみが おしえてくれた はなの なまえは|〜てくれる=(남이 나에게) 〜해 주다. 고마움이 담긴다
9|거리에 묻힐 듯한 작은 물망초|まちに うもれそうな ちいさな わすれなぐさ|埋もれる+〜そう=〜할 것 같다. 勿忘草=물망초. 제목의 꽃이다
10|가끔 사랑이 끝나는 슬픈 꿈을 너는 꾸지만|ときどき あいの おわりの かなしい ゆめを きみは みるけど|夢を見る=꿈을 꾸다(「꾸다」에 見る를 쓴다). けど=〜지만
11|내 품에서 잘 자 두 사람의 인생 나눠 가지며 사는 거야|ぼくの むねで おやすみよ ふたりの じんせい わけあい いきるんだ|分け合う=서로 나누다. 〜んだ=다짐하듯 맺는 말끝
12|사랑의 행방에 답은 없고 언제나 외톨이지만|あいの ゆくえに こたえは なくて いつでも ひとりぼっちだけど|行く方는 여기서 ゆくえ. 一人ぼっち=외톨이
13|행복하니 소박한 삶에|しあわせかい ささやかな くらしに|4번과 같은 물음. ささやか=조촐하다·소박하다
14|시간은 망설임조차 봐, 사랑의 힘으로 바꿨어|ときは ためらいさえも ごらん あいの つよさに かえた|〜さえも=〜조차도. ごらん=보렴. 強さ=강함(2번의 多さ와 같은 꼴)
15|가끔 나는 억지로 너를 내 모양에|ときどき ぼくは むりに きみを ぼくの かたちに|10번의 時々 가 되돌아온다. 無理に=억지로. 다음 줄로 이어진다
16|끼워 맞춰 버릴 것 같아지지만|はめてしまいそうに なるけれど|〜てしまう=〜해 버리다. 〜そうになる=〜할 뻔하다. けれど=けど의 정중한 쪽
17|두 사람이 키우는 사랑의 이름은|ふたりが はぐくむ あいの なまえは|8번의 「花の名前」가 「愛の名前」로 바뀐다. 育む=키우다
18|거리에 묻힐 듯한 작은 물망초|まちに うもれそうな ちいさな わすれなぐさ|9번과 같은 줄
19|갈 곳 없는 길모퉁이에 우두커니 서서|ゆくあてのない まちかどに たたずみ|行く当て=갈 곳. 佇む=우두커니 서다. 연용형으로 다음 줄에 이어진다
20|너에게 입 맞춰도|きみに くちづけても|口づけ=입맞춤. 〜ても=〜해도
21|행복하니 미쳐 버린 거리에서는|しあわせかい くるった まちでは|세 번째 幸せかい. 앞의 둘과 달리 뒤에 어두운 말이 온다
22|두 사람의 이 사랑조차 빛바래고 짓밟혀|ふたりの この あいさえ うつろい ふみにじられる|移ろう=변해 가다·빛바래다. 踏みにじる의 수동형(짓밟히다)
23|처음 너를 만난 날 나는 빌딩 너머의|はじめて きみと であった ひ ぼくは ビルの むこうの|6번과 같은 줄
24|하늘을 언제까지나 찾고 있었어|そらを いつまでも さがしてた|7번과 같은 줄
25|네가 가르쳐 준 꽃의 이름은|きみが おしえてくれた はなの なまえは|8번과 같은 줄
26|거리에 묻힐 듯한 작은 물망초|まちに うもれそうな ちいさな わすれなぐさ|9·18번과 같은 줄. 이 말로 곡이 끝난다
