# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|疲れて眠る|つかれて ねむる|지쳐 잠든|연용형 뒤에 동사를 바로 붙여 앞말이 뒤를 꾸민다
E|時の多さ|ときの おおさ|시간의 많음|형용사+さ=명사로 만든다. 14번 줄 「強さ」가 같은 꼴이다
E|うなずく様に|うなずく ように|수긍하듯이|〜様に=〜하듯이. 読み는 ように
E|よりそう|よりそう|바싹 붙다|寄り添う. 몸도 마음도 가까이 붙는다는 말
E|たたく風に目覚めて|たたく かぜに めざめて|두드리는 바람에 깨어|〜に=원인. 目覚める=잠에서 깨다
E|よせてみた|よせてみた|대 봤어|〜てみる=〜해 보다. 寄せる=가까이 대다
E|幸せかい|しあわせかい|행복하니|〜かい=남자 말투의 부드러운 물음. 이 곡에 세 번 나온다
E|抱きしめた|だきしめた|끌어안았어|抱きしめる=꼭 껴안다. 抱く+締める
E|初めて君と出会った日|はじめて きみと であった ひ|처음 너를 만난 날|出会う=우연히 만나다. 후렴을 여는 말이다
E|さがしてた|さがしてた|찾고 있었어|探していた 의 줄임. 노래·구어에서 い가 빠진다
E|おしえてくれた|おしえてくれた|가르쳐 줬어|〜てくれる=(남이 나에게) 〜해 주다. 고마움이 담긴다
E|うもれそうな|うもれそうな|묻힐 듯한|동사 연용형+そう=〜할 것 같다
E|見るけど|みるけど|(꿈을) 꾸지만|夢を見る=꿈을 꾸다. 「꾸다」에 見る를 쓴다
E|おやすみよ|おやすみよ|잘 자|お休み. よ=부드럽게 건네는 말끝
E|わけあい|わけあい|나눠 가지며|分け合う. 〜合う=서로 〜하다
E|生きるんだ|いきるんだ|사는 거야|〜んだ=다짐하듯 맺는 말끝
E|ひとりぼっち|ひとりぼっち|외톨이|一人ぼっち. ぼっち는 홀로 남은 느낌을 준다
E|ささやかな|ささやかな|소박한|ささやか=조촐하다. 크지 않아 오히려 귀한 것에 쓴다
E|ためらいさえも|ためらいさえも|망설임조차도|〜さえも=〜조차도. 躊躇い=망설임
E|ごらん|ごらん|보렴|ご覧. 부드럽게 건네는 명령
E|はめてしまいそうになる|はめてしまいそうに なる|끼워 맞춰 버릴 것 같아지다|〜てしまう=〜해 버리다 + 〜そうになる=〜할 뻔하다
E|育くむ|はぐくむ|키우다|보통은 育む 로 적는다. 8번 줄 「花の名前」가 여기서 「愛の名前」가 된다
E|行くあてのない|ゆくあての ない|갈 곳 없는|行く当て=갈 곳
E|たたずみ|たたずみ|우두커니 서서|佇む. 연용형으로 다음 줄에 이어진다
E|口づけても|くちづけても|입 맞춰도|口づけ=입맞춤. 〜ても=〜해도
E|踏みにじられる|ふみにじられる|짓밟히다|踏みにじる=짓밟다. 그 수동형
# --- 단어 ---------------------------------------------------
V|朝|あさ|아침|
V|光|ひかり|빛|
V|窓|まど|창문|
V|風|かぜ|바람|
V|頬|ほお|뺨|
V|昨晩|さくばん|어젯밤|
V|ぬくもり|ぬくもり|온기|한자로는 温もり
V|そっと|そっと|살며시|
V|空|そら|하늘|
V|いつまでも|いつまでも|언제까지나|
V|花|はな|꽃|
V|わすれな草|わすれなぐさ|물망초|한자로는 勿忘草. 이 곡의 제목이다
V|胸|むね|가슴|
V|人生|じんせい|인생|
V|暮らし|くらし|삶·생활|
V|無理に|むりに|억지로|無理=무리·억지
V|形|かたち|모양·틀|「僕の形にはめる」=내 틀에 끼워 맞추다
V|街角|まちかど|길모퉁이|
V|狂った|くるった|미쳐 버린|狂う=미치다·어긋나다
