# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|아, 배고파.|ああ はら へった|
2|슈타르크 님, 곧 마을에 도착할 테니까 참으세요.|シュタルクさま もうすぐ まちに つく はずですから がまんしてください|
3|추천은 안 하지만, 배가 불러지는 마법 있어.|おすすめ しないけど おなか いっぱいに なる まほう あるよ|
4|뭐야 그거? 대단하잖아. 걸어줘.|なにそれ すごいじゃん かけてくれよ|
5|프리렌 님, 왜 추천 안 하시는 거예요?|ふりーれんさま なんで おすすめ しないんですか|
6|음, 뭐 됐나.|えっと まあ いいか|
7|오, 대단해. 배가 부르다.|おお すげえ おなか いっぱいだ|
8|공복감은 없나요?|くうふくかんは ないんですか|
9|전혀 없어. 고마워, 프리렌.|ぜんぜん ないよ ありがとう ふりーれん|
10|잘 먹겠습니다.|いただきます|
11|둘 다 치사해.|ふたりとも ずるい|
12|나도 먹고 싶어.|おれも たべたい|
13|치사하다고 하셔도, 배부르시잖아요.|ずるいって いわれても おなか いっぱいなんですよね|
14|맛있다는 느낌이 전혀 없고, 그냥 배만 부른 거니까.|おいしい かんじが ぜんぜん なくて おなか いっぱいに なっただけなんだもんね|
15|그래서 별로 안 쓰는 게.|だから あんまり つかわない ほうが|
16|못 참겠어. 배부르지만 나도 먹을래.|がまん できない おなか いっぱいだけど おれも たべる|
17|배 꺼지는 마법 걸어줘.|おなか へらす まほうを かけて|
18|그건 몰라.|それは しらない|
