# 형식: 種類|日本語|読み|韓国語|メモ   (E = 표현・문형, V = 단어)
E|なんて暑いんだ|なんて あついんだ|뭐가 이렇게 덥냐|なんて〜んだ=참 ~하구나(감탄)
E|日が落ちるまで日陰で休むか|ひが おちるまで ひかげで やすむか|해가 질 때까지 그늘에서 쉴까|〜まで=~할 때까지
E|今日中に町には行かないと|きょうじゅうに まちには いかないと|오늘 안에 마을에는 가야 해|〜ないと=~해야 한다
E|どのくらいの範囲なんでしょうか|どのくらいの はんいなんでしょうか|어느 정도 범위인가요|どのくらい=어느 정도
E|あんまり使ったことないからよく覚えてない|あんまり つかった こと ないから よく おぼえてない|별로 써본 적이 없어서 잘 기억이 안 난다|〜たことない=~한 적 없다
E|この暑さをしのげるなら何でもいい|この あつさを しのげるなら なんでも いい|이 더위를 견딜 수 있다면 뭐든 좋다|しのぐ=견디다
E|凍えそうです|こごえそうです|얼어 죽겠어요|〜そう=~할 것 같다
V|日陰|ひかげ|그늘|
V|快適|かいてき|쾌적|
V|厚着|あつぎ|옷을 껴입음|
V|体温調節|たいおんちょうせつ|체온 조절|
