# 형식: 種類|日本語|読み|韓国語|メモ   (E = 표현・문형, V = 단어)
# --- 표현 ---------------------------------------------------
E|人が迷惑すると思うので|ひとが めいわくすると おもうので|사람들에게 민폐일 것 같으니|〜ので=~때문에·~니까(이유)
E|使わないでおきましょう|つかわないでおきましょう|쓰지 말아 두죠|〜ておく=~해 두다
E|やってみたいけどな|やってみたいけどな|해보고 싶은데|〜てみたい=~해보고 싶다
E|話したら幼稚だと言ってくる|はなしたら ようちだと いってくる|얘기했더니 유치하다고 하다|〜たら=~했더니(계기)
E|入れ替えるよ|いれかえるよ|바꿀게|〜える=타동사(스스로 바꾸다)
E|本当に入れ替わってる|ほんとうに いれかわってる|진짜로 바뀌었어|〜ている=~해 있다(결과 상태)
E|このままで過ごしてみよう|このままで すごしてみよう|이대로 지내 보자|〜てみよう=~해 보자(제안)
# --- 단어 ---------------------------------------------------
V|報酬|ほうしゅう|보상|
V|心と体|こころと からだ|몸과 마음|
V|入れ替わる|いれかわる|서로 바뀌다|
V|迷惑|めいわく|민폐|
V|師匠|ししょう|스승|
V|幼稚|ようち|유치함|
V|探求心|たんきゅうしん|탐구심|
V|片付ける|かたづける|정리하다|
