# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
味|味|あじ|맛|미
変わら,変わっ,変わん|変わる|かわる|변하다·바뀌다|변
試し|試す|ためす|시험하다|시
魔法|魔法|まほう|마법|마법
前|前|まえ|앞|전
全然|全然|ぜんぜん|전혀|전연
相当|相当|そうとう|상당히|상당
酒飲み|酒飲み|さけのみ|술꾼|주음
気づか|気付く|きづく|알아차리다|기부
遅く|遅い|おそい|늦다|지
分|分|ぶん|몫·분|분
頼ん,頼む|頼む|たのむ|부탁하다·주문하다|뢰
駆けつけ|駆け付ける|かけつける|달려오다|구부
一|一|いち|하나·1|일
杯|杯|さかずき|~잔|배
珍しい|珍しい|めずらしい|드물다·별일이다|진
私|私|わたくし|나·저|사
酒|酒|さけ|술|주
勧め|勧める|すすめる|권하다|권
世話|世話|せわ|신세·보살핌|세화
礼|礼|れい|답례·인사|례
言葉|言葉|ことば|말|언엽
甘え|甘える|あまえる|응석부리다·호의에 기대다|감
坊主|坊主|ぼうず|중·스님|방주
様|様|よう|~님|양
朝|朝|あさ|아침|조
強い,強かっ|強い|つよい|강하다·잘하다|강
思う,思っ|思う|おもう|생각하다|사
寝|寝る|ねる|자다|침
日|日|ひ|날·해|일
中|中|なか|안·중|중
早速|早速|さっそく|당장·즉시|조속
六|六|ろく|여섯·6|육
時|時|じ|때·시|시
早く|早く|はやく|일찍·빨리|조
起き|起きる|おきる|일어나다|기
朝ご飯|朝御飯|あさごはん|아침밥|조어반
二|二|に|둘·2|이
度|度|ど|~번(횟수)|도
寝|寝|ね|잠|침
匂い|匂い|におい|냄새|내
言っ,言わ,言う|言う|ゆう|말하다|언
人|人|ひと|사람|인
感じる|感ずる|かんずる|느끼다|감
違い,違う|違う|ちがう|다르다·틀리다|위
香水|香水|こうすい|향수|향수
感じ|感じ|かんじ|느낌|감
花|花|はな|꽃|화
香り|香り|かおり|향기|향
爽やか|爽やか|さわやか|상쾌함|상
何|何|なん|무엇|하
肉|肉|にく|고기|육
焼い,焼か|焼く|やく|굽다|소
香ばしい|香ばしい|こうばしい|고소하다|향
食欲|食欲|しょくよく|식욕|식욕
作っ,作れる,作り|作る|つくる|만들다|작
使い|使い|つかい|~쓰는 사람|사
今日|今日|きょう|오늘|금일
晩飯|晩飯|ばんめし|저녁밥|만반
怖い|怖い|こわい|무섭다|포
運|運|うん|운|운
良く,良|良い|よい|좋다|량
程度|程度|ていど|정도|정도
楽しみ|楽しみ|たのしみ|기대·즐거움|락
本当|本当|ほんとう|정말·진짜|본당
効く,効い,効か|利く|きく|듣다·효과가 있다|리
辺|辺|へん|근처|변
魔物|魔物|まもの|마물|마물
多い|多い|おおい|많다|다
道|道|みち|길|도
方|方|ほう|쪽·편|방
出|出る|でる|나오다·나가다|출
遭遇|遭遇|そうぐう|조우·마주침|조우
通り|通り|とおり|~대로|통
大当たり|大当たり|おおあたり|대박·큰 당첨|대당
最|最|さい|가장|최
高級|高級|こうきゅう|고급|고급
信憑|信憑|しんぴょう|신빙|신빙
性|性|せい|~성|성
俺|俺|おれ|나(남자의 1인칭)|엄
男|男|おとこ|남자|남
勝負|勝負|しょうぶ|승부|승부
僧侶|僧侶|そうりょ|승려·성직자|승려
身ぐるみ|身包み|みぐるみ|가진 것 전부|신포
剥がさ|剥がす|はがす|벗기다|박
弱い|弱い|よわい|약하다|약
相手|相手|あいて|상대|상수
伝説|伝説|でんせつ|전설|전설
級|級|きゅう|급|급
宿屋|宿屋|やどや|여관|숙옥
女将|女将|おかみ|(여관·식당의) 여주인|녀장
感動|感動|かんどう|감동|감동
金|金|きん|돈·금|금
魔導|魔導|まどう|마도|마도
書|書|しょ|~서(책)|서
譲れ|譲る|ゆずる|양보하다·넘기다|양
見|見る|みる|보다|견
油汚れ|油汚れ|あぶらよごれ|기름때|유오
落ち,落ちる|落ちる|おちる|(때가) 지워지다·떨어지다|락
大|大|おお|큰·대|대
使い,使っ,使わ,使う|使う|つかう|쓰다·사용하다|사
働く|働く|はたらく|일하다|동
皆|皆|みな|모두|개
一瞬|一瞬|いっしゅん|순식간·일순|일순
特別|特別|とくべつ|특별|특별
宅|宅|たく|댁|택
鍋|鍋|なべ|냄비|과
無料|無料|むりょう|무료|무료
目|目|め|~번째·눈|목
枚|枚|ばい|~장·닢|매
困っ|困る|こまる|곤란하다|곤
持っ|持つ|もつ|들다·가지다|지
単なる|単なる|たんなる|단순한|단
終わる|終わる|おわる|끝나다|종
願い|願う|ねがう|바라다·부탁하다|원
手伝っ|手伝う|てつだう|돕다|수전
滑舌|滑舌|かつぜつ|발음·말의 또렷함|활설
悪かっ,悪い|悪い|わるい|나쁘다|악
口下手|口下手|くちべた|말주변이 없음|구하수
嬉しい|嬉しい|うれしい|기쁘다|희
別|別|べつ|별개·딱히|별
気分|気分|きぶん|기분|기분
普通|普通|ふつう|보통|보통
食べ,食べる|食べる|たべる|먹다|식
早く|早い|はやい|빠르다·이르다|조
気|気|き|기운·마음|기
元|元|もと|원래|원
口数|口数|くちかず|말수|구수
少な|少ない|すくない|적다|소
森|森|もり|숲|삼
戦っ|戦う|たたかう|싸우다|전
振り返っ|振り返る|ふりかえる|되돌아보다|진반
先行|先行|せんこう|선행·앞서감|선행
敵|敵|てき|적|적
懐|懐|ふところ|품|회
飛び込む,飛び込ん|飛び込む|とびこむ|뛰어들다|비입
皮膚|皮膚|ひふ|피부|피부
固かっ,固い,硬い|固い|かたい|단단하다|고
与え|与える|あたえる|주다·가하다|여
単に|単に|たんに|단순히|단
自分|自分|じぶん|자기|자분
追い込む|追い込む|おいこむ|몰아넣다|추입
牽制|牽制|けんせい|견제|견제
部分|部分|ぶぶん|부분|부분
肘|肘|ひじ|팔꿈치|주
膝|膝|ひざ|무릎|슬
狙う|狙う|ねらう|노리다|저
動き|動き|うごき|움직임|동
細かく|細かい|こまかい|잘다·세세하다|세
喋り,喋っ|喋る|しゃべる|말하다·떠들다|첩
動物|動物|どうぶつ|동물|동물
全般|全般|ぜんぱん|전반|전반
魚|魚|さかな|물고기|어
限定|限定|げんてい|한정|한정
今|今|いま|지금|금
夕飯|夕飯|ゆうはん|저녁밥|석반
釣り|釣り|つり|낚시|조
行っ,行く,行き,行か|行く|いく|가다|행
帰っ,還る|返る|かえる|돌아가다|반
三|三|さん|셋·3|삼
匹|匹|ひき|~마리|필
釣れ,釣ら|吊る|つる|낚다·매달다|조
次|次|つぎ|다음|차
薪|薪|たきぎ|장작|신
取っ,取る|取る|とる|없애다·제거하다·가지다|취
昨日|昨日|きのう|어제|작일
父|父|ちち|아버지|부
家族|家族|かぞく|가족|가족
煮つけ|煮付け|につけ|조림|자부
逃がし|逃がす|にがす|놓아주다|도
宝箱|宝箱|たからばこ|보물상자|보상
代物|代物|しろもの|물건|대물
入っ,入れ,入ら|入る|はいる|들어가다·들어 있다|입
並ん|並ぶ|ならぶ|늘어서다|병
時点|時点|じてん|시점|시점
絶対|絶対|ぜったい|절대·분명|절대
当たり|当たり|あたり|당첨|당
運気|運気|うんき|운·운세|운기
上がっ|上がる|あがる|오르다|상
暗い|暗い|くらい|어둡다|암
見つけ|見付ける|みつける|찾아내다|견부
何何|何々|なになに|뭐뭐|하반복
語尾|語尾|ごび|어미·말끝|어미
変|変|へん|이상함|변
風|風|かぜ|식·모양|풍
同じ|同じ|おなじ|같음|동
面白い,面白|面白い|おもしろい|재미있다|면백
最初|最初|さいしょ|처음|최초
笑っ|笑う|わらう|웃다|소
負け|負け|まけ|패배·짐|부
週間|週間|しゅうかん|주간|주간
続ける|続ける|つづける|계속하다|속
望む|望む|のぞむ|바라다|망
恥ずかしい|恥ずかしい|はずかしい|부끄럽다|치
危ない|危ない|あぶない|위험하다|위
一番|一番|いちばん|가장·제일|일번
強烈|強烈|きょうれつ|강렬|강렬
勝てる|勝つ|かつ|이기다|승
手|手|て|손|수
入れ|入れる|いれる|넣다|입
偉い|偉い|えらい|훌륭하다·장하다|위
汚れ|汚れ|よごれ|얼룩·때|오
任せ|任せる|まかせる|맡기다|임
綺麗|奇麗|きれい|깨끗함·예쁨|기려
嫌|嫌|いや|싫음|혐
汚す|汚す|よごす|더럽히다|오
僕|僕|ぼく|나(남자의 1인칭)|복
一撃|一撃|いちげき|일격|일격
仕留める|仕留める|しとめる|잡다·쓰러뜨리다|사류
頭|頭|あたま|머리|두
撫でる,撫で|撫でる|なでる|쓰다듬다|무
身長|身長|しんちょう|키|신장
的|的|まと|~적|적
全く|全く|まったく|참나·전혀|전
報酬|報酬|ほうしゅう|보상|보수
伸ばす|伸ばす|のばす|늘리다|신
