# 한자 훈음 사전. 형식: 漢字|훈 음   (3화 공용, 빌드가 누락을 검사한다)
一|하나 일
中|가운데 중
乾|마를 건
人|사람 인
今|이제 금
他|다를 타
付|붙을 부
伝|전할 전
体|몸 체
何|어찌 하
使|하여금 사
例|법식 례
俺|나 엄
倒|넘어질 도
候|기후 후
入|들 입
冷|찰 랭
出|날 출
前|앞 전
動|움직일 동
匠|장인 장
単|홑 단
取|가질 취
受|받을 수
可|옳을 가
合|합할 합
問|물을 문
回|돌아올 회
固|굳을 고
報|갚을 보
外|바깥 외
天|하늘 천
好|좋을 호
導|이끌 도
師|스승 사
幼|어릴 유
度|법도 도
当|마땅할 당
役|부릴 역
待|기다릴 대
心|마음 심
念|생각 념
怖|두려울 포
思|생각할 사
急|급할 급
性|성품 성
恐|두려울 공
惑|미혹할 혹
愚|어리석을 우
愛|사랑 애
戦|싸움 전
戻|어그러질 려
手|손 수
抑|누를 억
授|줄 수
探|찾을 탐
撃|칠 격
攻|칠 공
族|겨레 족
暗|어두울 암
書|글 서
替|바꿀 체
服|옷 복
本|근본 본
格|격식 격
様|모양 양
権|권세 권
正|바를 정
歩|걸음 보
残|남을 잔
気|기운 기
求|구할 구
汚|더러울 오
法|법 법
洗|씻을 세
濯|씻을 탁
片|조각 편
特|특별할 특
生|날 생
畳|겹쳐질 첩
白|흰 백
的|과녁 적
相|서로 상
着|붙을 착
礼|예도 례
私|사사 사
稚|어릴 치
空|빌 공
立|설 립
簡|대쪽 간
級|등급 급
終|마칠 종
綺|비단 기
練|익힐 련
考|생각할 고
聞|들을 문
落|떨어질 락
衝|찌를 충
見|볼 견
言|말씀 언
試|시험 시
話|말씀 화
説|말씀 설
質|바탕 질
起|일어날 기
超|뛰어넘을 초
身|몸 신
迫|핍박할 박
迷|미혹할 미
過|지날 과
配|나눌 배
酬|갚을 수
酷|심할 혹
隠|숨길 은
雲|구름 운
静|고요할 정
面|낯 면
頑|완고할 완
頭|머리 두
験|시험 험
髪|터럭 발
魔|마귀 마
麗|고울 려
黄|누를 황
御|어거할 어
奇|기이할 기
足|발 족
物|물건 물
押|누를 압
三|석 삼
上|위 상
下|아래 하
与|줄 여
世|인간 세
並|나란히 병
主|주인 주
久|오랠 구
二|두 이
仕|섬길 사
代|대신할 대
以|써 이
仲|버금 중
任|맡길 임
休|쉴 휴
伸|펼 신
作|지을 작
供|이바지할 공
侶|짝 려
便|편할 편
信|믿을 신
偉|훌륭할 위
働|일할 동
僕|종 복
僧|중 승
元|으뜸 원
先|먼저 선
全|온전할 전
六|여섯 육
凍|얼 동
分|나눌 분
切|끊을 절
初|처음 초
別|다를 별
利|이로울 리
制|절제할 제
剣|칼 검
剥|벗길 박
力|힘 력
加|더할 가
効|본받을 효
勘|헤아릴 감
勝|이길 승
勢|형세 세
勧|권할 권
匂|향기 내
匹|짝 필
危|위태할 위
厚|두터울 후
厨|부엌 주
口|입 구
台|대 대
同|한가지 동
君|임금 군
周|두루 주
味|맛 미
喋|재잘거릴 첩
困|곤할 곤
囲|둘레 위
国|나라 국
地|땅 지
坊|동네 방
域|지경 역
境|지경 경
変|변할 변
夏|여름 하
夕|저녁 석
多|많을 다
大|큰 대
失|잃을 실
女|계집 녀
姉|손윗누이 자
始|비로소 시
嫌|싫어할 혐
嬉|아름다울 희
子|아들 자
孫|손자 손
宅|집 택
完|완전할 완
定|정할 정
宝|보배 보
実|열매 실
客|손 객
家|집 가
宿|잘 숙
寒|찰 한
寝|잘 침
対|대할 대
封|봉할 봉
将|장수 장
小|작을 소
少|적을 소
尾|꼬리 미
屋|집 옥
帰|돌아갈 귀
年|해 년
店|가게 점
弱|약할 약
強|강할 강
形|모양 형
後|뒤 후
