# 한자 훈음 사전. 형식: 漢字|훈 음
一|하나 일
上|위 상
中|가운데 중
二|두 이
人|사람 인
今|이제 금
伸|펼 신
住|살 주
何|어찌 하
元|으뜸 원
光|빛 광
出|날 출
列|벌릴 렬
動|움직일 동
同|한가지 동
君|임금 군
呼|부를 호
喜|기쁠 희
夏|여름 하
夕|저녁 석
夜|밤 야
寄|부칠 기
少|적을 소
度|법도 도
後|뒤 후
心|마음 심
思|생각할 사
息|쉴 식
悲|슬플 비
情|뜻 정
手|손 수
日|날 일
最|가장 최
未|아닐 미
来|올 래
欲|하고자할 욕
波|물결 파
消|사라질 소
焦|탈 초
砂|모래 사
笑|웃음 소
終|마칠 종
続|이을 속
繋|맬 계
繰|고치켤 조
花|꽃 화
葉|잎 엽
行|다닐 행
見|볼 견
解|풀 해
言|말씀 언
足|발 족
車|수레 차
返|돌이킬 반
通|통할 통
過|지날 과
選|가릴 선
間|사이 간
離|떠날 리
静|고요할 정
音|소리 음
顔|낯 안
飲|마실 음
傷|다칠 상
凪|바람 잘 지
刻|새길 각
咲|필 소
姿|모양 자
攫|움킬 확
昧|어두울 매
暮|저물 모
曖|희미할 애
済|건널 제
渚|물가 저
渡|건널 도
火|불 화
燥|마를 조
胸|가슴 흉
触|닿을 촉
付|줄 부
溶|녹을 용
