# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
1|그날 바라보았던 물가를|あのひ みわたした なぎさを|見渡す=(넓게) 둘러보다·바라보다. 渚=물가·바닷가
2|지금도 떠올리곤 해|いまも おもいだすんだ|思い出す=떠올리다. 〜んだ=〜하는 거야(설명·강조)
3|모래 위에 새긴 말|すなの うえに きざんだ ことば|刻む=새기다. 〜んだ 여기서는 刻んだ(과거형)
4|너의 뒷모습|きみの うしろすがた|後ろ姿=뒷모습
5|밀려왔다 돌아가는 파도가 발치를 스치고|よりかえす なみが あしもとを よぎり|寄り返す=밀려왔다 되돌아가다. よぎる=스쳐 지나가다
6|무언가를 휩쓸어 가|なにかを さらう|攫う=채 가다·휩쓸어 가다
7|바람 잔 저녁 바다 위에서|ゆうなぎの なか|夕凪=저녁 무렵 바닷바람이 잠잠해지는 것
8|해질녘만이 지나가|ひぐれだけが とおりすぎて いく|〜だけ=〜만. 通り過ぎていく=지나가 버리다
9|팟 하고 빛나며 피어난|パッと ひかって さいた|パッと=팟·확 하고. 咲く=피다(불꽃이 터지는 것도 咲く)
10|불꽃을 보고 있었어|はなびを みて いた|花火=불꽃놀이. 〜ていた=〜하고 있었다
11|분명 아직 끝나지 않은 여름이|きっと まだ おわらない なつが|きっと=분명. 終わらない夏=끝나지 않은 여름
12|애매한 마음을 녹여서 이어 주었지|あいまいな こころを とかして つないだ|曖昧=애매함. 解かす=녹이다·풀다. 繋ぐ=잇다
13|이 밤이 계속되길 바랐어|この よるが つづいて ほしかった|〜て欲しかった=〜해 주길 바랐다(이루어지지 않은 소망)
14|「앞으로 몇 번이나 너와 같은 불꽃을 볼 수 있을까」라며|「あと なんど きみと おなじ はなびを みられるかな」って|あと何度=앞으로 몇 번. 見られる=볼 수 있다. 〜かな=〜일까. 〜って=〜라고
15|웃는 얼굴에 무엇을 할 수 있을까|わらう かおに なにが できるだろうか|〜だろうか=〜일까(자문)
16|상처받는 일, 기뻐하는 일|きずつく こと よろこぶ こと|傷つく=상처받다. 〜こと=〜하는 일
17|반복되는 파도와 감정|くりかえす なみと じょうどう|繰り返す=반복하다. 情動=감정의 움직임
18|초조함, 마지막 열차 소리|しょうそう さいしゅう れっしゃの おと|焦燥=초조. 最終列車=막차
19|몇 번이라도 말로 해서 너를 부를게|なんどでも ことばに して きみを よぶよ|何度でも=몇 번이라도. 言葉にする=말로 하다
20|물결 사이를 골라 다시 한번|なみまを えらび もう いちど|波間=물결 사이. 選び=選ぶ의 연용형(〜하고). もう一度=다시 한번
21|이제 두 번 다시 슬퍼하지 않고|もう にどと かなしまずに|二度と〜ない=두 번 다시 〜않다. 〜ずに=〜하지 않고
22|끝나도록|すむ ように|済む=끝나다·해결되다. 〜ように=〜하도록
23|헉 하고 숨을 삼키면|はっと いきを のめば|息を飲む=숨을 삼키다(놀람). 〜ば=〜하면
24|사라져 버릴 것 같은 빛이|きえちゃいそうな ひかりが|消えちゃう=消えてしまう. 〜そうな=〜할 것 같은
25|분명 아직 가슴에 살고 있었어|きっと まだ むねに すんで いた|住む=살다·머물다
26|손을 뻗으면 닿았던|てを のばせば ふれた|伸ばす=뻗다. 触れる=닿다. 〜ば=〜하면
27|따뜻한 미래는|あったかい みらいは|あったかい=暖かい의 구어형
28|남몰래 둘을 보고 있었어|ひそかに ふたりを みて いた|ひそかに=남몰래·살며시
29|팟 하고 불꽃이 (팟 하고 불꽃이)|パッと はなびが (パッと はなびが)|괄호는 뒤따라 부르는 코러스
30|밤에 피었어 (밤에 피었어)|よるに さいた (よるに さいた)|
31|밤에 피어서 (밤에 피어서)|よるに さいて (よるに さいて)|〜て=〜하고·〜해서
32|조용히 사라졌어 (조용히 사라졌어)|しずかに きえた (しずかに きえた)|静かに=조용히
33|놓지 말아 줘 (떠나지 말아 줘)|はなさないで (はなれないで)|離す=놓다(타동사) / 離れる=떨어지다(자동사). 〜ないで=〜하지 말아 줘
34|조금만 더 (조금만 더)|もう すこしだけ (もう すこしだけ)|もう少し=조금 더. 〜だけ=〜만
35|조금만 더, 이대로|もう すこしだけ この ままで|このままで=이대로
36|그날 바라보았던 물가를|あのひ みわたした なぎさを|1번과 같음
37|지금도 떠올리곤 해|いまも おもいだすんだ|
38|모래 위에 새긴 말|すなの うえに きざんだ ことば|
39|너의 뒷모습|きみの うしろすがた|
40|팟 하고 빛나며 피어난|パッと ひかって さいた|
41|불꽃을 보고 있었어|はなびを みて いた|
42|분명 아직 끝나지 않은 여름이|きっと まだ おわらない なつが|
43|애매한 마음을 녹여서 이어 주었지|あいまいな こころを とかして つないだ|
44|이 밤이 계속되길 바랐어|この よるが つづいて ほしかった|
