# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|思い出すんだ|おもいだすんだ|떠올리곤 해|思い出す(떠올리다)+んだ(설명·강조). 회화에서 매우 흔한 〜んだ
E|日暮れだけが|ひぐれだけが|해질녘만이|〜だけ=〜만. 日暮れ=해질녘
E|通り過ぎて行く|とおりすぎて いく|지나가 버리다|〜ていく=(멀어지며) 〜해 가다
E|パッと光って|パッと ひかって|팟 하고 빛나서|パッと=갑자기·확. 의태어+と
E|見ていた|みて いた|보고 있었어|〜ていた=〜하고 있었다(과거 진행)
E|きっとまだ|きっと まだ|분명 아직|きっと=분명·틀림없이. まだ=아직
E|終わらない夏|おわらない なつ|끝나지 않은 여름|동사 부정형이 명사를 꾸민다
E|続いて欲しかった|つづいて ほしかった|계속되길 바랐어|〜て欲しい=〜해 주길 바라다. 과거형이면 「바랐지만 안 됐다」
E|あと何度|あと なんど|앞으로 몇 번|あと=앞으로(남은). 何度=몇 번
E|見られるかな|みられるかな|볼 수 있을까|見られる(가능형)+かな(〜일까, 혼잣말)
E|何ができるだろうか|なにが できるだろうか|무엇을 할 수 있을까|〜だろうか=〜일까(자문)
E|何度でも|なんどでも|몇 번이라도|의문사+でも=〜라도(전부)
E|言葉にして|ことばに して|말로 해서|〜にする=〜로 하다. 言葉にする=말로 표현하다
E|もう一度|もう いちど|다시 한번|
E|もう二度と|もう にどと|이제 두 번 다시|二度と〜ない=두 번 다시 〜않다
E|悲しまずに|かなしまずに|슬퍼하지 않고|〜ずに=〜ないで(〜하지 않고)의 문어체
E|済むように|すむ ように|끝나도록|済む=끝나다. 〜ように=〜하도록
E|息を飲めば|いきを のめば|숨을 삼키면|息を飲む=(놀라서) 숨을 삼키다. 〜ば=〜하면
E|消えちゃいそうな|きえちゃいそうな|사라져 버릴 것 같은|〜ちゃう=〜てしまう. 〜そうな=〜할 것 같은
E|手を伸ばせば|てを のばせば|손을 뻗으면|伸ばす=뻗다. 가정의 〜ば
E|離さないで|はなさないで|놓지 말아 줘|〜ないで=〜하지 말아 줘(부탁)
E|離れないで|はなれないで|떠나지 말아 줘|離れる(자동사)=떨어지다·떠나다
E|もう少しだけ|もう すこしだけ|조금만 더|もう少し(조금 더)+だけ(만)
E|このままで|この ままで|이대로|〜まま=〜한 채·그대로
# --- 단어 ---------------------------------------------------
V|見渡した|みわたした|둘러보았던|見渡す=넓게 바라보다
V|渚|なぎさ|물가·바닷가|
V|砂|すな|모래|
V|刻んだ|きざんだ|새긴|刻む=새기다·잘게 썰다
V|後ろ姿|うしろすがた|뒷모습|
V|波|なみ|파도|
V|足元|あしもと|발밑·발치|
V|夕凪|ゆうなぎ|저녁 무렵 잔잔해진 바다|凪=바람이 잔잔함
V|花火|はなび|불꽃놀이|打上花火=쏘아 올리는 불꽃
V|曖昧な|あいまいな|애매한|
V|心|こころ|마음|
V|夜|よる|밤|
V|笑う|わらう|웃다|
V|顔|かお|얼굴|
V|傷つく|きずつく|상처받다|
V|喜ぶ|よろこぶ|기뻐하다|
V|繰り返す|くりかえす|반복하다|
V|焦燥|しょうそう|초조|
V|最終列車|さいしゅう れっしゃ|마지막 열차|終電(막차)과 같은 뜻
V|音|おと|소리|
V|呼ぶ|よぶ|부르다|
V|波間|なみま|물결 사이|
V|選び|えらび|고르고|選ぶ=고르다
V|光|ひかり|빛|
V|胸|むね|가슴|
V|未来|みらい|미래|
V|静かに|しずかに|조용히|
V|二人|ふたり|둘·두 사람|
