# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
日|日|ひ|날·해|일
見渡し|見渡す|みわたす|둘러보다·바라보다|견도
渚|渚|なぎさ|물가·바닷가|저
今|今|いま|지금|금
思い出す|思い出す|おもいだす|떠올리다|사출
砂|砂|すな|모래|사
上|上|うえ|위|상
刻ん|刻む|きざむ|새기다|각
言葉|言葉|ことば|말|언엽
君|君|きみ|너|군
後ろ姿|後ろ姿|うしろすがた|뒷모습|후자
寄り|寄る|よる|다가오다·밀려오다|기
返す|返す|かえす|되돌리다|반
波|波|なみ|파도|파
足元|足元|あしもと|발밑·발치|족원
何|何|なに|무엇|하
攫う|攫う|さらう|휩쓸어 가다·채 가다|확
夕凪|夕凪|ゆうなぎ|저녁 무렵 바람이 잔잔해짐|석지
中|中|なか|안·중|중
日暮れ|日暮れ|ひぐれ|해질녘|일모
通り過ぎ|通り過ぎる|とおりすぎる|지나가다|통과
行く|行く|いく|가다|행
光っ|光る|ひかる|빛나다|광
咲い|咲く|さく|피다|소
花火|花火|はなび|불꽃놀이|화화
見|見る|みる|보다|견
終わら|終わる|おわる|끝나다|종
夏|夏|なつ|여름|하
曖昧|曖昧|あいまい|애매함|애매
心|心|こころ|마음|심
解かし|溶かす|とかす|녹이다·풀다|용
繋い|繋ぐ|つなぐ|잇다|계
夜|夜|よる|밤|야
続い|続く|つづく|계속되다|속
欲しかっ|欲しい|ほしい|바라다·원하다|욕
度|度|ど|번·회|도
君|君|きみ|~군|군
同じ|同じ|おなじ|같음|동
笑う|笑う|わらう|웃다|소
顔|顔|かお|얼굴|안
傷つく|傷付く|きずつく|상처받다|상부
喜ぶ|喜ぶ|よろこぶ|기뻐하다|희
繰り返す|繰り返す|くりかえす|반복하다|조반
情動|情動|じょうどう|정동·감정의 움직임|정동
焦燥|焦燥|しょうそう|초조|초조
最終|最終|さいしゅう|마지막|최종
列車|列車|れっしゃ|열차|렬차
音|音|おと|소리|음
呼ぶ|呼ぶ|よぶ|부르다|호
波間|波間|なみま|물결 사이|파간
選び|選ぶ|えらぶ|고르다|선
一|一|いち|하나·1|일
二|二|に|둘|이
悲しま|悲しむ|かなしむ|슬퍼하다|비
済む|済む|すむ|끝나다·해결되다|제
息|息|いき|숨|식
飲め|飲む|のむ|마시다·삼키다|음
消え|消える|きえる|사라지다|소
光|光|ひかり|빛|광
胸|胸|むね|가슴|흉
住ん|住む|すむ|살다·머물다|주
手|手|て|손|수
伸ばせ|伸ばす|のばす|뻗다|신
触れ|触れる|ふれる|닿다·만지다|촉
未来|未来|みらい|미래|미래
二人|二人|ふたり|두 사람|이인
静か|静か|しずか|조용함|정
離さ|離す|はなす|놓다·떼다|리
離れ|離れる|はなれる|떨어지다·떠나다|리
少し|少し|すこし|조금|소
