# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
# 한국 CCM 「꽃들도」의 일본어판(MEBIG).
1|여기에 샘이 솟네|ここに いずみは わく|泉=샘. 湧く=솟다
2|눈물을 지날 때|なみだを すぎる とき|過ぎる=지나다. 〜とき=〜할 때
3|이윽고 열매를 맺고|やがて みを むすび|実を結ぶ=열매 맺다. 연용형으로 잇는다
4|웃음소리로 가득 차네|わらいごえに みちる|笑い声=웃음소리. 満ちる=가득 차다
5|꽃도 구름도 바람도 큰 바다도|はなも くもも かぜも おおうみも|大海=おおうみ. 〜も 가 네 번 이어진다
6|연주하라 연주하라 예수를|かなでよ かなでよ イエスを|奏でる=연주하다. 〜よ=명령
7|하늘에 울려라 노래하라 영혼아|そらに ひびけ うたえ たましいよ|響け·歌え=명령형. 〜よ=부르는 말
8|은혜를 은혜를 은혜를|めぐみを めぐみを めぐみを|恵み=은혜
9|우러러라 하늘은 열리고|あおげ てんは ひらき|仰げ=仰ぐ의 명령형. 開き=연용형
10|우리는 보게 되리|ぼくらは みる だろう|僕ら=우리. 〜だろう=〜일 것이다
11|이윽고 꽃은 피고|やがて はなは さき|咲く=피다
12|영광의 주가 오시네|えいこうの しゅが こられる|来られる=来る의 존경형
13|꽃도 구름도 바람도 큰 바다도|はなも くもも かぜも おおうみも|5번과 같은 줄
14|연주하라 연주하라 예수를|かなでよ かなでよ イエスを|6번과 같은 줄
15|하늘에 울려라 노래하라 영혼아|そらに ひびけ うたえ たましいよ|7번과 같은 줄
16|은혜를 은혜를 은혜를|めぐみを めぐみを めぐみを|8번과 같은 줄
17|꽃도 구름도 바람도 큰 바다도|はなも くもも かぜも おおうみも|5번과 같은 줄
18|연주하라 연주하라 예수를|かなでよ かなでよ イエスを|6번과 같은 줄
19|하늘에 울려라 노래하라 영혼아|そらに ひびけ うたえ たましいよ|7번과 같은 줄
20|은혜를 은혜를 은혜를|めぐみを めぐみを めぐみを|8번과 같은 줄. 이 말로 곡이 끝난다
