# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|泉はわく|いずみは わく|샘이 솟다|湧く=솟다
E|すぎるとき|すぎる とき|지날 때|過ぎる+とき
E|実を結び|みを むすび|열매를 맺고|実を結ぶ=열매 맺다
E|笑い声に満ちる|わらいごえに みちる|웃음소리로 가득 차다|満ちる=가득 차다
E|奏でよ|かなでよ|연주하라|奏でる의 명령형
E|響け歌え|ひびけ うたえ|울려라 노래하라|명령형 둘을 나란히
E|魂よ|たましいよ|영혼아|〜よ=부르는 말
E|仰げ|あおげ|우러러라|仰ぐ의 명령형
E|見るだろう|みる だろう|보게 되리|〜だろう=〜일 것이다
E|来られる|こられる|오시네|来る의 존경형
# --- 단어 ---------------------------------------------------
V|泉|いずみ|샘|
V|涙|なみだ|눈물|
V|雲|くも|구름|
V|大海|おおうみ|큰 바다|
V|恵み|めぐみ|은혜|
V|天|てん|하늘|
V|栄光|えいこう|영광|
