# 한자 훈음 사전. 형식: 漢字|훈 음   (빌드가 누락을 검사한다)
々|같은 글자 반복
一|하나 일
丈|어른 장
三|석 삼
上|위 상
下|아래 하
不|아닐 불
並|나란히 병
中|가운데 중
事|일 사
二|두 이
互|서로 호
人|사람 인
今|이제 금
仕|섬길 사
代|대신할 대
以|써 이
任|맡길 임
伝|전할 전
位|자리 위
体|몸 체
何|어찌 하
作|지을 작
使|하여금 사
健|굳셀 건
備|갖출 비
像|모양 상
僕|종 복
元|으뜸 원
光|빛 광
入|들 입
全|온전할 전
共|한가지 공
内|안 내
出|날 출
分|나눌 분
切|끊을 절
初|처음 초
前|앞 전
割|벨 할
力|힘 력
助|도울 조
動|움직일 동
匂|향기 내
化|될 화
北|북녘 북
単|홑 단
印|도장 인
原|언덕 원
反|돌이킬 반
取|가질 취
受|받을 수
口|입 구
可|옳을 가
台|대 대
合|합할 합
同|한가지 동
君|임금 군
吸|마실 흡
味|맛 미
品|물건 품
員|인원 원
嘘|거짓말 허
回|돌아올 회
在|있을 재
地|땅 지
基|터 기
場|마당 장
変|변할 변
大|큰 대
天|하늘 천
太|클 태
夫|지아비 부
女|계집 녀
好|좋을 호
嬉|아름다울 희
子|아들 자
学|배울 학
守|지킬 수
完|완전할 완
実|열매 실
客|손 객
寒|찰 한
対|대할 대
小|작을 소
少|적을 소
島|섬 도
常|항상 상
年|해 년
広|넓을 광
底|밑 저
度|법도 도
座|자리 좌
引|끌 인
強|강할 강
当|마땅할 당
影|그림자 영
役|부릴 역
彼|저 피
後|뒤 후
徹|통할 철
必|반드시 필
志|뜻 지
応|응할 응
思|생각할 사
性|성품 성
恋|그리워할 련
情|뜻 정
想|생각 상
意|뜻 의
愛|사랑 애
感|느낄 감
成|이룰 성
我|나 아
戦|싸움 전
所|바 소
手|손 수
抑|누를 억
抜|뺄 발
持|가질 지
指|손가락 지
挑|돋울 도
握|쥘 악
撃|칠 격
教|가르칠 교
数|셀 수
敵|대적할 적
新|새 신
方|모 방
日|날 일
明|밝을 명
時|때 시
普|널리 보
晴|갤 청
曲|굽을 곡
書|글 서
最|가장 최
本|근본 본
来|올 래
染|물들 염
格|격식 격
楽|즐길 락
構|얽을 구
欲|하고자할 욕
歌|노래 가
正|바를 정
歳|해 세
毎|매양 매
気|기운 기
況|하물며 황
活|살 활
流|흐를 류
浮|뜰 부
満|찰 만
演|펼 연
然|그럴 연
熱|더울 열
爆|터질 폭
物|물건 물
状|형상 상
現|나타날 현
理|다스릴 리
甘|달 감
生|날 생
田|밭 전
画|그림 화
番|차례 번
発|필 발
白|흰 백
的|과녁 적
皆|다 개
監|볼 감
目|눈 목
直|곧을 직
督|감독할 독
確|굳을 확
神|귀신 신
私|사사 사
秘|숨길 비
空|빌 공
笑|웃음 소
簡|대쪽 간
細|가늘 세
終|마칠 종
経|지날 경
結|맺을 결
置|둘 치
美|아름다울 미
考|생각할 고
聞|들을 문
職|벼슬 직
自|스스로 자
色|빛 색
苦|쓸 고
英|꽃부리 영
落|떨어질 락
葉|잎 엽
行|다닐 행
衛|지킬 위
衝|찌를 충
表|겉 표
装|꾸밀 장
補|도울 보
要|요긴할 요
見|볼 견
視|볼 시
言|말씀 언
詞|말 사
話|말씀 화
語|말씀 어
説|말씀 설
読|읽을 독
識|알 식
警|경계할 경
議|의논할 의
質|바탕 질
起|일어날 기
足|발 족
身|몸 신
転|구를 전
込|넣을 입
返|돌이킬 반
逆|거스를 역
通|통할 통
週|돌 주
運|옮길 운
道|길 도
違|어긋날 위
部|떼 부
重|무거울 중
野|들 야
間|사이 간
関|관계할 관
限|한할 한
陽|볕 양
難|어려울 난
雪|눈 설
雲|구름 운
非|아닐 비
面|낯 면
音|소리 음
頭|머리 두
顔|낯 안
風|바람 풍
飛|날 비
食|밥 식
飯|밥 반
験|시험 험
高|높을 고
髪|터럭 발
魅|매혹할 매丁|고무래 정
也|잇기 야
佐|도울 좌
俳|배우 배
優|넉넉할 우
八|여덟 팔
写|베낄 사
刷|인쇄할 쇄
協|화합할 협
収|거둘 수
向|향할 향
壮|장할 장
婚|혼인할 혼
寧|편안할 녕
居|살 거
惹|이끌 야
把|잡을 파
挟|낄 협
接|이을 접
描|그릴 묘
撮|사진찍을 촬
旧|옛 구
昇|오를 승
映|비칠 영
春|봄 춘
景|볕 경
木|나무 목
朴|순박할 박
板|널빤지 판
毛|터럭 모
氷|얼음 빙
海|바다 해
港|항구 항
溶|녹을 용
版|판목 판
産|낳을 산
看|볼 간
竹|대나무 죽
築|쌓을 축
純|순수할 순
紙|종이 지
素|본디 소
絵|그림 회
線|줄 선
羽|깃 우
育|기를 육
背|등 배
脚|다리 각
興|일 흥
航|배 항
芝|지초 지
若|같을 약
莉|말리 리
藤|등나무 등
街|거리 가
衣|옷 의
角|뿔 각
貫|꿸 관
酸|실 산
隊|무리 대
際|즈음 제
鮮|고울 선
丁|고무래 정
之|갈 지
付|붙을 부
御|어거할 어
押|누를 압
摺|끌 인
擦|문지를 찰
湯|끓일 탕
