# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|여느 드라마에서는 볼 수 없는 웅장한 이야기구나 싶기도 하고|ふつうの きゅうわの ドラマでは みられない そうだいな ストーリーだなとか|音声認識が不明瞭な箇所
2|새로운 도전을 하고 있구나 싶었고, 신선하고 재미있겠다 싶어서|あたらしい ちょうせんを してるなと おもったし しんせんで おもしろいなと おもって|
3|노구치 야에 역의 미츠시마 히카리입니다|のぐち やえやくの みつしま ひかりです|
4|저는 스물세 살부터의 노구치 야에 씨를 맡았는데요|わたしは にじゅうさんさいからの のぐち やえさんを まかされてたんですけど|
5|승무원을 목표로 하고 있기도 하고|キャビンアテンダントを めざしていたりして|
6|뭐 여러 일이 있어서 택시 운전사가 되는데요|まあ いろいろ あって タクシーの うんてんしゅに なるんですけど|
7|아주 소박한 생활을 하고 있는 여성입니다|すごく そぼくな せいかつを している じょせいです|
8|나미키 하루미치 역을 연기한 사토 타케루입니다|なみき はるみちやくを えんじました さとう たけるです|
9|하루미치는 단순한 성격이라서|はるみちは たんじゅんな せいかくなので|
10|야에를 지키고 싶다|やえを まもりたい|
11|소중한 사람을 지키고 싶다는 것으로|たいせつな ひとを まもりたいと いうことで|
12|사람을 지키기 위해 항공자위대에 들어가고|ひとを まもる ために こうくうじえいたいに はいって|
13|뭐 하지만 그 후, 현재는|まあでも そのご げんざいでは|
14|경비원 일을 하고 있는데요|けいびいんの しごとを してるんですけど|
15|매일 그 촬영 중에 시대가 엄청 건너뛰니까|まいにち あの さつえいの なかで その じだいが すごい とぶので|
16|꽤 힘들었지만|けっこう たいへんだったけど|
17|비교적 겉모습 덕을 봤나 싶어요|わりと みための たすけられてたかなと|
18|처음 아이를 키우던 시절을 이렇게|さいしょの こそだてじだいを こう|
19|내리고 귀엽게 머리를 묶는다든가|おろして かわいく かみのけ ゆったりとか|
20|크게 캐릭터처럼 연기로 구분하는 타입은 아니라서 저도|おおきく キャラクターっぽく おしばいで わける タイプじゃ ないので わたしも|
21|젊은 20대 때는 사소한 눈빛도 사람을 향한 눈매가 강한 편이 좋겠다든가|わかい にじゅうだいの ときは ちょっとした めせんでも ひとに たいする めつきが つよい ほうが いいなとか|
22|아직 장소를 파악하지 못한 동물 같은 느낌으로|まだ ばしょの わかってない どうぶつ みたいな かんじで|
23|자기 상황을 파악하지 못한 눈매가 되면 좋겠다든가|じぶんの じょうきょうを はあく できてない めつきに なってれば いいなとか|
24|피지컬한 반응이 수다스러운 배우구나 하고 계속 생각했고|フィジカルの はんのうが おしゃべりな じょゆうさんだなって ずっと おもって|
25|말로는 오히려 거짓말을 할 수 있달까, 열이 오르는 것 같은 게 아주 솔직하게|ことばで ぎゃくに うそを つけるって いうか ねつの じょうしょう みたいな ものが すごく しょうじきに|
26|그게 연기에 녹아드는 사람은 일본인 중에 별로 없다고 생각해서|それが おしばいに とけこむ ひとって あまり にほんじんの なかで すくないと おもうので|
27|책을 아주 잘 읽어내는 사람이라, 이런 식으로 표현해 줬으면 한다든가|すごく ほんを よめる ひとなので こういう ふうに だしていって ほしいとか|
28|그런 말은 일절 하지 않았고|そういう ことは いっさい いってなくて|
29|하루미치라는 캐릭터의 가장 큰 정체성은|はるみちと いう キャラクターの いちばん おおきな アイデンティティは|
30|야에를 좋아한다는 것이라고 생각해서|やえが すきだって いうことだと おもってて|
31|그것만 갖고 있으면 어떻게 행동해도 괜찮겠다 싶었어요|そこさえ もってれば どう こうどうしても だいじょうぶかなと おもったんですよね|
32|즉 행동 원리가, 야에가 웃었으면 좋겠다든가|つまり こうどうげんりが やえに わらって ほしいとか|
33|야에가 괴로워하지 않았으면 좋겠다든가|やえに くるしんで ほしくないとか|
34|타케루 씨와는 카메라 테스트를 꽤 제대로 했는데|けんくんとは カメラテストを けっこう しっかり やっていて|
35|그때는 이전 배역을 아직 끌고 있었던 것 같은데|その ときに まえの やくを ひきずってたと おもうんですけど|
36|아직 전혀 하루미치가 아니어서|まだ ぜんぜん はるみちじゃ なくて|
37|근데 그는 아주 제대로 생각해서 만들어 오는 사람이라|で かれは すごい しっかり かんがえて つくってくる ひとなので|
38|현장에 왔을 때는 이미 완전히 하루미치가 되어 있어서|げんばに きた ときには もう かんぜんに はるみちに なってたから|
39|대단하다고 생각했어요|すごいなと おもって|
40|설명이었습니다|せつめいでした|音声認識が不明瞭な箇所
41|돕는다는 동기가 있는 편이 듣기 좋다|てつだう みたいな モチベーションが あった ほうが ききやすい|音声認識が不明瞭な箇所
42|표현 방식 같은 건 서로 전혀 다를지도 모르지만|ひょうげんの しかたとかは おたがい ぜんぜん ちがうかも しれないけど|
43|뜻의 높이 같은 건 아주 공통돼 있어서|こころざしの たかさ みたいなのは すごく きょうつうしていて|
44|좋은 호흡이었다고|いい きょうえんだったなと|
45|히카리 씨가 무슨 일이 일어날지를 본방에서 즐기는 듯한|ひかりちゃんが なにが おこるかを ほんばんで たのしむ みたいな|
46|타케루 씨는 제대로 구축해 가는 타입이라서|けんくんは しっかり こうちくしていく タイプだから|
47|반대 타입의 배우구나 싶었기 때문에|ぎゃくの タイプの はいゆうさんだなと おもったので|
48|그 뭔가가 변하는 게 아주 기대되며 끝났어요|その なにかが かわるの みたいなのが すごい たのしみで おわりました|
49|현장이 아니어도 계속 어디서나 웃고 있어요, 진짜로|げんばじゃ なくても ずっと どこでも わらってますね まじで|
50|역시 미츠시마 씨 같은|やっぱり みつしまさん みたいな|
51|태양 같은 사람이 현장에 있으면 자연스레 기운을 받게 돼요|たいよう みたいな ひとが げんばに いると しぜんと げんき もらえますね|
52|스태프분들도 그렇게 되면 웃거든요|スタッフさんとかも そう なると わらうんですよ|
53|그래서 밝은 공기가 점점 현장에 전염돼 가고|だから あかるい くうきが どんどんどん げんばに でんせんしていって|
54|그녀의 힘이구나 생각하면서|かのじょの パワーだなって おもいながら|
55|그 힘을 받으면서 촬영했어요|その パワーを もらいながら さつえいしてました|
56|학생 시절과 결혼해서 출산하기까지의 시대를|がくせいの じだいと けっこんして しゅっさんしてまでの じだいを|
57|야기 리카코 양이 같은 역을 연기하고 있어서|やぎ りかこちゃんが おなじ やくを えんじていて|
58|미츠시마 히카리 씨와 같은 역을 연기하게 되어서|みつしま ひかりさんと おなじ やくを えんじさせて いただくので|
59|저는 히카리 씨와 같아 보여야 한다는 걸 의식하려고 했는데|わたしは ひかりさんと おなじ ように みえなきゃって いうのを いしきしようと おもってたんですけど|
60|히카리 씨가 해주신 말은, 리카코 양의 그 반짝이는 게 그대로 영상에 담기면 좋겠다는 말이었어요|ひかりさんに いわれたのは りかこちゃんの その キラキラしたのが そのまま えいぞうに うつれば いいねって いって いただいて|
61|완성된 걸 봐도 정말 귀여웠어요, 뭔가 순수해서|できあがった やつ みても すごい かわいかったですね なんか ピュアで|
62|감독님께 들은 말이, 손 쓰는 법을 의식해 줬으면 한다고. 세부에서 같은 사람이라는 게 드러나니까|かんとくに ひとつ いわれた ことで ての つかいかたを いしきして ほしい さいぶに あの おなじ ひとって いうのが でるから|
63|정말 그런 이유로, 확실히 손에 대해 생각하고 있어요|まったく そういう わけで たしかに ての こと かんがえてます|
64|히카리 씨는 아주 정성스럽게, 그, 물건을 드시거든요|ひかりさんは すごく ていねいに あの ものを もたれるんですね|
65|새끼손가락이 살짝 이렇게 떠 있기도 한데|こゆびが ちょっと こう ういてたり するんですけど|
66|저도 이렇게 의식해서 신문 같은 걸 보는 장면이라든가|わたしも こうやって いしきして しんぶんとか みる シーンとか|
67|이렇게 들게 해 주시기도 하고|こうやって もたせて もらったりとか して|
68|감정이 가는 대로 움직이는 소년이라서|かんじょうの ままに うごく しょうねんなので|
69|머리로 이것저것 너무 생각하지 않는다는 점은|あたまで いろいろ かんがえすぎずって いう ところは|
70|스스로 의식해서|じぶんの なかで いしきして|
71|그 눈앞에 펼쳐져 있는 것이라든가|もう その めの まえに ひろがっている ものとか|
72|표정이라든가 하는 것에|ひょうじょうだったりとかって いう ものに|
73|반응해 가자고 의식했습니다|はんのうしていこうって いう ふうに いしきしました|
74|올곧은 사람을 직선적으로 연기하는 게|まっすぐな ひとを ストレートに えんじるのって|
75|쉬워 보이면서 어렵구나 하고 생각했습니다|かんたんそうで むずかしいなって いう ふうに おもいました|
76|타이세이가 하루미치 같은 사람이에요|たいせいが はるみち みたいな ひとなんですよ|
77|생각하지 않고 힘을 빼고 카메라 앞에서|かんがえずに ちからを ぬいて カメラの まえで|
78|연기할 수 있는지가 중요하다고 생각한다는 이야기를 했는데|しばい できるかが だいじだと おもう みたいな はなしを しましたけど|
79|담배를 피우는 장면이라는 게|タバコを すう シーンって いうのが|
