# 형식: 種類|日本語|読み|韓国語|メモ   (E = 표현・문형, V = 단어)
# --- 표현 ---------------------------------------------------
E|見られない|みられない|볼 수 없다|見る의 가능형 부정
E|任されてたんですけど|まかされてたんですけど|맡고 있었는데요|任す의 수동 〜される + 〜ていた
E|色々あって|いろいろあって|여러 일이 있어서|이야기를 줄일 때 쓰는 관용구
E|守るために|まもるために|지키기 위해|〜ために=~하기 위해
E|助けられてたかなと|たすけられてたかなと|덕을 봤나 싶다|수동 〜られる + 〜かな
E|分けるタイプじゃないので|わけるタイプじゃ ないので|구분하는 타입이 아니라서|〜タイプじゃない=~하는 편이 아니다
E|強い方がいいなとか|つよい ほうが いいなとか|강한 편이 좋겠다든가|〜方がいい=~하는 편이 좋다
E|把握できてない|はあく できてない|파악하지 못하고 있다|〜できていない의 구어형
E|溶け込む人って|とけこむ ひとって|녹아드는 사람은|って=は의 구어체
E|出していって欲しいとか|だしていって ほしいとか|표현해 줬으면 한다든가|〜ていく + 〜てほしい
E|一切言ってなくて|いっさい いってなくて|일절 말하지 않고|一切+부정=전혀 ~않다
E|そこさえ持ってれば|そこさえ もってれば|그것만 갖고 있으면|〜さえ〜ば=~만 ~하면
E|引きずってた|ひきずってた|(이전 배역을) 끌고 있었다|引きずる=질질 끌다
E|考えて作ってくる人|かんがえて つくってくる ひと|생각해서 만들어 오는 사람|〜てくる=~해 오다
E|逆のタイプの俳優さんだなと思ったので|ぎゃくの タイプの はいゆうさんだなと おもったので|반대 타입의 배우구나 싶어서|〜だなと思う=~구나 싶다
E|元気もらえますね|げんき もらえますね|기운을 받게 되네요|もらえる=받을 수 있다(가능형)
E|同じように見えなきゃ|おなじ ように みえなきゃ|같아 보여야 한다|〜なきゃ=〜なければならない의 준말
E|言っていただいて|いって いただいて|말씀해 주셔서|겸양 〜ていただく
E|意識してほしい|いしきして ほしい|의식해 줬으면 한다|〜てほしい=~해 주길 바라다
E|持たせてもらったり|もたせて もらったり|들게 해 주시기도 하고|사역+수수 〜させてもらう
E|考えすぎず|かんがえすぎず|너무 생각하지 않고|〜すぎる+ず=지나치게 ~하지 않고
E|反応していこう|はんのうしていこう|반응해 가자|〜ていこう=~해 나가자
