# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
1|왜 네가 우는 거야|どうして きみが なくの|〜の=부드러운 물음(구어)
2|아직 나도 울고 있지 않은데|まだ ぼくも ないて いないのに|〜のに=〜인데. 앞말을 뒤집는다
3|나보다 슬퍼하니까|じぶんより かなしむから|自分=자기 자신(여기서는 나). 〜より=〜보다
4|괴로운 게 어느 쪽인지 모르게 되잖아|つらいのが どっちか わからなくなるよ|〜のが=〜한 것이. どっち=어느 쪽. 〜なくなる=〜지 않게 되다
5|잡동사니였을 오늘이|ガラクタだった はずの きょうが|ガラクタ=잡동사니. 〜だったはずの=〜였을(터인). 19번에 같은 꼴
6|둘이라면 보물이 돼|ふたりなら たからものに なる|〜なら=〜라면. 宝物=보물. 〜になる=〜가 되다
7|곁에 있고 싶어|そばに いたいよ|〜たい=〜하고 싶다. 후렴을 여는 말
8|너를 위해 할 수 있는 일이 나에게 있을까|きみの ために できる ことが ぼくに あるかな|〜のために=〜을 위해. 出来る=할 수 있다. 〜かな=〜일까(혼잣말)
9|언제나 너에게 계속 너에게|いつも きみに ずっと きみに|いつも·ずっと 를 겹쳐 힘을 준다
10|웃고 있어 주었으면 해서|わらって いて ほしくて|〜ていてほしい=〜하고 있어 주었으면 좋겠다
11|해바라기 같은 곧은 그 다정함을|ひまわりの ような まっすぐな その やさしさを|〜のような=〜같은. 真っ直ぐ=곧다. 優しさ=優しい+さ. 제목이 여기서 나온다
12|따스함을 전부|ぬくもりを ぜんぶ|温もり=온기·따스함
13|이제부터는 나도 전해 가고 싶어|これからは ぼくも とどけて いきたい|届ける=전하다. 〜ていく=〜해 가다
14|여기에 있는 행복을 깨달았으니까|ここに ある しあわせに きづいたから|気づく=깨닫다. 조사가 に
15|멀리서 켜지는 미래|とおくで ともる みらい|灯る=(불이) 켜지다
16|만약 우리가 헤어져도|もしも ぼくらが はなれても|もしも=만약. 離れる=떨어지다·헤어지다. 〜ても=〜해도
17|각자 걸어가는|それぞれ あるいて いく|それぞれ=각자. 다음 줄 「その先」를 꾸민다
18|그 앞에서 다시 만날 수 있다고 믿고|その さきで また であえると しんじて|出会える=만날 수 있다(가능형). 〜と信じる=〜라고 믿다
19|엇갈렸을 보폭|ちぐはぐだった はずの ほはば|ちぐはぐ=어긋남. 5번의 「〜だったはずの」가 되돌아온다
20|하나처럼 지금 겹쳐져|ひとつの ように いま かさなる|重なる=겹치다·포개지다
21|곁에 있는 것|そばに いること|7번 「そばにいたい」가 「そばにいること」로 바뀐다. 〜こと=〜하는 것
22|아무렇지 않은 이 순간도 잊지는 않아|なにげない この しゅんかんも わすれは しないよ|何気ない=무심한. 忘れはしない=忘れない 를 힘주어 말한다
23|떠나는 날 손을 흔들 때|たびだちの ひ てを ふる とき|旅立ち=떠남·출발. 手を振る=손을 흔들다
24|웃는 얼굴로 있을 수 있도록|えがおで いられる ように|笑顔=웃는 얼굴. いられる=いる의 가능형. 〜ように=〜하도록
25|해바라기 같은 곧은 그 다정함을|ひまわりの ような まっすぐな その やさしさを|11번과 같은 줄
26|따스함을 전부|ぬくもりを ぜんぶ|12번과 같은 줄
27|돌려주고 싶지만 너니까|かえしたい けれど きみの ことだから|返す=돌려주다. 君のことだから=너라는 사람이니까(너답게)
28|이제 충분하다고 분명 말하겠지|もう じゅうぶんだよって きっと いうかな|〜って=〜라고(인용). きっと=분명. 〜かな=〜겠지
29|곁에 있고 싶어|そばに いたいよ|7번과 같은 줄
30|너를 위해 할 수 있는 일이 나에게 있을까|きみの ために できる ことが ぼくに あるかな|8번과 같은 줄
31|언제나 너에게 계속 너에게|いつも きみに ずっと きみに|9번과 같은 줄
32|웃고 있어 주었으면 해서|わらって いて ほしくて|10번과 같은 줄
33|해바라기 같은 곧은 그 다정함을|ひまわりの ような まっすぐな その やさしさを|11번과 같은 줄
34|따스함을 전부|ぬくもりを ぜんぶ|12번과 같은 줄
35|이제부터는 나도 전해 가고 싶어|これからは ぼくも とどけて いきたい|13번과 같은 줄
36|진정한 행복의 의미를 찾았으니까|ほんとうの しあわせの いみを みつけたから|見つける=찾아내다. 14번의 気づいた 가 見つけた 로 바뀌며 곡이 끝난다
