# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|どうして|どうして|왜|이유를 묻는다. 뒤에 부드러운 〜の
E|泣いていないのに|ないて いないのに|울고 있지 않은데|〜のに=〜인데. 앞말을 뒤집는다
E|自分より|じぶんより|나보다|〜より=〜보다
E|わからなくなるよ|わからなく なるよ|모르게 되잖아|〜なくなる=〜지 않게 되다
E|だったはずの|だった はずの|〜였을|〜はず=〜일 터. 이 곡에 두 번 나온다
E|ふたりなら|ふたりなら|둘이라면|〜なら=〜라면
E|そばにいたいよ|そばに いたいよ|곁에 있고 싶어|〜たい=〜하고 싶다. 후렴을 여는 말
E|君のために|きみの ために|너를 위해|〜のために=〜을 위해
E|出来ることが|できる ことが|할 수 있는 일이|出来る=할 수 있다
E|あるかな|あるかな|있을까|〜かな=혼잣말의 물음
E|笑っていてほしくて|わらって いて ほしくて|웃고 있어 주었으면 해서|〜ていてほしい=〜하고 있어 주었으면
E|ひまわりのような|ひまわりの ような|해바라기 같은|〜のような=〜같은
E|届けていきたい|とどけて いきたい|전해 가고 싶어|〜ていく+〜たい
E|気づいたから|きづいたから|깨달았으니까|気づく+〜から
E|離れても|はなれても|헤어져도|〜ても=〜해도
E|出会えると信じて|であえると しんじて|만날 수 있다고 믿고|가능형+〜と信じる
E|忘れはしないよ|わすれは しないよ|잊지는 않아|〜はしない=힘주어 말하는 부정
E|いられるように|いられる ように|있을 수 있도록|가능형+〜ように
E|君のことだから|きみの ことだから|너니까|〜のことだから=〜다운 사람이니까
E|もう充分だよって|もう じゅうぶんだよって|이제 충분하다고|〜って=〜라고(인용의 구어)
E|きっと言うかな|きっと いうかな|분명 말하겠지|きっと=분명. 〜かな=〜겠지
# --- 단어 ---------------------------------------------------
V|ガラクタ|ガラクタ|잡동사니|
V|宝物|たからもの|보물|
V|優しさ|やさしさ|다정함|優しい+さ
V|温もり|ぬくもり|따스함·온기|
V|幸せ|しあわせ|행복|
V|未来|みらい|미래|
V|歩幅|ほはば|보폭|
V|瞬間|しゅんかん|순간|
V|旅立ち|たびだち|떠남·출발|
V|笑顔|えがお|웃는 얼굴|
V|本当|ほんとう|진정·정말|
V|意味|いみ|의미|
