# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
君|君|きみ|너·그대|군
泣く,泣い|泣く|なく|울다|읍
僕|僕|ぼく|나(남자의 1인칭)|복
自分|自分|じぶん|자기|자분
悲しむ|悲しむ|かなしむ|슬퍼하다|비
今日|今日|きょう|오늘|금일
宝物|宝物|ほうもつ|보물|보물
出来る|出来る|できる|할 수 있다|출래
笑っ|笑う|わらう|웃다|소
優し|優しい|やさしい|다정하다|우
温もり|温もり|ぬくもり|따스함·온기|온
全部|全部|ぜんぶ|전부|전부
届け|届ける|とどける|전하다·보내다|계
幸せ|幸せ|しあわせ|행복|행
気づい|気付く|きづく|알아차리다|기부
遠く|遠く|とおく|멀리|원
未来|未来|みらい|미래|미래
離れ|離れる|はなれる|떨어지다·헤어지다|리
歩い|歩く|あるく|걷다|보
先|先|さき|앞·끝|선
出会える|出会う|であう|(우연히) 만나다|출회
信じ|信ずる|しんずる|믿다|신
歩幅|歩幅|ほはば|보폭|보폭
今|今|いま|지금|금
重なる|重なる|かさなる|겹치다|중
瞬間|瞬間|しゅんかん|순간|순간
忘れ|忘れる|わすれる|잊다|망
旅立ち|旅立ち|たびだち|떠남·출발|려립
日|日|ひ|날·해|일
手|手|て|손|수
振る|振る|ふる|흔들다|진
時|時|とき|때·시|시
笑顔|笑顔|えがお|웃는 얼굴|소안
返し|返す|かえす|돌려주다|반
充分|十分|じゅうふん|충분|십분
言う|言う|いう|말하다|언
本当|本当|ほんとう|정말·진짜|본당
意味|意味|いみ|의미|의미
見つけ|見付ける|みつける|찾아내다|견부
