# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
1|I love you 지금만은 슬픈 노래를 듣고 싶지 않아|I love you いまだけは かなしい うた ききたくないよ|〜だけは=〜만은. 〜たくない=〜하고 싶지 않다
2|I love you 달아나고 달아나 다다른 이 방|I love you のがれ のがれ たどりついた この へや|逃れ逃れ=연용형을 겹쳐 거듭함을 나타낸다. 辿り着く=겨우 다다르다
3|무엇 하나 허락받은 사랑이 아니니까|なにもかも ゆるされた こい じゃないから|何もかも=무엇 하나·모조리. 許される=허락받다(수동). 〜から=〜니까
4|우리 둘은 마치 버려진 고양이 같아|ふたりは まるで すてねこ みたい|まるで〜みたい=마치 〜같다. 짝을 이루어 쓴다
5|이 방은 낙엽에 파묻힌 빈 상자 같아|この へやは おちばに うずもれた あきばこ みたい|落葉는 여기서 おちば. 埋もれる=파묻히다. 4번과 같은 꼴로 이어진다
6|그래서 너는 새끼 고양이 같은 울음소리로|だから おまえは こねこの ような なきごえで|〜のような=〜같은. 4·5번의 みたい 가 ような 로 바뀐다
7|삐걱대는 침대 위에서 서로 다정함을 모아|きしむ ベッドの うえで やさしさを もちより|軋む=삐걱거리다. 持ち寄る=각자 가져와 모으다. 優しさ=다정함
8|몸을 꼭 끌어안으면|きつく からだ だきしめあえば|抱きしめ合う=서로 껴안다. 〜合う=서로 〜하다. 〜ば=〜하면
9|그러고 나서 우리는 다시 눈을 감아|それから また ふたりは めを とじるよ|それから=그러고 나서. 目を閉じる=눈을 감다
10|슬픈 노래에 사랑이 식어 버리지 않도록|かなしい うたに あいが しらけて しまわぬ ように|白ける=흥이 깨지다·식다. 〜ぬように=〜하지 않도록(문어). 1번의 悲しい歌 가 되돌아온다
11|I love you 너무 어린 우리 사랑에는 건드릴 수 없는 비밀이 있어|I love you わかすぎる ふたりの あいには ふれられぬ ひみつが ある|〜すぎる=너무 〜하다. 触れられぬ=触れられない 의 문어체
12|I love you 지금의 삶 속에서는 다다를 수 없어|I love you いまの くらしの なかでは たどりつけない|2번의 辿り着いた 가 여기서 辿り着けない 로 뒤집힌다
13|하나로 포개어져 살아가는 사랑을|ひとつに かさなり いきてゆく こいを|重なる=포개지다. 〜てゆく=〜해 가다(〜ていく의 문어투)
14|꿈꾸며 상처 입기만 하는 우리야|ゆめみて きずつく だけの ふたりだよ|夢見る=꿈꾸다. 〜だけの=〜하기만 하는
15|몇 번이나 사랑한다고 묻는 너는|なんども あいしてるって きく おまえは|何度も=몇 번이나. 〜って=〜라고(인용의 구어)
16|이 사랑 없이는 살아갈 수조차 없다고|この あい なしでは いきて さえ ゆけないと|이 곡은 恋와 愛를 갈라 쓴다. 〜なしでは=〜없이는. 〜さえ〜ない=〜조차 〜않다
17|삐걱대는 침대 위에서 서로 다정함을 모아|きしむ ベッドの うえで やさしさを もちより|7번과 같은 줄
18|몸을 꼭 끌어안으면|きつく からだ だきしめあえば|8번과 같은 줄
19|그러고 나서 우리는 다시 눈을 감아|それから また ふたりは めを とじるよ|9번과 같은 줄
20|슬픈 노래에 사랑이 식어 버리지 않도록|かなしい うたに あいが しらけて しまわぬ ように|10번과 같은 줄
21|그러고 나서 우리는 다시 눈을 감아|それから また ふたりは めを とじるよ|9·19번과 같은 줄. 세 번째
22|슬픈 노래에 사랑이 식어 버리지 않도록|かなしい うたに あいが しらけて しまわぬ ように|10·20번과 같은 줄. 이 말로 곡이 끝난다
