# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|今だけは|いまだけは|지금만은|〜だけは=〜만은. 다른 때는 몰라도 지금은, 하고 선을 긋는다
E|聞きたくないよ|ききたくないよ|듣고 싶지 않아|〜たい의 부정. 이 곡은 「悲しい歌」를 피하는 말로 열고 닫는다
E|逃れ逃れ|のがれのがれ|달아나고 달아나|같은 연용형을 겹쳐 거듭됨을 나타낸다
E|辿り着いた|たどりついた|겨우 다다랐다|辿り着く=겨우 다다르다. 14번 줄에서 辿り着けない 로 뒤집힌다
E|何もかも|なにもかも|무엇 하나·모조리|뒤에 부정이 오면 「하나도 〜않다」가 된다
E|許された|ゆるされた|허락받은|許す의 수동형. 누가 허락하지 않았는지는 말하지 않는다
E|じゃないから|じゃないから|〜가 아니니까|では의 구어 じゃ. から=이유
E|まるで|まるで|마치|뒤에 みたい·ような 가 짝으로 따라온다
E|みたい|みたい|〜같다|4·5번 줄에 잇달아 나와 같은 꼴을 만든다
E|様な|ような|〜같은|7번 줄. 앞의 みたい 가 문어투 ような 로 바뀐다
E|持ちより|もちより|각자 가져와 모아|持ち寄る. 둘이 다정함을 조금씩 내놓는다는 말
E|抱きしめあえば|だきしめあえば|서로 껴안으면|〜合う=서로 〜하다. 〜ば=〜하면
E|それからまた|それからまた|그러고 나서 다시|후렴을 여는 말. 이 곡에 세 번 나온다
E|しまわぬ様に|しまわぬように|〜해 버리지 않도록|〜ぬ=〜ない의 문어체. 〜ように=〜하지 않도록
E|若すぎる|わかすぎる|너무 어리다|〜すぎる=지나치게 〜하다
E|触れられぬ|ふれられぬ|건드릴 수 없는|가능형 触れられる + 문어 부정 ぬ
E|辿り着けない|たどりつけない|다다를 수 없다|2번 줄 辿り着いた 와 짝을 이룬다. 방에는 닿았지만 삶에는 닿지 못한다
E|生きてゆく|いきてゆく|살아가다|〜てゆく=〜해 가다(〜ていく의 문어투)
E|夢みて傷つくだけ|ゆめみて きずつくだけ|꿈꾸며 상처 입기만|〜だけ=〜뿐
E|何度も|なんども|몇 번이나|度를 ど로 읽는다
E|愛してるって|あいしてるって|사랑한다고|〜って=〜라고(인용의 구어)
E|なしでは|なしでは|〜없이는|無し. 뒤에 부정이 온다
E|生きてさえゆけない|いきてさえゆけない|살아갈 수조차 없다|〜さえ〜ない=〜조차 〜않다
# --- 단어 ---------------------------------------------------
V|歌|うた|노래|
V|部屋|へや|방|둘이 달아나 다다른 곳
V|恋|こい|사랑|이 곡은 恋와 愛를 갈라 쓴다. 恋는 설레는 쪽
V|愛|あい|사랑|恋보다 깊고 오래가는 쪽
V|二人|ふたり|두 사람|이 곡이 줄곧 부르는 말
V|捨て猫|すてねこ|버려진 고양이|
V|落葉|おちば|낙엽|여기서는 らくよう 가 아니다
V|空き箱|あきばこ|빈 상자|
V|小猫|こねこ|새끼 고양이|보통은 子猫 로 쓴다
V|泣き声|なきごえ|울음소리|
V|きしむ|きしむ|삐걱거리다|한자로는 軋む
V|優しさ|やさしさ|다정함|優しい+さ. 형용사를 명사로 만든다
V|躰|からだ|몸|体 의 옛 표기
V|秘密|ひみつ|비밀|
V|暮し|くらし|삶·생활|보통은 暮らし
V|しらけて|しらけて|식어·흥이 깨져|한자로는 白ける
