# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
今|今|いま|지금|금
悲しい|悲しい|かなしい|슬프다|비
歌|歌|うた|노래|가
聞き,聞く|聞く|きく|묻다·듣다|문
逃れ|逃れる|のがれる|벗어나다·달아나다|도
辿り着い,辿り着け|辿り着く|たどりつく|겨우 다다르다|천착
部屋|部屋|へや|방|부옥
何|何|なに|무엇|하
許さ|許す|ゆるす|허락하다·용서하다|허
恋|恋|こい|사랑|련
二人|二人|ふたり|두 사람|이인
捨て猫|捨て猫|すてねこ|버려진 고양이|사묘
落葉|落葉|おちば|낙엽|락엽
埋もれ|埋もれる|うずもれる|파묻히다|매
空き箱|空き箱|あきばこ|빈 상자|공상
小猫|子猫|こねこ|새끼 고양이|자묘
様|様|よう|모양·모습|양
泣き声|泣き声|なきごえ|울음소리|읍성
上|上|うえ|위|상
優し|優しい|やさしい|다정하다|우
持ちより|持ち寄る|もちよる|각자 가져와 모으다|지기
躰|体|からだ|몸|체
抱きしめ|抱き締める|だきしめる|꼭 껴안다|포체
目|目|め|눈|목
閉じる|閉じる|とじる|(눈을) 감다·닫다|폐
愛|愛|あい|사랑|애
若|若い|わかい|젊다|약
触れ|触れる|ふれる|닿다·건드리다|촉
秘密|秘密|ひみつ|비밀|비밀
暮し|暮らし|くらし|삶·생활|모
中|中|なか|안·중|중
重なり|重なる|かさなる|포개지다·겹치다|중
生き|生きる|いきる|살다|생
夢み|夢見る|ゆめみる|꿈꾸다|몽견
傷つく|傷付く|きずつく|상처 입다|상부
度|度|ど|번·차례|도
愛し|愛する|あいする|사랑하다|애
