# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
# 문어(文語) 찬송가다. 뜻은 일본어를 그대로 옮겼고, 한국 찬송가 「죄짐 맡은 우리 구주」의 가사는 주석에 적었다.
1|자애 깊으신|いつくしみ ふかき|慈しみ=자애·사랑. 深き=深い의 문어 연체형(〜한). 다음 줄 友를 꾸민다
2|벗 되시는 예수는|ともなる イエスは|〜なる=〜인·〜되시는(문어). 한국 찬송가로는 「죄짐 맡은 우리 구주 어찌 좋은 친군지」
3|죄와 허물과 근심을|つみとが うれいを|罪科(つみとが)=죄와 허물. 憂い=근심·시름
4|거두어 가시네|とりさりたもう|取り去る=없애다·거두다. 〜たもう=〜하시다(문어 존경, 給う)
5|마음의 탄식을|こころの なげきを|嘆き=탄식·한탄
6|숨김없이 아뢰어|つつまず のべて|包む=감싸다·숨기다. 〜ず=〜하지 않고(문어). 述べる=말하다
7|어찌 내려놓지 않는가|などかは おろさぬ|などか=어찌(문어 의문). 下さぬ=下ろさない. 짐을 내려놓지 않는 우리를 나무란다
8|짊어진 무거운 짐을|おえる おもにを|負う=짊어지다. 負える=문어 「지고 있는」. 重荷=무거운 짐
9|자애 깊으신|いつくしみ ふかき|1번과 같은 줄
10|벗 되시는 예수는|ともなる イエスは|2번과 같은 줄
11|우리의 약함을|われらの よわきを|われら=우리(문어). 弱き=弱い의 문어형을 명사처럼 쓴다
12|아시고 불쌍히 여기시네|しりて あわれむ|知りて=知って(문어). 憐れむ=불쌍히 여기다
13|괴로움과 슬픔에|なやみ かなしみに|悩み=괴로움. 悲しみ=슬픔
14|잠길 때도|しずめる ときも|沈む=가라앉다. 沈める=문어 「가라앉아 있는」
15|기도에 응답하시어|いのりに こたえて|祈り=기도. 応える=응답하다
16|위로하시리라|なぐさめたまわん|慰める=위로하다. 〜たまわん=〜하시리라(문어 존경+추량)
17|자애 깊으신|いつくしみ ふかき|1번과 같은 줄
18|벗 되시는 예수는|ともなる イエスは|2번과 같은 줄
19|변치 않는 사랑으로|かわらぬ あいもて|変わらぬ=変わらない. もて=〜으로(문어 以て)
20|이끄시네|みちびきたもう|導く=이끌다. 4번의 〜たもう
21|세상 벗이 우리를|よの とも われらを|世の友=세상의 벗. 2번의 友なるイエス와 맞선다
22|버리고 떠날 때도|すてさる ときも|棄てる=버리다. 去る=떠나다
23|기도에 응답하시어|いのりに こたえて|15번과 같은 줄
24|돌보아 주시리라|いたわりたまわん|労る=위로하며 돌보다. 16번과 같은 〜たまわん. 이 말로 곡이 끝난다
