# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|いつくしみ深き|いつくしみ ふかき|자애 깊으신|深き=深い의 문어 연체형. 문어에서는 〜い 가 〜き 가 된다
E|友なる|ともなる|벗 되시는|〜なる=〜인·〜되시는(문어의 단정). 友なるイエス
E|取り去りたもう|とりさりたもう|거두어 가시네|〜たもう(給う)=〜하시다. 문어의 존경
E|包まず述べて|つつまず のべて|숨김없이 아뢰어|〜ず=〜하지 않고. 문어의 부정 연용형
E|などかは下さぬ|などかは おろさぬ|어찌 내려놓지 않는가|などか=어찌. 〜ぬ=〜ない(문어)
E|負える重荷|おえる おもに|짊어진 무거운 짐|負える=負う의 문어형 「지고 있는」
E|知りて憐れむ|しりて あわれむ|아시고 불쌍히 여기시네|知りて=知って. 문어에서는 음편(音便)이 없다
E|沈めるときも|しずめる ときも|잠길 때도|〜ときも=〜할 때도
E|祈りにこたえて|いのりに こたえて|기도에 응답하시어|応える=응답하다
E|慰めたまわん|なぐさめたまわん|위로하시리라|〜たまわん=〜たまう+〜ん(추량). 「〜하시리라」
E|かわらぬ愛もて|かわらぬ あいもて|변치 않는 사랑으로|もて=以て. 〜으로(수단)
E|棄て去るときも|すてさる ときも|버리고 떠날 때도|棄てる+去る. 두 동사를 붙였다
# --- 단어 ---------------------------------------------------
V|罪とが|つみとが|죄와 허물|한자로는 罪科
V|憂い|うれい|근심·시름|
V|嘆き|なげき|탄식|
V|重荷|おもに|무거운 짐|
V|弱き|よわき|약함|弱い의 문어형을 명사처럼 쓴다
V|悩み|なやみ|괴로움|
V|かなしみ|かなしみ|슬픔|한자로는 悲しみ
V|祈り|いのり|기도|
V|世の友|よの とも|세상 벗|友なるイエス 와 맞선다
V|労り|いたわり|돌봄·위로|労る=위로하며 돌보다
