# 한자 훈음 사전. 형식: 漢字|훈 음
一|한 일
万|일만 만
世|인간 세
中|가운데 중
久|오랠 구
人|사람 인
今|이제 금
付|줄 부
会|모일 회
何|어찌 하
作|지을 작
例|법식 례
信|믿을 신
俺|나 엄
個|낱 개
備|갖출 비
僕|종 복
元|으뜸 원
先|먼저 선
全|온전할 전
円|둥글 원
出|날 출
分|나눌 분
切|끊을 절
初|처음 초
制|절제할 제
創|비롯할 창
動|움직일 동
勝|이길 승
合|합할 합
同|한가지 동
和|화할 화
場|마당 장
増|더할 증
声|소리 성
売|팔 매
変|변할 변
外|바깥 외
多|많을 다
大|큰 대
好|좋을 호
姿|모양 자
嫌|싫어할 혐
嬉|아름다울 희
完|완전할 완
実|열매 실
客|손 객
室|집 실
家|집 가
対|대할 대
届|이를 계
巡|돌 순
帰|돌아갈 귀
年|해 년
張|베풀 장
形|모양 형
影|그림자 영
彼|저 피
待|기다릴 대
後|뒤 후
心|마음 심
必|반드시 필
忘|잊을 망
応|응할 응
思|생각 사
性|성품 성
恥|부끄러울 치
想|생각 상
感|느낄 감
態|모습 태
憶|생각할 억
所|바 소
手|손 수
持|가질 지
指|손가락 지
挑|돋울 도
振|떨칠 진
提|끌 제
援|도울 원
撮|사진찍을 촬
放|놓을 방
敵|대적할 적
断|끊을 단
方|모 방
施|베풀 시
族|겨레 족
日|날 일
時|때 시
晦|그믐 회
景|볕 경
曲|굽을 곡
更|다시 갱
最|가장 최
月|달 월
本|근본 본
来|올 래
果|열매 과
楽|즐길 락
構|얽을 구
様|모양 양
歓|기쁠 환
止|그칠 지
正|바를 정
気|기운 기
決|결단할 결
海|바다 해
温|따뜻할 온
準|준할 준
澄|맑을 징
無|없을 무
然|그럴 연
状|형상 상
生|날 생
画|그림 화
界|지경 계
番|차례 번
疲|피곤할 피
発|필 발
的|과녁 적
皆|다 개
目|눈 목
直|곧을 직
瞬|눈깜짝일 순
研|갈 연
神|귀신 신
私|사사 사
積|쌓을 적
笑|웃음 소
精|정할 정
素|본디 소
終|마칠 종
経|지날 경
結|맺을 결
絶|끊을 절
緒|실마리 서
緩|느릴 완
聞|들을 문
聴|들을 청
自|스스로 자
至|이를 지
良|어질 량
色|빛 색
華|빛날 화
行|다닐 행
表|겉 표
要|요긴할 요
見|볼 견
覚|깨달을 각
観|볼 관
言|말씀 언
記|기록할 기
詰|막힐 힐
話|말씀 화
誰|누구 수
諦|살필 체
豪|호걸 호
走|달릴 주
超|뛰어넘을 초
車|수레 차
輩|무리 배
輪|바퀴 륜
返|돌이킬 반
送|보낼 송
逆|거스를 역
進|나아갈 진
違|어긋날 위
配|나눌 배
重|무거울 중
間|사이 간
限|한할 한
陣|진칠 진
集|모을 집
頑|완고할 완
顔|낯 안
験|시험 험
々|같은 글자 반복
下|아래 하
越|넘을 월
