# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 seg.py 의 분할 결과에 대응
1|돌아봤을 때의 맨 처음|ふりかえった とき の さいしょ|振り返る=돌아보다·회고하다
2|2019.8.8 데뷔 발표|にせんじゅうきゅうねん はちがつ ようか デビュー はっぴょう|
3|2020.1.22 「D.D.」로 메이저 데뷔|にせんにじゅうねん いちがつ にじゅうににち 「ディーディー」で メジャーデビュー|
4|「D.D.」라는 곡을 만들어 가면서, 데뷔곡이니까|「ディーディー」っていう きょくを つくっていく にあたって デビューきょく だから|〜にあたって=〜에 즈음하여·〜할 때 (격식 표현)
5|처음 하는 경험 같은 것들이 우리한테도 가득 담겨 있어서|はじめての けいけん みたいなのが ぼくたちも いっぱい つまってて|詰まる=꽉 차다
6|엄청 즐거워요|めちゃめちゃ たのしいです|めちゃめちゃ=엄청 (회화체 강조)
7|오, "즐겁다"고?|おお “たのしい”？|스태프가 되묻는 말
8|돌아가는 차 안에서 그룹의 후렴 안무 같은 영상을|かえりの くるまで グループの サビの ダンスとかの どうがを|サビ=노래의 후렴(하이라이트)
9|계속 되돌려 본 기억이 있어요|ひたすら みかえした きおくが ありますよね|ひたすら=오로지·줄곧, 見返す=다시 보다
10|전 세계에서 팬데믹 발생|せかいじゅうで パンデミックが はっせい|
11|원래대로라면 저희는 오늘 라이브 첫날이었는데요|ほんらいだったら わたしたちは きょう ライブ しょにち だったんですけども|本来=본래, 初日=첫날(공연·흥행)
12|데뷔 투어 「Snow Man ASIA TOUR 2D.2D.」는|デビューツアー 「スノーマン アジアツアー ツーディー ツーディー」は|
13|중지되었다|ちゅうしに なった|
14|여러 일이 있어서 중지되고 말았습니다|いろんな ことが ありまして ちゅうしに なって しまった|〜てしまった=〜해 버렸다 (유감)
15|그래도 역시 어떻게든 우리의 모습을|でも やっぱ どうしても じぶんたちの すがたを|やっぱ=やっぱり 의 축약, 姿=모습
16|팬 여러분께 어떻게든 전할 수 없을까 하는 것을|ファンの かたがたに どうにか はっしん できないかって いうのを|方々=분들(존경), 発信=발신·내보내기
17|멤버라든가 스태프 여러분과 의논한 결과|メンバーとか スタッフさんの みなさんと はなしあった けっか|話し合う=서로 이야기하다·의논하다
18|생방송이 좋지 않을까 하는 결단에 이르러서|なまはいしんが いいんじゃないかという けつだんに いたって|生配信=생중계, 〜に至る=〜에 이르다
19|이렇게 실시하게 되었는데요|こうやって じっし させて いただいたんですけど|〜させていただく=(허락을 받아) 〜하다, 겸양
20|솔직히 우리로서는 아직…|しょうじき ぼくたち としては まだね|正直=솔직히
21|지금까지 리허설을 거듭해 와서|いままで リハーサルを かさねてきて|重ねる=거듭하다
22|그것도 아직 아무한테도 1밀리도 보여 주지 못했잖아요|それも まだ だれにも いちミリも みてもらって ないじゃないですか|1ミリも〜ない=조금도 〜않다
23|이 마음은 절대로 잊어서는 안 되는 거라고 생각하고|この きもちは ぜったいに わすれちゃ いけない ものだと おもうし|〜ちゃいけない=〜てはいけない
24|이걸 없던 일로 할 필요는 없다고 나는 생각해|これを なかった ことに する ひつようは おれは ないと おもう|なかったことにする=없던 일로 하다
25|그러니까 첫날의 풍경을 보기 위해 쌓아 온 것을 더욱 갈고닦아서|だから しょにちの けしきを みるために つんできた ものを より とぎすまして|研ぎ澄ます=갈고닦다
26|그 순간이 왔을 때 제대로 발휘할 수 있는 준비를 우리가 쌓아 두면|その しゅんかんが きた ときに ちゃんと はなてる じゅんびを おれらが つんどけば|放つ=쏘다·발하다, 積んどけば=積んでおけば
27|만약 앞으로 그런 기회가 찾아왔을 때|もし これから そういう チャンスが めぐってきた ときに|巡ってくる=(기회가) 돌아오다
28|만전의 상태로 전할 수 있지 않을까 해서. 그래서 포기 안 했어요, 솔직히|ばんぜんな じょうたいで とどけられるん じゃないかなって だから あきらめてません しょうじき|万全=만전, 諦める=포기하다
29|물론 절대 (포기) 없지|もちろん ぜったい ない|
30|이거 잘 팔리겠는데|うれるなあ これ|売れる=팔리다·인기를 끌다
31|이런 셔츠|こういう シャツ|
32|2020년 10월|にせんにじゅうねん じゅうがつ|
33|무관객 라이브라는 형태로 멤버들은 드디어|むかんきゃく ライブ という かたちで メンバーは やっと|無観客=무관객, やっと=겨우·드디어
34|데뷔 후 첫 무대로|デビューご はつの ステージへ|
35|즐기면서 가자!|たのしんで いこうぜ！|〜ぜ=남성적 어미
36|역시 이렇게 멤버들 얼굴을 보고 있으면 싫은 일도 잊게 되지|やっぱ こう メンバーの かお みてるとね いやな ことも わすれるよね|嫌な=싫은
37|그룹이란 게 가족 같은 거라서, 패밀리 같은|グループってね かぞく みたいな もんで ファミリー みたいな|〜みたいなもん=〜같은 것(もの)
38|고마워|ありがとう|
39|왜…|なんで…|
40|2021년 10월|にせんにじゅういちねん じゅうがつ|
41|여러 제한 속에서 열린 「LIVE TOUR 2021 Mania」|さまざまな せいげんの もと おこなわれた 「ライブツアー にせんにじゅういち マニア」|〜の元(もと)=〜아래에서
42|어? 뭐야?|ええ？ なに？|
43|어?|え？|
44|대박|すげえ|すごい 의 거친 회화체
45|어느 거?|どれ？|
46|이거?|これ？|
47|오, 잠깐 잠깐|お まてまて|待て=기다려 (명령형)
48|와, 뭔가 나왔어|わあ なにか でた|
49|각자 다른 곳에서|それぞれ ちがう ばしょから|
50|대단해|すごい|
51|마음속으로 환호를 보내고 있었지만|こころで かんせいを おくって いたけれど|歓声=환성
