# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
振り返っ|振り返る|ふりかえる|돌아보다|진반
時|時|とき|때·시|시
最初|最初|さいしょ|처음|최초
発表|発表|はっぴょう|발표|발표
曲|曲|きょく|곡(노래)|곡
作っ,創り|作る|つくる|만들다|작
初めて|初めて|はじめて|처음으로|초
経験|経験|けいけん|경험|경험
僕|僕|ぼく|나(남자의 1인칭)|복
詰まっ|詰まる|つまる|막히다·가득 차다|힐
楽しい,楽しかっ|楽しい|たのしい|즐겁다|락
帰り|帰り|かえり|돌아가는 길|귀
車|車|くるま|차|차
動画|動画|どうが|동영상|동화
見返し|見返す|みかえす|되돌아보다·되갚다|견반
記憶|記憶|きおく|기억|기억
世界|世界|せかい|세계|세계
中|中|ちゅう|안·중|중
発生|発生|はっせい|발생|발생
本来|本来|ほんらい|본래|본래
私|私|わたし|나·저|사
今日|今日|きょう|오늘|금일
初日|初日|しょにち|첫날·첫 공연|초일
中止|中止|ちゅうし|중지|중지
自分|自分|じぶん|자기|자분
姿|姿|すがた|모습|자
方々|方々|かたがた|여러분·분들|방반복
発信|発信|はっしん|발신·알림|발신
皆|皆|みな|모두|개
話し合っ|話し合う|はなしあう|서로 이야기하다|화합
結果|結果|けっか|결과|결과
生|生|なま|생·라이브|생
配信|配信|はいしん|온라인 송출|배신
決断|決断|けつだん|결단|결단
至っ|至る|いたる|이르다|지
実施|実施|じっし|실시|실시
正直|正直|しょうじき|솔직함|정직
今|今|いま|지금|금
重ね|重ねる|かさねる|거듭하다·포개다|중
誰|誰|だれ|누구|수
見,見る|見る|みる|보다|견
気持ち|気持ち|きもち|기분·마음|기지
絶対|絶対|ぜったい|절대|절대
忘れ,忘れる|忘れる|わすれる|잊다|망
思う,思える|思う|おもう|생각하다|사
必要|必要|ひつよう|필요|필요
俺|俺|おれ|나(남성이 쓰는 말)|엄
景色|景色|けしき|경치|경색
積ん|積む|つむ|쌓다|적
研ぎ澄まし|研ぎ澄ます|とぎすます|갈고닦다·예리하게 벼리다|연징
瞬間|瞬間|とき|순간(가사에서는 とき로 읽음)|순간
来|来る|くる|오다|래
放てる|放つ|はなつ|내뿜다·놓다|방
準備|準備|じゅんび|준비|준비
巡っ|巡る|めぐる|돌다·순회하다|순
万全|万全|ばんぜん|만전|만전
状態|状態|じょうたい|상태|상태
届け|届ける|とどける|전하다·보내다|계
諦め|諦める|あきらめる|포기하다|체
売れる|売れる|うれる|팔리다·인기를 얻다|매
年|年|ねん|해·년|년
月|月|つき|달|월
無|無|む|없음|무
観客|観客|かんきゃく|관객|관객
形|形|かたち|형태·모양|형
後|後|あと|뒤·다음|후
初|初|はつ|첫|초
楽しん,楽しむ|楽しむ|たのしむ|즐기다|락
顔|顔|かお|얼굴|안
嫌|嫌|いや|싫음|혐
家族|家族|かぞく|가족|가족
何|何|なに|무엇|하
様々|様々|さまざま|여러 가지|양반복
制限|制限|せいげん|제한|제한
元|元|もと|원래·본디|원
行わ,行っ|行う|おこなう|행하다·실시하다|행
待て|待つ|まつ|기다리다|대
出|出る|でる|나오다·나가다|출
違う|違う|ちがう|다르다·틀리다|위
場所|場所|ばしょ|장소|장소
心|心|こころ|마음|심
歓声|歓声|かんせい|환성·함성|환성
送っ|送る|おくる|보내다|송
例え|例える|たとえる|예를 들다·비유하다|례
逆|逆|ぎゃく|반대·거꾸로|역
然り|然り|しかり|그렇다|연
想い|思い|おもい|마음·생각|사
応援|応援|おうえん|응원|응원
温もり|温もり|ぬくもり|온기|온
感じ|感ずる|かんずる|느끼다|감
元気|元気|げんき|기운·건강함|원기
大好き|大好き|だいすき|아주 좋아함|대호
声|声|こえ|목소리|성
会え|会う|あう|만나다|회
良かっ|良い|よい|좋다|량
笑顔|笑顔|えがお|웃는 얼굴|소안
付い|付く|つく|붙다|부
疲れ|疲れ|つかれ|피로|피
様|様|さま|모양·모습|양
完走|完走|かんそう|완주|완주
一同|一同|いちどう|일동|일동
提げ|下げる|さげる|내리다|하
緩和|緩和|かんわ|완화|완화
聴け,聞い|聞く|きく|묻다·듣다|문
人|人|ひと|사람|인
無い|無い|ない|없다|무
変わる|変わる|かわる|변하다·바뀌다|변
一切|一切|いっさい|일절·전혀|일절
久々|久々|ひさびさ|오랜만|구반복
嬉しかっ|嬉しい|うれしい|기쁘다|희
終わり|終わる|おわる|끝나다|종
先輩|先輩|せんぱい|선배|선배
目指し|目指す|めざす|목표로 하다|목지
挑む|挑む|いどむ|도전하다|도
円陣|円陣|えんじん|원진(둥글게 모여 서기)|원진
結構|結構|けっこう|꽤|결구
好き|好き|すき|좋아함|호
輪|輪|わ|원·고리|륜
一緒|一緒|いっしょ|함께|일서
増え|増える|ふえる|늘다|증
感覚|感覚|かんかく|감각|감각
勝手|勝手|かって|제멋대로|승수
行く|行く|いく|가다|행
多分|多分|たぶん|아마|다분
一番|一番|いちばん|가장·제일|일번
超え|越える|こえる|넘다|월
思い出|思い出|おもいで|추억|사출
的|的|てき|~적|적
室|室|しつ|방·실|실
大晦日|大晦日|おおみそか|섣달그믐|대회일
集まっ|集まる|あつまる|모이다|집
豪華|豪華|ごうか|호화|호화
言わ|言う|ゆう|말하다|언
恥じ|恥じる|はじる|부끄러워하다|치
頑張ろう|頑張る|がんばる|힘내다·분발하다|완장
個性|個性|こせい|개성|개성
出し|出す|だす|내다|출
見せ|見せる|みせる|보여주다|견
待ち合わせ|待ち合わせ|まちあわせ|만나기로 하고 기다림|대합
海外|海外|かいがい|해외|해외
撮影|撮影|さつえい|촬영|촬영
年間|年間|ねんかん|연간|년간
精神|精神|せいしん|정신|정신
素敵|素敵|すてき|멋짐|소적
大|大|だい|큰·대|대
彼|彼|かれ|그(사람)|피
更に|更に|さらに|더욱|갱
進ん|進む|すすむ|나아가다|진
