# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
# 문어(文語) 찬송가다. 뜻은 일본어를 그대로 옮겼고, 한국 찬송가 「주 하나님 지으신 모든 세계」의 가사는 주석에 적었다.
1|빛나는 해를 우러를 때|かがやく ひを あおぐ とき|仰ぐ=우러러보다. 〜とき=〜할 때. 한국 찬송가로는 「주 하나님 지으신 모든 세계」
2|달과 별을 바라볼 때|つき ほし ながむる とき|眺むる=眺める의 문어 연체형
3|우레가 울려 퍼질 때|いかずち なりわたる とき|雷는 여기서 いかずち(문어). 鳴り渡る=울려 퍼지다
4|참되신 하나님을 생각하네|まことの みかみ おもう|まこと=참. 御神=하나님(높임의 御)
5|내 영혼아 자 찬양하라|わが たま いざ たたえよ|わが=나의(문어). 魂(たま)=영혼. いざ=자. 讃えよ=찬양하라(명령)
6|위대하신 하나님을|おおいなる みかみを|大いなる=위대한(문어 연체형). 후렴 「주님의 높고 위대하심을」
7|내 영혼아 자 찬양하라|わが たま いざ たたえよ|5번과 같은 줄
8|위대하신 하나님을|おおいなる みかみを|6번과 같은 줄
9|숲에서 새소리를 듣고|もりにて とりの ねを きき|にて=で(문어). 音(ね)=소리. きき=聞き 연용형
10|우뚝 솟은 산에 올라|そびゆる やまに のぼり|そびゆる=聳える의 문어 연체형
11|골짜기 흐르는 물소리에|たにまの ながれの こえに|谷間=골짜기. 流れ=흐름·시내. 声=소리
12|참되신 하나님을 생각하네|まことの みかみ おもう|4번과 같은 줄
13|내 영혼아 자 찬양하라|わが たま いざ たたえよ|5번과 같은 줄
14|위대하신 하나님을|おおいなる みかみを|6번과 같은 줄
15|내 영혼아 자 찬양하라|わが たま いざ たたえよ|5번과 같은 줄
16|위대하신 하나님을|おおいなる みかみを|6번과 같은 줄
17|하나님은 세상 사람을 사랑하시어|みかみは よびとを あいし|世人(よびと)=세상 사람(문어). 愛し=愛する 연용형
18|독생자를 내려 보내시고|ひとりの みこを くだし|御子=하나님의 아들. 下す=내려 보내다
19|세상 사람의 구원을 위하여|よびとの すくいの ために|救い=구원. 〜のために=〜을 위하여
20|십자가에 달리게 하셨네|じゅうじかに かからせたり|かかる=달리다. 〜せ=사역. 〜たり=〜했다(문어 완료)
21|머지않아 주 예수 오시어|まもなく しゅ イエスは きたり|間もなく=머지않아. 来たり=来て(문어)
22|우리를 맞아 주시리라|われらを むかえたまわん|迎える=맞이하다. 〜たまわん=〜하시리라(문어 존경+추량)
23|얼마나 기쁜 날인가|いかなる よろこびの ひぞ|いかなる=어떠한(문어). 〜ぞ=강조 종조사
24|얼마나 영광된 날인가|いかなる さかえの ひぞ|栄え=영광. 23번과 짝을 이룬다
25|내 영혼아 자 찬양하라|わが たま いざ たたえよ|5번과 같은 줄
26|위대하신 하나님을|おおいなる みかみを|6번과 같은 줄
27|내 영혼아 자 찬양하라|わが たま いざ たたえよ|5번과 같은 줄
28|위대하신 하나님을|おおいなる みかみを|6번과 같은 줄
29|내 영혼아 자 찬양하라|わが たま いざ たたえよ|5번과 같은 줄
30|위대하신 하나님을|おおいなる みかみを|6번과 같은 줄
31|내 영혼아 자 찬양하라|わが たま いざ たたえよ|5번과 같은 줄
32|위대하신 하나님을|おおいなる みかみを|6번과 같은 줄. 이 말로 곡이 끝난다
