# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|仰ぐとき|あおぐ とき|우러를 때|仰ぐ=우러러보다. 〜とき=〜할 때. 이 꼴이 세 줄 잇따른다
E|眺るとき|ながむる とき|바라볼 때|眺むる=眺める의 문어 연체형
E|鳴り渡るとき|なりわたる とき|울려 퍼질 때|鳴り渡る=울려 퍼지다
E|まことの御神|まことの みかみ|참되신 하나님|まこと=참. 御神=하나님(높임의 御)
E|わがたま|わが たま|내 영혼아|わが=나의(문어). 魂=영혼. 부르는 말
E|いざたたえよ|いざ たたえよ|자 찬양하라|いざ=자(권유). 〜よ=명령
E|大いなる|おおいなる|위대하신|문어 연체형. 大きな 의 격식 있는 꼴
E|森にて|もりにて|숲에서|にて=で의 문어
E|そびゆる山|そびゆる やま|우뚝 솟은 산|そびゆる=聳える의 문어 연체형
E|世人を愛し|よびとを あいし|세상 사람을 사랑하시어|世人=よびと. 愛し=연용형으로 잇는다
E|御子をくだし|みこを くだし|독생자를 내려 보내시고|下す=내려 보내다
E|かからせたり|かからせたり|달리게 하셨네|〜せ(사역)+〜たり(문어 완료)
E|来たり|きたり|오시어|来る의 문어 연용형+たり
E|迎えたまわん|むかえたまわん|맞아 주시리라|〜たまわん=〜하시리라(문어 존경+추량)
E|いかなる喜びの日ぞ|いかなる よろこびの ひぞ|얼마나 기쁜 날인가|いかなる=어떠한. 〜ぞ=강조
# --- 단어 ---------------------------------------------------
V|輝く|かがやく|빛나다|
V|月|つき|달|
V|星|ほし|별|
V|雷|いかずち|우레|보통은 かみなり. 문어에서 いかずち
V|森|もり|숲|
V|鳥の音|とりの ね|새소리|音를 ね로 읽는다
V|谷間|たにま|골짜기|
V|流れ|ながれ|흐름·시내|
V|御子|みこ|하나님의 아들|
V|救い|すくい|구원|
V|十字架|じゅうじか|십자가|
V|栄え|さかえ|영광|
