# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
輝く|輝く|かがやく|빛나다|휘
日|日|ひ|날·해|일
仰ぐ|仰ぐ|あおぐ|우러러보다|앙
月|月|つき|달|월
星|星|ほし|별|성
眺|眺|ながめる|바라보다(眺める)|조
雷|雷|いかずち|우레·천둥|뢰
鳴り|鳴る|なる|울리다·소리 나다|명
渡る|渡る|わたる|건너다·퍼지다|도
御|御|み|(높임의 접두어)|어
神|神|かみ|하나님·신|신
思う|思う|おもう|생각하다|사
大いなる|大いなる|おおいなる|위대한|대
森|森|もり|숲|삼
鳥|鳥|とり|새|조
音|音|ね|소리|음
山|山|やま|산|산
谷間|谷間|たにま|골짜기|곡간
流れ|流れ|ながれ|흐름·시내|류
世人|世人|よびと|세상 사람|세인
愛し|愛する|あいする|사랑하다|애
御子|御子|みこ|하나님의 아들|어자
救い|救い|すくい|구원|구
十字|十字|じゅうじ|십자|십자
架|架|か|가(십자가의 架)|가
間|間|ま|사이·틈|간
主|主|しゅ|주님|주
来|来る|くる|오다|래
迎え|迎える|むかえる|맞이하다·데리러 가다|영
喜び|喜び|よろこび|기쁨|희
栄え|映え|さかえ|영광(栄え)|영
