# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
1|당신은 벌써 잊어버렸을까|あなたは もう わすれた かしら|貴方=당신(연인을 부르는 말). 〜かしら=〜일까(여성이 혼잣말할 때). もう=벌써
2|빨간 수건을 머플러처럼 두르고|あかい てぬぐい マフラーに して|手ぬぐい=일본식 무명 수건. 〜にする=〜로 삼다·〜처럼 쓰다
3|둘이서 갔던 골목의 목욕탕|ふたりで いった よこちょうの ふろや|行った는 いった. 横丁=큰길에서 들어간 골목. 風呂屋=동네 목욕탕(銭湯)
4|같이 나오자고 말했는데도|いっしょに でようねって いったのに|〜(よ)う=〜하자(권유). って=〜라고(인용). 〜のに=〜인데도
5|언제나 내가 기다려야 했어|いつも わたしが またされた|待たされる=待つ의 사역수동. 「기다리게 됨을 당하다」
6|감은 머리가 속까지 차가워져서|あらいがみが しんまで ひえて|洗い髪=막 감은 머리. 芯まで=속까지. 冷える=차가워지다
7|작은 비누가 달그락달그락 울렸어|ちいさな せっけん カタカタ なった|カタカタ=딱딱한 것이 부딪는 소리. 목욕 바구니 속 비누통 소리
8|당신은 내 몸을 껴안고|あなたは わたしの からだを だいて|抱く는 여기서 だく(껴안다). いだく 는 마음을 품을 때 쓴다
9|차갑네 라고 말했어|つめたいねって いったのよ|6번의 「冷えて」를 받는 말. のよ=부드럽게 단정하는 여성 말투
10|젊었던 그때는 아무것도 무섭지 않았어|わかかった あのころ なにも こわくなかった|何も〜ない=아무것도 〜않다. 恐い는 怖い와 같은 말
11|다만 당신의 다정함이 두려웠어|ただ あなたの やさしさが こわかった|ただ=다만. 優しさ=다정함. 앞 줄을 뒤집는 이 곡의 핵심
12|당신은 이미 버렸을까|あなたは もう すてたのかしら|1번과 짝을 이룬다. 忘れた 가 捨てた 로 바뀐다
13|스물네 색 크레파스를 사서|にじゅうよいろの クレパス かって|二十四色은 にじゅうよいろ 로 부른다. クレパス=크레파스(일본 상표에서 온 말)
14|당신이 그렸던 내 얼굴 그림|あなたが かいた わたしの にがおえ|描く는 여기서 かく(그리다). 似顔絵=닮게 그린 얼굴 그림
15|잘 그려 달라고 말했는데도|うまく かいてねって いったのに|4번과 같은 꼴. 〜てね=〜해 줘. うまく=잘·솜씨 좋게
16|언제나 조금도 닮지 않았어|いつも ちっとも にてないの|ちっとも〜ない=조금도 〜않다. 似る=닮다
17|창문 아래에는 칸다강|まどの したには かんだがわ|神田川=도쿄 도심을 흐르는 강. 이 곡의 제목
18|다다미 석 장 한 칸의 작은 하숙|さんじょう ひとまの ちいさな げしゅく|三畳=다다미 3장(약 5㎡). 一間=방 한 칸. 가난한 젊은 날을 나타내는 말
19|당신은 내 손끝을 바라보며|あなたは わたしの ゆびさき みつめ|見つめる=가만히 바라보다. 연용형으로 다음 줄에 잇는다
20|슬프냐고 물었었지|かなしいかいって きいたのよ|〜かい=〜하니(남성이 쓰는 부드러운 의문). 聞く=묻다
21|젊었던 그때는 아무것도 무섭지 않았어|わかかった あのころ なにも こわくなかった|10번과 같은 줄
22|다만 당신의 다정함이 두려웠어|ただ あなたの やさしさが こわかった|11번과 같은 줄. 이 말로 곡이 끝난다
