# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|もう忘れたかしら|もう わすれた かしら|벌써 잊어버렸을까|〜かしら=〜일까. 여성이 혼잣말처럼 되뇔 때 쓴다
E|マフラーにして|マフラーに して|머플러처럼 두르고|〜にする=〜로 삼다. 원래 용도가 아닌 것을 대신 쓸 때
E|二人で行った|ふたりで いった|둘이서 갔던|行った는 いった. 과거형이 그대로 명사를 꾸민다
E|出ようねって|でようねって|나오자고|〜(よ)う=〜하자(권유). って=〜라고(인용)
E|言ったのに|いったのに|말했는데도|〜のに=〜인데도. 기대가 어긋났을 때. 이 곡에 두 번 나온다
E|待たされた|またされた|기다려야 했어|待つ→待たせる(사역)→待たされる(사역수동). 「기다리게 됨을 당했다」
E|芯まで|しんまで|속까지|芯=심·속. 〜まで=〜까지
E|カタカタ鳴った|カタカタ なった|달그락달그락 울렸어|의태어+동사. 소리를 그대로 옮긴다
E|からだを抱いて|からだを だいて|몸을 껴안고|抱く는 여기서 だく. いだく 는 마음을 품을 때
E|冷たいねって|つめたいねって|차갑네 라고|형용사+ね+って. 6번의 「冷えて」를 받는다
E|何も恐くなかった|なにも こわくなかった|아무것도 무섭지 않았어|何も〜ない=아무것도 〜않다
E|恐かった|こわかった|두려웠어|앞 줄의 「恐くなかった」를 뒤집는다. 이 곡의 핵심
E|捨てたのかしら|すてたのかしら|버렸을까|1번의 「忘れたかしら」와 짝을 이룬다
E|クレパス買って|クレパス かって|크레파스를 사서|買う+て. 〜て로 다음 줄에 잇는다
E|うまく描いてね|うまく かいてね|잘 그려 줘|描く는 여기서 かく. 〜てね=부드러운 부탁
E|似てないの|にてないの|닮지 않았어|似る=닮다. 〜ないの=부드러운 부정
E|ちっとも|ちっとも|조금도|뒤에 부정이 온다. ちっとも〜ない
E|窓の下には|まどの したには|창문 아래에는|〜の下=〜의 아래. は로 화제를 세운다
E|指先見つめ|ゆびさき みつめ|손끝을 바라보며|見つめる의 연용형으로 다음 줄에 잇는다
E|悲しいかいって|かなしいかいって|슬프냐고|〜かい=〜하니. 남성이 쓰는 부드러운 의문
E|きいたのよ|きいたのよ|물었었지|聞く=묻다. のよ=부드럽게 단정하는 여성 말투
# --- 단어 ---------------------------------------------------
V|貴方|あなた|당신|연인을 부르는 말. 보통은 あなた로 적는다
V|てぬぐい|てぬぐい|무명 수건|手ぬぐい. 목욕탕에 들고 가는 얇은 천
V|横丁|よこちょう|골목|큰길에서 한 걸음 들어간 좁은 길
V|風呂屋|ふろや|목욕탕|銭湯(せんとう)와 같은 말
V|洗い髪|あらいがみ|막 감은 머리|
V|石鹸|せっけん|비누|
V|からだ|からだ|몸|体
V|頃|ころ|무렵·때|あの頃=그 시절
V|やさしさ|やさしさ|다정함|優しい+さ. 형용사를 명사로 만드는 さ
V|恐い|こわい|무섭다|怖い와 같은 말
V|クレパス|クレパス|크레파스|일본 상표에서 굳어진 말
V|似顔絵|にがおえ|닮게 그린 얼굴 그림|似顔=닮은 얼굴
V|神田川|かんだがわ|칸다강|도쿄 도심을 흐르는 강. 이 곡의 제목
V|三畳|さんじょう|다다미 석 장|약 5㎡. 아주 좁은 방
V|一間|ひとま|방 한 칸|
V|下宿|げしゅく|하숙|
V|指先|ゆびさき|손끝|
V|冷える|ひえる|차가워지다|
V|鳴る|なる|울리다·소리 나다|
V|捨てる|すてる|버리다|
V|似る|にる|닮다|
V|見つめる|みつめる|가만히 바라보다|
