# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
貴方|貴方|あなた|당신·너|귀방
忘れ|忘れる|わすれる|잊다|망
赤い|赤い|あかい|빨갛다|적
二人|二人|ふたり|두 사람|이인
行っ|行う|いく|가다 (이 곡의 行った는 いった)|행
横丁|横丁|よこちょう|골목|횡정
風呂屋|風呂屋|ふろや|목욕탕|풍려옥
一緒|一緒|いっしょ|함께|일서
出よう|出る|でる|나오다·나가다|출
言っ|言う|ゆう|말하다|언
私|私|わたし|나·저|사
待たさ|待たす|またす|기다리게 하다|대
洗い髪|洗い髪|あらいがみ|막 감은 머리|세발
芯|芯|しん|심·속|심
冷え|冷える|ひえる|차가워지다|랭
小さな|小さな|ちいさな|작은|소
石鹸|石鹸|せっけん|비누|석감
鳴っ|鳴る|なる|울리다·소리 나다|명
抱い|抱く|だく|껴안다|포
冷たい|冷たい|つめたい|차갑다|랭
若かっ|若い|わかい|젊다|약
頃|頃|ころ|무렵·때|경
何|何|なに|무엇|하
恐く,恐かっ|怖い|こわい|무섭다|?
捨て|捨てる|すてる|버리다|사
二十|二十|にじゅう|스물|이십
四|四|よん|넷|사
色|色|しょく|색|색
買っ|買う|かう|사다|매
描い|描く|かく|그리다|묘
似顔|似顔|にがお|닮게 그린 얼굴|사안
絵|絵|え|그림·화면|회
似|似る|にる|닮다|사
窓|窓|まど|창문|창
下|下|した|아래|하
神田|カンダ|かんだ|칸다(지명)|
川|川|かわ|강|천
三|三|さん|셋·3|삼
畳|畳|じょう|다다미|첩
一|一|いち|하나·1|일
間|間|けん|사이·틈|간
下宿|下宿|げしゅく|하숙|하숙
指先|指先|ゆびさき|손끝|지선
見つめ|見詰める|みつめる|가만히 바라보다|견?
悲しい|悲しい|かなしい|슬프다|비
