# 한국어 한자어 예. 형식: 漢字|한자어 음|한자어 음   (1·2급 204자 먼저. 나머지는 상세에서 이 줄이 비어 있음)
人|人間 인간|人生 인생
一|一般 일반|統一 통일
今|今日 금일|今年 금년
思|思考 사고|意思 의사
私|私生活 사생활|公私 공사
何|何等 하등|幾何 기하
本|本人 본인|基本 기본
日|日常 일상|生日 생일
歌|歌手 가수|國歌 국가
分|分析 분석|部分 부분
時|時間 시간|當時 당시
言|言語 언어|發言 발언
魔|魔法 마법|惡魔 악마
食|食事 식사|飮食 음식
国|國家 국가|外國 외국
見|見解 견해|意見 의견
全|全體 전체|安全 안전
行|行動 행동|旅行 여행
大|大學 대학|擴大 확대
前|前後 전후|事前 사전
法|法律 법률|方法 방법
気|氣分 기분|空氣 공기
韓|韓國 한국|韓服 한복
当|當然 당연|擔當 담당
出|出發 출발|外出 외출
感|感情 감정|感謝 감사
曲|曲線 곡선|作曲 작곡
間|時間 시간|人間 인간
手|手段 수단|選手 선수
来|未來 미래|往來 왕래
方|方法 방법|地方 지방
中|中心 중심|集中 집중
作|作品 작품|製作 제작
好|好感 호감|愛好 애호
車|自動車 자동차|列車 열차
動|運動 운동|活動 활동
使|使用 사용|大使 대사
俺|俺 (한국어 한자어 없음)|
御|制御 제어|御用 어용
入|入口 입구|收入 수입
味|意味 의미|興味 흥미
聞|新聞 신문|見聞 견문
様|模樣 모양|多樣 다양
違|違反 위반|相違 상위
生|生活 생활|學生 학생
知|知識 지식|通知 통지
目|目的 목적|注目 주목
僕|公僕 공복|僕從 복종
最|最高 최고|最近 최근
二|二重 이중|第二 제이
回|回復 회복|每回 매회
自|自由 자유|自然 자연
仕|奉仕 봉사|仕官 사관
事|事件 사건|工事 공사
番|番號 번호|當番 당번
物|物件 물건|人物 인물
通|通信 통신|交通 교통
上|上下 상하|向上 향상
理|理由 이유|管理 관리
合|合計 합계|結合 결합
先|先生 선생|優先 우선
待|待機 대기|期待 기대
話|對話 대화|電話 전화
誰|誰何 수하|
考|考慮 고려|參考 참고
会|會社 회사|社會 사회
変|變化 변화|變更 변경
両|兩側 양측|兩親 양친
山|山脈 산맥|登山 등산
田|田園 전원|油田 유전
美|美術 미술|美人 미인
後|午後 오후|最後 최후
所|場所 장소|住所 주소
持|持續 지속|所持 소지
良|良心 양심|改良 개량
雪|雪景 설경|降雪 강설
張|主張 주장|緊張 긴장
体|體育 체육|身體 신체
書|讀書 독서|文書 문서
長|社長 사장|成長 성장
的|目的 목적|的中 적중
意|意味 의미|注意 주의
度|態度 태도|溫度 온도
初|最初 최초|初期 초기
殺|殺人 살인|自殺 자살
結|結果 결과|結婚 결혼
身|身體 신체|出身 출신
君|君主 군주|諸君 제군
白|白紙 백지|告白 고백
世|世界 세계|世代 세대
然|自然 자연|當然 당연
普|普通 보통|普及 보급
伝|傳統 전통|宣傳 선전
金|金融 금융|現金 현금
場|場所 장소|市場 시장
子|子女 자녀|電子 전자
部|部分 부분|部長 부장
同|同時 동시|共同 공동
頭|頭腦 두뇌|先頭 선두
女|女性 여성|少女 소녀
面|面接 면접|方面 방면
確|確認 확인|正確 정확
年|年齡 연령|每年 매년
楽|音樂 음악|娛樂 오락
付|添付 첨부|交付 교부
料|料理 요리|材料 재료
覚|感覺 감각|自覺 자각
代|時代 시대|代表 대표
外|外國 외국|海外 해외
語|言語 언어|單語 단어
完|完成 완성|完全 완전
腹|腹部 복부|空腹 공복
怖|恐怖 공포|
逸|逸話 일화|安逸 안일
対|對話 대화|反對 반대
高|高級 고급|最高 최고
近|最近 최근|近處 근처
取|取得 취득|攝取 섭취
多|多數 다수|多樣 다양
色|色彩 색채|特色 특색
警|警察 경찰|警告 경고
音|音樂 음악|發音 발음
用|使用 사용|利用 이용
汚|汚染 오염|汚物 오물
終|終了 종료|最終 최종
小|小說 소설|縮小 축소
界|世界 세계|境界 경계
強|強力 강력|強調 강조
飯|飯店 반점|白飯 백반
役|役割 역할|主役 주역
力|努力 노력|能力 능력
願|所願 소원|志願 지원
活|生活 생활|活動 활동
演|演技 연기|公演 공연
機|機會 기회|飛行機 비행기
緊|緊張 긴장|緊急 긴급
臣|臣下 신하|功臣 공신
返|返還 반환|返納 반납
足|滿足 만족|不足 부족
調|調査 조사|調節 조절
皆|皆勤 개근|
無|無視 무시|無料 무료
落|落葉 낙엽|墜落 추락
新|新聞 신문|革新 혁신
止|中止 중지|禁止 금지
喋|喋喋 첩첩|
戦|戰爭 전쟁|作戰 작전
他|其他 기타|他人 타인
運|運動 운동|幸運 행운
元|元來 원래|次元 차원
丈|丈夫 장부|大丈夫 대장부
夫|夫婦 부부|農夫 농부
画|畫家 화가|映畫 영화
組|組織 조직|組合 조합
送|送金 송금|放送 방송
払|拂拭 불식|支拂 지불
学|學校 학교|科學 과학
想|理想 이상|豫想 예상
発|發展 발전|出發 출발
利|利益 이익|便利 편리
実|事實 사실|實際 실제
割|割引 할인|分割 분할
定|決定 결정|安定 안정
可|可能 가능|許可 허가
空|空氣 공기|空間 공간
地|地球 지구|土地 토지
別|區別 구별|特別 특별
起|起源 기원|提起 제기
少|少年 소년|減少 감소
現|現在 현재|表現 표현
反|反對 반대|反省 반성
応|反應 반응|對應 대응
列|列車 열차|行列 행렬
顔|顔面 안면|童顔 동안
絶|絶對 절대|斷絶 단절
死|死亡 사망|生死 생사
悪|惡魔 악마|善惡 선악
安|安全 안전|不安 불안
社|會社 회사|社會 사회
引|引用 인용|引退 은퇴
直|正直 정직|直接 직접
月|月給 월급|歲月 세월
天|天國 천국|天氣 천기
段|段階 단계|手段 수단
特|特別 특별|特徵 특징
性|性格 성격|個性 개성
読|讀書 독서|朗讀 낭독
者|記者 기자|學者 학자
店|商店 상점|書店 서점
解|理解 이해|解決 해결
切|親切 친절|切實 절실
説|說明 설명|小說 소설
試|試驗 시험|試圖 시도
心|心臟 심장|安心 안심
