# 일본 신자체 → 한국 정자체 (Unihan 에 한국음이 없는 112자 중 대응이 있는 것). 형식: 신자체|정자체
気|氣
当|當
様|樣
変|變
両|兩
伝|傳
楽|樂
覚|覺
対|對
戦|戰
払|拂
発|發
応|應
悪|惡
読|讀
説|說
恋|戀
温|溫
転|轉
単|單
内|內
鶏|鷄
緒|緖
撃|擊
囲|圍
毎|每
飲|飮
残|殘
状|狀
昼|晝
黙|默
戻|戾
辺|邊
験|驗
歳|歲
満|滿
嘘|噓
声|聲
勧|勸
経|經
寝|寢
数|數
関|關
断|斷
観|觀
雑|雜
研|硏
与|與
縁|緣
続|續
戸|戶
黄|黃
髪|髮
焼|燒
懐|懷
抜|拔
謡|謠
麺|麵
属|屬
訳|譯
奥|奧
参|參
称|稱
歴|歷
税|稅
獣|獸
騒|騷
図|圖
鋭|銳
繊|纖
険|險
条|條
脳|腦
齢|齡
厨|廚
剣|劍
遅|遲
駆|驅
畳|疊
隠|隱
剥|剝
譲|讓
旧|舊
写|寫
挟|挾
収|收
検|檢
団|團
圏|圈
舎|舍
売|賣
録|錄
猟|獵
概|槪
脱|脫
労|勞
乗|乘
区|區
殴|毆
巻|卷
狭|狹
涙|淚
縦|縱
捜|搜
薬|藥
繋|繫
釈|釋
桜|櫻
# 한국음 있으나 훈음과 어긋난 것도 정자체로 해결
体|體
画|畫
台|臺
予|豫
円|圓
担|擔
吊|弔
