# 변·머리·받침과 사이트 한자가 아닌 구성 요소의 이름. 형식: 요소|이름   (한자 상세의 「구성」 칩에 표시)
丿|삐침
丶|점
丨|뚫을 곤
亅|갈고리 궐
乙|새 을
乂|벨 예
亠|돼지해머리
亻|사람인변
八|여덟 팔
儿|어진사람인발
冖|민갓머리
冂|멀 경
土|흙 토
又|또 우
氵|삼수변
扌|재방변
厂|민엄호
厶|마늘 모
宀|갓머리
糸|실 사
⻌|책받침
辶|책받침
𠂉|사람 인(변형)
艹|초두머리
弋|주살 익
卜|점 복
灬|연화발
⺕|튼가로왈
刂|선칼도방
戈|창 과
𠂊|칼 도(변형)
寸|마디 촌
几|안석 궤
夂|뒤져올 치
隹|새 추
匕|비수 비
攵|등글월문
廾|스물입발
广|엄호
尸|주검시엄
彳|두인변
冫|이수변
⻖|좌부변
干|방패 간
勹|쌀포몸
禾|벼 화
巾|수건 건
卩|병부절
⺍|작을 소(변형)
⺤|손톱 조(변형)
爫|손톱 조(변형)
氺|물 수(변형)
龶|주인 주(변형)
忄|심방변
頁|머리 혈
刀|칼 도
囗|큰입구몸
殳|갖은등글월문
廿|스물 입
千|일천 천
里|마을 리
⺌|작을 소(변형)
䒑|초두(변형)
罒|그물망머리
龰|발 지(변형)
艮|괘이름 간
彡|터럭 삼
兄|형 형
斤|도끼 근
羊|양 양
九|아홉 구
マ|마(가타카나꼴)
云|이를 운
凵|위튼입구몸
吉|길할 길
耂|늙을로엄
⺨|개사슴록변
犭|개사슴록변
业|업 업(변형)
歹|죽을사변
矢|화살 시
匸|감출혜몸
門|문 문
示|보일 시
礻|보일시변
石|돌 석
弓|활 궁
毋|말 무
雨|비 우
⻏|우부방
西|서녘 서
酉|닭 유
豕|돼지 시
木|나무 목
王|임금 왕
玉|구슬 옥
口|입 구
田|밭 전
日|날 일
月|달 월
十|열 십
二|두 이
工|장인 공
士|선비 사
大|큰 대
小|작을 소
山|메 산
女|여자 녀
子|아들 자
心|마음 심
火|불 화
水|물 수
言|말씀 언
車|수레 거
金|쇠 금
食|밥 식
飠|밥식변
衤|옷의변
疒|병질엄
攴|칠 복
皿|그릇 명
貝|조개 패
走|달릴 주
足|발 족
⻊|발족변
竹|대 죽
⺮|대죽머리
米|쌀 미
虫|벌레 충
舟|배 주
革|가죽 혁
音|소리 음
馬|말 마
魚|물고기 어
鳥|새 조
# --- 사이트 한자는 아니지만 구성 요소로 자주 나오는 한자 ---
匚|튼입구몸
幺|작을 요
开|열 개(변형)
且|또 차
欠|하품 흠
戍|지킬 수
青|푸를 청
尚|오히려 상
犬|개 견
古|옛 고
疋|짝 필
七|일곱 칠
甲|갑옷 갑
⺦|나뭇조각 장(변형)
㐄|걸을 과(변형)
勿|말 물
谷|골 곡
寺|절 사
韋|다룸가죽 위
聿|붓 율
至|이를 지
甶|귀신머리 불
亡|망할 망
兌|바꿀 태
㑒|다 첨(변형)
禸|짐승발자국 유
戌|개 술
亦|또 역
穴|구멍 혈
巴|땅이름 파
夭|일찍죽을 요
昜|볕 양
免|면할 면
甬|길 용
壬|북방 임
尺|자 척
舛|어그러질 천
羽|깃 우
虍|범호엄
戠|찰흙 시
