# 학습 탭 데이터.  E = 표현 / V = 단어.   형식: 종류|한국어|일본어|메모
# 실제 발화 표기 그대로 적어야 자막 위치에 연결된다
# --- 표현 ---------------------------------------------------
E|달라진 거 없나요?|変わったところありませんか？|髪型などを変えた時の定番の振り
E|곧 컴백하거든요|もうすぐカムバックなんです|「-거든요」＝〜なんですよ(理由・前置き)
E|그렇게 어렵지가 않아요|そんなに難しくないんです|「-지가 않다」＝強調した否定
E|시작해 볼까요?|始めましょうか？|「-아/어 볼까요?」＝〜してみましょうか
E|호강한다|贅沢だね・いい思いをする|「호강하다」＝良い待遇を受ける
E|대충 해요|適当にやります|「대충」＝ざっくり。料理回の口ぐせ
E|다 때려 넣습니다|全部ぶち込みます|「때려 넣다」＝どさっと入れる(俗)
E|맛있는데?|美味しいんだけど？|「-는데?」＝意外・確認のニュアンス
E|이 정도?|これくらい？|分量を示す時
E|진짜 약해요|本当に苦手です|「약하다」＝弱い→苦手だ
E|맛만 있으면 되지|美味しければそれでいい|「-만 -면 되다」＝〜さえすればいい
E|킥이에요|決め手なんです|「킥」＝料理の決め手・ポイント(俗)
E|솔직히 잘 몰라요|正直よく分かりません|
E|한국인이잖아요?|韓国人ですから？|ニンニクを入れる時の定番ジョーク
E|잠깐만 해야 돼요|ほんの少しだけやります|「-아야 되다」＝〜しなければならない
E|망했다|失敗した・終わった|料理・仕事の失敗に
E|이따 봐요|また後で|「이따(가)」＝後で
E|배고팠어|お腹すいた|
E|감동했었거든|感動したんだ|「-았/었었-」＝過去の経験を回想
E|첫 경험이야|初体験だよ|
E|만들 줄 알았어?|作れたの？|「-ㄹ 줄 알다」＝〜できる・〜の仕方を知っている
E|진짜 대박이다|本当にすごい|「대박」＝大ヒット・すごい(俗)
E|당연하지!|当然でしょ！|
E|알려줄게|教えてあげる|「-아/어 줄게」＝〜してあげるね
E|다음번에도 나올래요|次回も出ます|「-ㄹ래요」＝〜します(意思)
E|뭔가 이상해|なんか変|
E|완전 성공|完全に成功|「완전」＝完全に(強調の口語)
E|가리는 게 진짜 없어요|好き嫌いが本当にないんです|「가리다」＝選り好みする
E|뭔 느낌인지 알지?|どんな感じか分かるでしょ？|「뭔」＝「무슨」の縮約
E|기억 안 나?|覚えてない？|
E|서운했어|寂しかった・傷ついた|「서운하다」＝期待が外れて寂しい
E|할 말이 없어서|言うことがなくて|
E|억울했거든요|悔しかったんです|「억울하다」＝不当で悔しい
E|그랬구나|そうだったんだ|共感の相づち。瞑想レッスンの合言葉
E|별생각이 없었어|特に何も思ってなかった|「별생각 없다」＝深く考えていない
E|상처를 잘 안 받아요|傷つきにくいんです|
E|개고생했네|苦労したね|「개-」＝強調の俗語接頭辞
E|기대를 안 하면|期待をしなければ|
E|어쩔 수 없어|しょうがない|
E|먹을 때가 아님|食べてる場合じゃない|「-ㅁ」終止＝字幕・SNS的な言い切り
E|마음을 먹고|決心して|「마음을 먹다」＝決心する
E|막상 가면|いざ行けば|「막상」＝いざ・実際に
E|다 공감할 거예요|みんな共感すると思います|
E|개운하더라고|すっきりするんだよね|「-더라고」＝経験して分かったこと
E|깨달았잖아|悟ったじゃん|
E|말해도 되는 거야?|言ってもいいの？|「-아/어도 되다」＝〜してもいい
E|잘 먹었습니다|ごちそうさまでした|食後の定番挨拶
# --- 단어 ---------------------------------------------------
V|반쎄오|バインセオ|ベトナムのお好み焼き風料理
V|쌀국수|フォー|米の麺
V|베트남|ベトナム|
V|반죽|生地|
V|재료|材料|
V|손질|下ごしらえ|
V|오징어|イカ|
V|새우|エビ|
V|부추|ニラ|
V|쪽파|わけぎ|
V|마늘|ニンニク|
V|양파|玉ねぎ|
V|설탕|砂糖|
V|소금|塩|
V|식초|お酢|
V|후추|胡椒|
V|소스|ソース|
V|육수|だし・スープ|
V|고수|パクチー|
V|깻잎|エゴマの葉|
V|상추|サンチュ|
V|오이|きゅうり|
V|요리|料理|
V|음식|食べ物・料理|
V|양식|洋食|
V|한식|韓国料理|
V|취향|好み|
V|추억|思い出|
V|손님|お客さん|
V|조수|助手|
V|눈빛|目つき・まなざし|
V|오해|誤解|
V|명상|瞑想|
V|상처|傷|心の傷にも
V|트러블|トラブル|
V|감성적|感性的|
V|성향|性向・傾向|
V|컴백|カムバック|新曲で活動再開すること
V|앨범|アルバム|
V|녹음|録音|
V|파트|パート|
V|데모|デモ|
V|정규|正規(アルバム)|フルアルバム
V|축제|祭り|大学祭など
V|낭만|ロマン|
V|청춘|青春|
V|부담|負担・プレッシャー|
V|다이어트|ダイエット|
V|운동|運動|
V|산책|散歩|
V|햇빛|日光|
V|일정|日程・スケジュール|
V|의상|衣装|
V|찜질방|チムジルバン|韓国式サウナ施設
V|사우나|サウナ|
V|황토|黄土|
V|맨발|裸足|
V|한강|漢江|ソウルを流れる川
V|요즘|最近|
V|어제|昨日|
V|처음|初めて|
V|정도|程度・くらい|
V|대충|適当に|
V|사실|実は|
V|오히려|むしろ|
V|어쨌든|とにかく|
V|솔직히|正直に|
V|개인적|個人的|
V|웬만한|大抵の|
