# 학습 탭 데이터.  E = 표현 / V = 단어.   형식: 종류|한국어|일본어|메모
# --- 표현 ---------------------------------------------------
E|약간|ちょっと・なんか|会話でぼかす時の最頻出。断定を避ける
E|되게|すごく|「너무」より軽い強調。若い世代の口語
E|뭔가|なんか・何となく|言葉を探す時のつなぎ
E|그러네|そうだね・確かに|相手に気づかされた時の相づち
E|맞아|そう・その通り|同意の定番
E|어때?|どう？|感想を尋ねる。丁寧は「어때요?」
E|괜찮지?|いいでしょ？|同意を求める。語尾を上げる
E|너무 귀엽다|かわいすぎる|「귀엽다」の強調。この動画の口ぐせ
E|하찮게 생겼어|しょぼい見た目|「하찮다」＝取るに足らない。愛嬌としてほめ言葉に使う
E|잘 어울려|よく似合う|服・小物をほめる定番
E|입어 볼게|着てみるね|「-아/어 볼게」＝〜してみるね
E|얼마야?|いくら？|タメ口。丁寧は「얼마예요?」
E|마음에 들어|気に入った|「마음에 들다」＝気に入る
E|어이 없어|あきれる|軽い冗談として友達同士でよく使う
E|나 진짜 서운해|本当に寂しい・傷ついた|「서운하다」＝期待が外れて寂しい。日本語に一語で訳しにくい
E|깜짝 놀래|びっくりする|「놀라다」の口語形
E|경로를 이탈해|ルートを外れる|予定からそれること。この二人の合言葉
E|칼퇴|定時退社|「칼같이 퇴근」の略。練習を切り上げる意味でも
E|멘탈 나가서|メンタルがやられて|疲れ果てた状態
E|심장 쫄리는 거|心臓がドキドキすること|「쫄다」＝びびる。緊張で縮こまる感じ
E|겁을 내고|怖がって|「겁」＝恐れ
E|손이 많이 가는|手のかかる|人にも物にも使う
E|과정에 비해서|過程のわりに|「-에 비해서」＝〜に比べて
E|낯을 가려서|人見知りして|「낯을 가리다」＝人見知りする
E|반응이 좋으니까|反応がいいから|
E|내려놨어|手放した|こだわりを捨てた、の意
E|편한게 짱이야|楽なのが一番|「짱」＝最高(俗語)
E|믹스 매치|ミックスマッチ|服の合わせ方
E|진도를 나가고|進度を進めて|勉強・練習が進むこと
E|욕심이 많아|欲張りだ|良い意味の向上心にも使う
E|오랜만에|久しぶりに|
E|그 시절에는|あの頃は|昔話を始める合図
E|혼자 있다|一人でいる|
E|생일 축하해|誕生日おめでとう|タメ口。丁寧は「생일 축하해요」
E|놀아줄게|遊んであげる|「-아/어 줄게」＝〜してあげる
E|나갈 수가 없는|出かけられない|「-ㄹ 수가 없다」＝〜できない(強い否定)
E|친구가 없으니까|友達がいないから|
E|그럴만도 한게|そうなるのも無理はなくて|理解を示す言い回し
E|무슨 소리야|何言ってるの|驚き・反論。「뭔 소리야」とも
E|써 봐도 되나?|かぶってみてもいい？|「-아/어 보다」＝〜してみる
E|이게 뭐가 데이트야?|これのどこがデート？|「뭐가 -야?」＝〜なわけない
E|시켜 볼까?|頼んでみようか？|注文する時の「시키다」
E|다 먹었다|全部食べた|
E|사야겠는데|買わなきゃ|「-아/어야겠다」＝〜しなきゃ
E|못 믿어|信じられない|「못 -」＝〜できない
E|기다려 줄게|待っててあげる|
E|안녕|バイバイ|別れのあいさつ。動画の締めにも
# --- 단어 ---------------------------------------------------
V|데이트|デート|
V|연희동|ヨニドン|ソウルの町の名前。カフェと雑貨屋が多い
V|힐링|癒し|韓国でそのまま名詞として使う
V|키링|キーホルダー|key ring から
V|소품샵|雑貨屋|
V|퇴근길|退勤の道|アイドルが仕事終わりに見せる私服姿も指す
V|선생님|先生|店の講師にも使う敬称
V|색깔|色|
V|주황색|オレンジ色|
V|흰색|白|
V|빨간색|赤|
V|노랑|黄色|
V|초록색|緑色|
V|금색|金色|
V|오리|アヒル|
V|토마토|トマト|
V|아보카도|アボカド|
V|당근|にんじん|
V|꼬리|しっぽ|
V|몸통|胴体|
V|머리|頭・髪|
V|속눈썹|まつげ|
V|모양|形|
V|디자인|デザイン|
V|손재주|手先の器用さ|
V|집중력|集中力|
V|카메라|カメラ|
V|사진|写真|
V|파스타|パスタ|
V|브런치|ブランチ|
V|카페|カフェ|
V|요리|料理|
V|채소|野菜|
V|미역국|わかめスープ|誕生日に食べる韓国の習慣
V|생일|誕生日|
V|숙소|宿舎|アイドルの共同生活の家
V|멤버|メンバー|
V|친구|友達|
V|혼자|一人|
V|통금|門限|
V|미성년자|未成年|
V|성인|成人|
V|중학교|中学校|
V|연습생|練習生|デビュー前の期間
V|서울|ソウル|
V|양갈래|ツインテール|
V|팬사인|ファンサイン会|
V|대표님|代表・社長|
V|안무|振り付け|
V|수록곡|収録曲|
V|타이틀곡|タイトル曲|
V|콘서트|コンサート|
V|연습|練習|
V|스케줄|スケジュール|
V|새벽|明け方|
V|체력|体力|
V|날씨|天気|
V|계단|階段|
V|쇼핑|買い物|
V|옷가게|洋服屋|
V|목걸이|ネックレス|
V|가방|かばん|
V|치마|スカート|
V|바지|ズボン|
V|잠옷|パジャマ|
V|비니|ニット帽|
V|가격|値段|
V|선물|プレゼント|
V|사이즈|サイズ|
V|스타일|スタイル|
V|분위기|雰囲気|
V|느낌|感じ|
