# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
# Phil Wickham 「Living Hope」의 공인 일본어 번역(黒川裕司).
1|인생의 높은 산이 우뚝 솟을 때|じんせいの たかい やまが そびえたつ とき|聳え立つ=우뚝 솟다. 〜時=〜할 때
2|밤 사이에 주의 이름을 부르네|よるの あいだに しゅの なを よぶ|〜の間に=〜사이에. 呼ぶ=부르다
3|하늘을 우러러|てんを みあげて|見上げる=올려다보다
4|당신의 사랑 다정함이 이 영혼을 감싸네|あなたの あい やさしさが この たましいを つつむ|優しさ=優しい+さ. 包む=감싸다
5|소망이 있네 나에게는|きぼうが ある わたしには|〜には=〜에게는
6|예수 그리스도 나의 산 소망|Jesus Christ My Living Hope|영어 그대로 부른다. 제목
7|우리의 생각 모두|わたしたちの おもい すべて|思い=생각
8|아득히 넘어선 은혜|はるかに こえた めぐみ|遥かに=아득히. 恵(み)=은혜
9|나의 죄 수치까지 지시는 하나님의 긍휼|わたしの つみ はじをも おう かみの あわれみ|〜をも=〜까지도. 負う=짊어지다. 憐れみ=긍휼
10|십자가가 말하는 것은 내가 용서받았다는 것|じゅうじかが かたるのは わたしは ゆるされた|語る=말하다. 許される=용서받다(수동)
11|이 얼마나 놀라운 구주|なんという すくいぬし|何という=얼마나(감탄)
12|예수 그리스도 나의 산 소망|Jesus Christ My Living Hope|6번과 같은 줄
13|할렐루야 주를 찬양하라|ハレルヤ しゅを たたえよ|讃えよ=명령형
14|할렐루야 자유하게 되었네|ハレルヤ じゆうに なった|〜になる=〜가 되다
15|구원의 역사 예수 이름에 있네|すくいの みわざ イエスの なに ある|御業=하나님이 하신 일(높임)
16|예수 그리스도 나의 산 소망|Jesus Christ My Living Hope|6번과 같은 줄
17|할렐루야 주를 찬양하라|ハレルヤ しゅを たたえよ|13번과 같은 줄
18|할렐루야 자유하게 되었네|ハレルヤ じゆうに なった|14번과 같은 줄
19|구원의 역사 예수 이름에 있네|すくいの みわざ イエスの なに ある|15번과 같은 줄
20|예수 그리스도 나의 산 소망|Jesus Christ My Living Hope|6번과 같은 줄
21|약속의 아침이 오네|やくそくの あさが くる|부활의 아침
22|숨을 되돌리고|いきを ふきかえし|息を吹き返す=되살아나다
23|침묵은 깨어졌네|ちんもくは うちけされた|打ち消す=지우다. 그 수동형
24|무덤에는 이제 없네|はかには もう いない|墓=무덤. もう〜ない=이제 〜없다
25|약속의 아침이 오네|やくそくの あさが くる|21번과 같은 줄
26|숨을 되돌리고|いきを ふきかえし|22번과 같은 줄
27|침묵은 깨어졌네|ちんもくは うちけされた|23번과 같은 줄
28|무덤에는 이제 없네|はかには もう いない|24번과 같은 줄
29|승리하신 주 예수|しょうりした しゅ イエス|勝利する=승리하다
30|할렐루야 주를 찬양하라|ハレルヤ しゅを たたえよ|13번과 같은 줄
31|할렐루야 자유하게 되었네|ハレルヤ じゆうに なった|14번과 같은 줄
32|구원의 역사 예수 이름에 있네|すくいの みわざ イエスの なに ある|15번과 같은 줄
33|예수 그리스도 나의 산 소망|Jesus Christ My Living Hope|6번과 같은 줄
34|할렐루야 주를 찬양하라|ハレルヤ しゅを たたえよ|13번과 같은 줄
35|할렐루야 자유하게 되었네|ハレルヤ じゆうに なった|14번과 같은 줄
36|구원의 역사 예수 이름에 있네|すくいの みわざ イエスの なに ある|15번과 같은 줄
37|예수 그리스도 나의 산 소망|Jesus Christ My Living Hope|6번과 같은 줄
38|예수 그리스도 나의 산 소망|Jesus Christ My Living Hope|6번과 같은 줄
39|예수 그리스도 나의 산 소망|Jesus Christ My Living Hope|이 말로 곡이 끝난다
