# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|そびえ立つ時|そびえたつ とき|우뚝 솟을 때|聳え立つ. 〜時=〜할 때
E|夜の間に|よるの あいだに|밤 사이에|〜の間に=〜사이에
E|名を呼ぶ|なを よぶ|이름을 부르다|
E|見上げて|みあげて|우러러|見上げる=올려다보다
E|魂を包む|たましいを つつむ|영혼을 감싸다|包む=감싸다
E|希望がある|きぼうが ある|소망이 있다|
E|はるかに超えた|はるかに こえた|아득히 넘어선|遥かに=아득히
E|恥をも負う|はじをも おう|수치까지 짊어지다|〜をも=〜까지도
E|語るのは|かたるのは|말하는 것은|〜のは=〜하는 것은
E|許された|ゆるされた|용서받았다|許す의 수동
E|何という|なんという|얼마나 (놀라운)|감탄의 何という
E|主を讃えよ|しゅを たたえよ|주를 찬양하라|명령형
E|自由になった|じゆうに なった|자유하게 되었다|〜になる=〜가 되다
E|名にある|なに ある|이름에 있다|
E|息を吹き返し|いきを ふきかえし|숨을 되돌리고|息を吹き返す=되살아나다
E|打ち消された|うちけされた|깨어졌다|打ち消す의 수동
E|もういない|もう いない|이제 없다|もう〜ない
E|勝利した|しょうりした|승리하신|勝利する
# --- 단어 ---------------------------------------------------
V|人生|じんせい|인생|
V|優しさ|やさしさ|다정함|優しい+さ
V|恵|めぐみ|은혜|보통 恵み 로 적는다
V|罪|つみ|죄|
V|憐れみ|あわれみ|긍휼|
V|十字架|じゅうじか|십자가|
V|御業|みわざ|(하나님의) 역사|
V|約束の朝|やくそくの あさ|약속의 아침|부활의 아침
V|沈黙|ちんもく|침묵|
V|墓|はか|무덤|
