# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
人生|人生|じんせい|인생|인생
高い|高い|たかい|높다·크다|고
山|山|やま|산|산
そびえ立つ|聳え立つ|そびえたつ|우뚝 솟다|용립
時|時|とき|때·시|시
夜|夜|よる|밤|야
間|間|あいだ|사이·틈|간
主|主|しゅ|주님|주
名|名|な|이름|명
呼ぶ|呼ぶ|よぶ|부르다|호
天|天|てん|하늘|천
見上げ|見上げる|みあげる|올려다보다|견상
愛|愛|あい|사랑|애
優し|優しい|やさしい|다정하다|우
魂|魂|たましい|영혼|혼
包む|包む|つつむ|감싸다|포
希望|希望|きぼう|소망|희망
私|私|わたし|나·저|사
思い|思い|おもい|마음·생각|사
超え|越える|こえる|넘다|월
恵|メグミ|めぐみ|은혜(恵)|
罪|罪|つみ|죄|죄
恥|恥|はじ|수치|치
負う|負う|おう|짊어지다|부
神|神|かみ|하나님|신
憐れみ|哀れむ|あわれむ|긍휼히 여기다|애
十字|十字|じゅうじ|십자|십자
架|架|か|가(십자가의 架)|가
語る|語る|かたる|말하다|어
許さ|許す|ゆるす|용서하다|허
何|何|なに|무엇|하
救い主|救い主|すくいぬし|구세주|구주
讃えよ|称える|たたえる|찬양하다|칭
自由|自由|じゆう|자유|자유
救い|救い|すくい|구원|구
御|御|み|(높임의 접두어)|어
業|業|わざ|일·역사|업
約束|約束|やくそく|약속|약속
朝|朝|あさ|아침|조
来る|来る|くる|오다|래
息|息|いき|숨|식
吹き返し|吹き返す|ふきかえす|되살아나다|취반
沈黙|沈黙|ちんもく|침묵|침묵
打ち消さ|打ち消す|うちけす|지우다·부정하다|타소
墓|墓|はか|무덤|묘
勝利|勝利|しょうり|승리|승리
