# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
1|시시한 일로 웃고|くだらない ことで わらって|くだらない=시시하다·하잘것없다. 〜で=〜으로(원인)
2|아무렇지 않은 대화에 울고|なにげない かいわで ないて|何気ない=무심하다·아무렇지 않다. 읽기는 なにげない
3|하나하나의 일에 책갈피를 끼워서|ひとつひとつの できごとに しおりを はさんで|しおりを挟む=책갈피를 끼우다. 추억을 표시해 둔다는 비유
4|잊지 않도록 잃어버리지 않도록|わすれない ように なくさない ように|〜ないように=〜하지 않도록. 두 번 겹쳐 힘을 준다
5|데리러 갈게 마법은 못 쓰지만|むかえに いくよ まほうは つかえないけど|迎えに行く=데리러 가다. 使える=쓸 수 있다(가능형)
6|돈도 없고 힘도 없고|おかねも ないし ちからも ないし|〜もないし=〜도 없고. し로 이유를 늘어놓는다
7|지위도 명예도 없지만|ちいも めいよも ないけど|6번과 짝. けど로 뒤집는다
8|너를 놓고 싶지 않아|きみのこと はなしたくないんだ|離す=놓다. 話す와 읽기가 같아 헷갈리기 쉽다. 〜たくない=〜하고 싶지 않다
9|네가 혹시 어떤 사랑을 거듭하고|きみが かりに どんな こいを かさねてさ|仮に=혹시·만일. 恋を重ねる=사랑을 거듭하다. さ=가벼운 말끝
10|어떤 사람과 함께 웃었는지|どんな ひとと わらいあったか|笑い合う=서로 웃다. 〜合う=서로 〜하다. 〜たか=〜했는지
11|혼자 생각하다 멋대로 풀이 죽어|ひとりで かんがえて かってに へこんで|1人=ひとり. 勝手に=멋대로. へこむ=풀이 죽다(구어)
12|잠 못 이루는 밤을 보내고|ねむれない よるを すごしてさ|眠れない=잠들 수 없다(가능형의 부정)
13|혹시 비가 내려|かりに あめが ふって|9번의 仮に 가 여기서 다시 나와 〜ても 로 이어진다
14|흠뻑 젖더라도 내가 데리러 갈 테니까|びしょぬれに なっても ぼくが むかえに いくから|びしょ濡れ=흠뻑 젖음. 〜ても=〜해도. から=〜니까
15|웃고 울고 서로 바라보고|わらって ないて みつめあって|見つめ合う=서로 바라보다. 1·2번의 笑って·泣いて 가 되돌아온다
16|서로 껴안고 서로 사랑하고|だきしめあって あいしあって|抱きしめ合う·愛し合う. 〜合う 가 세 줄 이어진다
17|지니처럼 마법의 램프에서 나와|ジーニーのように まほうの ランプから でて|ジーニー=알라딘의 램프 요정. 〜のように=〜처럼
18|웃게 해 줄게 마법은 못 쓰지만|わらわせるよ まほうは つかえないけど|笑わせる=웃게 하다(사역). 5번의 迎えに行くよ 자리에 들어왔다
19|돈도 없고 힘도 없고|おかねも ないし ちからも ないし|6번과 같은 줄
20|지위도 명예도 없지만|ちいも めいよも ないけど|7번과 같은 줄
21|너를 지키고 싶어|きみのこと まもりたいんだ|8번의 「놓고 싶지 않아」가 「지키고 싶어」로 바뀐다
22|알라딘처럼 마법의 양탄자를 타고|アラジンのように まほうの じゅうたんに のって|絨毯=양탄자. 이 곡의 제목이 여기서 나온다
23|데리러 갈게 마법은 못 쓰지만|むかえに いくよ まほうは つかえないけど|5번과 같은 줄
24|돈도 없고 힘도 없고|おかねも ないし ちからも ないし|
25|지위도 명예도 없지만 너를|ちいも めいよも ないけど きみのこと|앞 후렴과 달리 「君のこと」가 붙어 다음 줄로 이어진다
26|지니처럼 마법의 램프에서 나와|ジーニーのように まほうの ランプから でて|17번과 같은 줄
27|웃게 해 줄게 마법은 못 쓰지만|わらわせるよ まほうは つかえないけど|18번과 같은 줄
28|돈도 없고 힘도 없고|おかねも ないし ちからも ないし|
29|지위도 명예도 아무것도 없어|ちいも めいよも なにも ない|けど 가 빠지고 「なにもない」로 끝을 맺는다
30|그래도 너를 지키고 싶어|だけど きみを まもりたいんだ|だけど=그래도. 21번을 다시 불러 곡을 닫는다
