# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|くだらないことで|くだらない ことで|시시한 일로|くだらない=하잘것없다. 〜で=〜으로(원인·수단)
E|何気ない|なにげない|아무렇지 않은·무심한|読み는 なにげない. 会話·仕草 앞에 자주 온다
E|しおりを挟んで|しおりを はさんで|책갈피를 끼워서|추억을 표시해 둔다는 비유. 挟む=끼우다
E|忘れないように|わすれない ように|잊지 않도록|〜ないように=〜하지 않도록. 바로 다음 줄에서 한 번 더 겹친다
E|迎えに行くよ|むかえに いくよ|데리러 갈게|迎えに行く=데리러 가다. 이 곡의 후렴을 여는 말
E|使えないけど|つかえない けど|쓸 수 없지만|使える=쓸 수 있다(가능형). けど로 뒤집는다
E|もないし|も ないし|〜도 없고|〜もないし〜もないし 로 이유를 늘어놓는다
E|離したくないんだ|はなしたく ないんだ|놓고 싶지 않아|離す=놓다. 話す와 읽기가 같아 헷갈린다. 〜んだ=속마음을 드러내는 어미
E|仮に|かりに|혹시·만일|뒤에 〜ても·〜たら 가 온다. 이 곡에 두 번 나온다
E|恋を重ねて|こいを かさねて|사랑을 거듭하고|重ねる=거듭하다·포개다
E|笑い合ったか|わらいあったか|함께 웃었는지|〜合う=서로 〜하다. 〜たか=〜했는지(의문을 품은 채 잇는다)
E|勝手にへこんで|かってに へこんで|멋대로 풀이 죽어|勝手に=제멋대로. へこむ=기가 죽다(구어)
E|眠れない夜|ねむれない よる|잠 못 이루는 밤|眠れる=잠들 수 있다. 그 부정형
E|びしょ濡れになっても|びしょぬれに なっても|흠뻑 젖더라도|〜になる=〜가 되다. 〜ても=〜해도
E|見つめ合って|みつめあって|서로 바라보고|〜合う 가 세 줄 이어지는 자리의 첫 줄
E|抱きしめ合って|だきしめあって|서로 껴안고|抱きしめる+合う
E|愛し合って|あいしあって|서로 사랑하고|愛する+合う
E|のように|のように|〜처럼|ジーニーのように·アラジンのように
E|笑わせるよ|わらわせるよ|웃게 해 줄게|笑う의 사역형. 迎えに行くよ 자리에 들어온다
E|守りたいんだ|まもりたいんだ|지키고 싶어|〜たい+んだ. 「離したくない」와 짝을 이룬다
E|絨毯に乗って|じゅうたんに のって|양탄자를 타고|〜に乗る=〜를 타다. 조사가 に인 점에 주의
E|だけど|だけど|그래도|마지막 줄에서 앞을 다 받아 뒤집는다
# --- 단어 ---------------------------------------------------
V|出来事|できごと|일·사건|
V|会話|かいわ|대화|
V|無くさない|なくさない|잃어버리지 않다|無くす=잃다
V|魔法|まほう|마법|이 곡의 열쇠말. 쓸 줄 모른다고 되풀이한다
V|お金|おかね|돈|
V|力|ちから|힘|
V|地位|ちい|지위|
V|名誉|めいよ|명예|
V|恋|こい|사랑|愛보다 설레는 쪽에 가깝다
V|1人で|ひとりで|혼자서|읽기는 ひとり
V|過ごして|すごして|보내고|過ごす=(시간을) 보내다
V|雨|あめ|비|
V|降って|ふって|내려서|降る=(비가) 내리다
V|ランプ|ランプ|램프|
V|絨毯|じゅうたん|양탄자·융단|제목의 말
V|守りたい|まもりたい|지키고 싶다|守る=지키다
