# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
笑っ,笑わ|笑う|わらう|웃다|소
何|何|なに|무엇|하
気|気|げ|기·기색|기
会話|会話|かいわ|대화|회화
泣い|泣く|なく|울다|읍
出来事|出来事|できごと|일·사건|출래사
挟ん|挟む|はさむ|끼우다|협
忘れ|忘れる|わすれる|잊다|망
無くさ|無くす|なくす|잃어버리다|무
迎え|迎える|むかえる|맞이하다·데리러 가다|영
行く|行く|いく|가다|행
魔法|魔法|まほう|마법|마법
使え|使う|つかう|쓰다·사용하다|사
金|金|かね|돈|금
力|力|ちから|힘|력
地位|地位|ちい|지위|지위
名誉|名誉|めいよ|명예|명예
君|君|きみ|너·그대|군
離し|離す|はなす|놓다·떼어 놓다|리
仮|仮|かり|임시·가령|가
恋|恋|こい|사랑|련
重ね|重ねる|かさねる|거듭하다·포개다|중
人|人|ひと|사람|인
笑い合っ|笑い合う|わらいあう|서로 웃다|소합
考え|考える|かんがえる|생각하다|고
勝手|勝手|かって|제멋대로|승수
眠れ|眠る|ねむる|잠들다|면
夜|夜|よる|밤|야
過ごし|過ごす|すごす|(시간을) 보내다|과
雨|雨|あめ|비|우
降っ|降る|ふる|(비가) 내리다|강
びしょ濡れ|びしょぬれ|びしょぬれ|흠뻑 젖음|
見つめ|見詰める|みつめる|가만히 바라보다|견?
合っ|合う|あう|맞다·어울리다|합
抱きしめ|抱き締める|だきしめる|꼭 껴안다|포?
愛し合っ|愛し合う|あいしあう|서로 사랑하다|애합
出|出る|でる|나오다·나가다|출
守り|守る|まもる|지키다|수
絨毯|絨毯|じゅうたん|양탄자·융단|융담
乗っ|乗る|のる|타다|승
