# 한자 훈음 사전. 형식: 漢字|훈 음   (빌드가 누락을 검사한다)
一|하나 일
丈|어른 장
三|석 삼
上|위 상
不|아닐 불
世|인간 세
両|두 량
中|가운데 중
丸|둥글 환
主|주인 주
予|미리 예
事|일 사
互|서로 호
京|서울 경
人|사람 인
今|이제 금
仕|섬길 사
他|다를 타
付|붙을 부
代|대신할 대
以|써 이
仲|버금 중
休|쉴 휴
会|모일 회
伝|전할 전
似|닮을 사
低|낮을 저
住|살 주
体|몸 체
何|어찌 하
作|지을 작
使|하여금 사
例|법식 례
僕|종 복
元|으뜸 원
先|먼저 선
児|아이 아
入|들 입
全|온전할 전
公|공평할 공
共|한가지 공
冷|찰 랭
出|날 출
分|나눌 분
初|처음 초
判|판단할 판
別|다를 별
前|앞 전
割|벨 할
力|힘 력
助|도울 조
動|움직일 동
務|힘쓸 무
勝|이길 승
化|될 화
半|반 반
南|남녘 남
単|홑 단
原|언덕 원
友|벗 우
受|받을 수
可|옳을 가
台|대 대
合|합할 합
同|한가지 동
名|이름 명
周|두루 주
味|맛 미
呼|부를 호
命|목숨 명
和|화할 화
員|인원 원
嘘|거짓말 허
回|돌아올 회
囲|둘레 위
国|나라 국
在|있을 재
地|땅 지
報|갚을 보
場|마당 장
境|지경 경
士|선비 사
声|소리 성
変|변할 변
外|바깥 외
多|많을 다
夜|밤 야
大|큰 대
太|클 태
夫|지아비 부
失|잃을 실
奇|기이할 기
女|계집 녀
好|좋을 호
始|비로소 시
嫌|싫어할 혐
嬉|아름다울 희
字|글자 자
存|있을 존
安|편안할 안
完|완전할 완
定|정할 정
実|열매 실
客|손 객
家|집 가
小|작을 소
少|적을 소
屋|집 옥
山|메 산
市|저자 시
帰|돌아갈 귀
年|해 년
店|가게 점
度|법도 도
式|법 식
張|베풀 장
強|강할 강
当|마땅할 당
形|모양 형
役|부릴 역
彼|저 피
待|기다릴 대
後|뒤 후
心|마음 심
必|반드시 필
忘|잊을 망
応|응할 응
怖|두려울 포
思|생각할 사
急|급할 급
性|성품 성
悔|뉘우칠 회
悪|악할 악
情|뜻 정
愛|사랑 애
感|느낄 감
態|모습 태
慣|익숙할 관
慮|생각할 려
憶|생각할 억
懸|매달 현
成|이룰 성
戦|싸움 전
所|바 소
手|손 수
払|떨칠 불
押|누를 압
持|가질 지
振|떨칠 진
探|찾을 탐
推|밀 추
教|가르칠 교
文|글월 문
料|헤아릴 료
断|끊을 단
