# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석|화자(S=성시경 M=나카시마 미카 C=화면 자막)
1|［성시경의 만날텐데］|ソン・シギョンの あうだろうに||C
2|자, 오늘은 나카시마 미카 씨가 나오고 싶다고 해주셔서|さて きょうは なかじまみかさんが でたいと いってくれたので||S
3|저도 처음 뵙는 건데요|わたしも はじめて おあいするんですが||S
4|술은 못 드시고 삼계탕을 드시고 싶다고 하셔서|おさけは のめなくて サムゲタンを たべたいらしいので||S
5|삼계탕을 만들려다가 닭곰탕으로 했습니다. 고기는 전부 발라놨어요|サムゲタンを つくろうと おもったけど タッコムタンに しました にくは ぜんぶ ほぐしてあります||S
6|닭무침이랑 닭곰탕! 오늘은 진짜 제대로 된 식사예요|とりにくの あえものと タッコムタン きょうは ほんとうに ちゃんとした しょくじです||S
7|그런 의미에서|と いうことで||S
8|6월에 한국에서 콘서트를 하신다는데|ろくがつに かんこくで コンサートを されるようですが||S
9|한국에 대해 어떻게 생각하시는지|かんこくについて どう おもっているのか||S
10|인터뷰를 해보려고 합니다|インタビューを してみようと おもいます||S
11|［나카시마 미카를 만날텐데］|なかじまみかに あうだろうに||C
12|실례합니다|おじゃまします||M
13|어서 오세요|いらっしゃいませ||S
14|처음 뵙겠습니다|はじめまして||M
15|나카시마 미카입니다|なかじまみかです||M
16|실례합니다|おじゃまします||M
17|이건 뭔가요?|これは なんですか||S
18|라멘이랑|ラーメンと||M
19|술을 좋아하신다고 해서|おさけが おすきだと いうことで||M
20|제 고향 술이에요|わたしの しゅっしんちの おさけです||M
21|(고향이) 가고시마인가요?|しゅっしんが かごしまですか||S
22|네, 맞아요|はい そうです||M
23|좀 검색했어요|ちょっと けんさくしました||S
24|감사합니다|ありがとうございます||M
25|저는 위스키는 안 마시는데|わたしは ウイスキーは のまないんですけど||M
26|요즘 유행하는 것 같아서 가져왔어요|さいきん はやっているようなので もってきました||M
27|［선물 감사합니다］|プレゼント ありがとうございます||C
28|［오늘의 게스트 나카시마 미카］|きょうの ゲスト なかじまみか||C
29|삼계탕이 아니라 닭곰탕으로 했어요|サムゲタンでは なく タッコムタンに しました||S
30|그게 뭔가요?|それは なんですか||M
31|삼계탕은 닭이 통째로 들어 있고|サムゲタンは にわとりが まるごと はいっていて||S
32|찹쌀이랑 같이 끓이니까|もちごめと いっしょに にるから||S
33|전골 요리 같은 거네요|なべりょうり みたいな ものですね||M
34|조금 걸쭉하고 찹쌀이 들어 있어요|すこし とろみが あって もちごめが はいっています||S
35|닭곰탕은 그거의 좀 묽은 버전이랄까|タッコムタンは それの ちょっと うすい バージョンと いうか||S
36|담백하군요|あっさりしているんですね||M
37|한국 사람들은 집에서 이렇게 만들어 먹어요|かんこくの ひとたちは いえで こうやって つくって たべます||S
38|［닭곰탕］|タッコムタン||C
39|이렇게 훌륭한…|こんなに りっぱな||M
40|그건 드셔보고 나서 판단해 주세요|それは たべてみてから はんだんしてください||S
41|네, 잘 먹겠습니다|はい いただきます||M
42|드세요|どうぞ||S
43|김치도 아는 가게에 맛있는 게 있어서|キムチも しりあいの おみせで おいしいのが あったので||S
44|조금 매울지도 몰라요|ちょっと からいかも||S
45|정말요?|ほんとうですか||M
46|매운 거 괜찮으세요?|からいのは だいじょうぶですか||S
47|너무 매운 건 잘 못 먹지만 김치는 정말 좋아해요|からすぎるのは にがてですが キムチは だいすきです||M
48|와, 맛있다!|わあ おいしい||M
49|밥이 따로 나오네요|ごはんと べつに なってるんだ||M
50|따로 지었어요. 같이 넣으면 국물이 탁해져서|べつに たきました いっしょに いれると スープが よごれちゃうので||S
51|탁해진다기보다|よごれると いうか||S
52|걸쭉해져요|とろみが でます||S
53|［진짜 맛있다…］|ほんとうに おいしい||C
54|이것도 닭인가요?|これも にわとりですか||M
55|같은 닭이에요|おなじ にわとりです||S
56|(닭곰탕) 국물 맛을 진하게 내려고 닭을 넉넉히 넣어서|タッコムタンの スープの あじを こくする ために にわとりを おおめに いれたので||S
57|［닭무침도 한 입!］|とりにくの あえものも ひとくち||C
58|［맛있어요!］|おいしいです||C
59|［요리 솜씨가 좋으시네요］|りょうりの うでが いいですね||C
60|김치 매우려나? 먹어볼게요|キムチ からいかな いただいてみます||M
61|조금 매울지도 몰라요|すこし からいかも しれません||S
62|［어라?］|あれ||C
63|［안 맵네…］|からくないな||C
64|［윽］|ウッ||C
65|［뒤늦게 오는 매운맛］|あとから くる からさ||C
66|그래도 맛있어요|でも おいしいです||M
67|［한국어 하실 수 있어요?］|かんこくご できますか||C
68|자주, 다들 쓰는 말은|よく みなさんが つかう ことばは||M
69|무슨 말을 하는지는 알겠는데 대답을 못 해요|なにを いっているかは わかるけど かえせないです||M
70|나카시마 미카 씨는 한국에서 아주 유명해서|なかじまみかさんは かんこくで とても ゆうめいで||S
71|감사합니다|ありがとうございます||M
72|그것도 드문 일이랄까|それも めずらしいと いうか||S
73|아마 박효신 씨가|たぶん パク・ヒョシンさんが||S
74|그렇죠|そうですね||M
75|'눈의 꽃'을 커버한 게 너무 화제가 돼서|ゆきのはなを カバーしたのが バズりすぎて||S
76|그것도 있고, J-POP 좋아하는 분들은|それも ありますし ジェイポップが すきな かたは||S
77|훨씬 전부터 좋아했을 거라고 생각하지만|ずっと まえから すきだったと おもいますけど||S
78|［2000년대 J-POP의 대표적인 존재］|にせんねんだいの ジェイポップの だいひょうてきな そんざい||C
79|［'눈의 꽃' 원곡자로도 유명!］|ゆきのはなの げんきょくしゃと しても ゆうめい||C
80|［한국과 일본을 오가며 활발히 활동 중!］|かんこくと にほんを いきき しながら かっぱつに かつどうちゅう||C
81|그렇지 않은 사람들도 나카시마 미카를 알 정도로|そうでない ひとたちも なかじまみかを しっているくらい||S
82|한국에서 인지도가 있어요|かんこくで ちめいどが あります||S
83|감사하죠|ありがたいです||M
84|얼마 전에 '하마다 가요제'에 나갔는데|このまえ ハマダかようさいに でたんですが||S
85|'하마다 가요제'요?|ハマダかようさいですか||M
86|라는 일본 방송이 있어요|と いう にほんの ばんぐみが あるんですよ||S
87|하마다 씨가 MC를 하고 다 같이 노래하는|はまださんが エムシーを して みんなで うたう||S
88|거기서 단체곡으로 가사를 외워서|そこで だんたいきょくで かしを おぼえて||S
89|어느 파트가 나올지 모르는 상태에서|どの パートが でるか わからない じょうたいで||S
90|순서가 오면 그걸 전부 외워서 부르는, 그런 코너가 있어요|じゅんばんが きたら それを ぜんぶ おぼえて うたう そういう きかくが あるんですよ||S
91|외워야 하는 건가요?|おぼえなきゃ いけないんですか||M
92|그런 코너라 3분 정도 시간을 줘요|そういう きかくで さんぷんくらい じかんを くれます||S
93|거기서 '눈의 꽃'이 나와서|そこで ゆきのはなが でて||S
94|가사를 엄청 열심히 외웠던 기억이 있어요|かしを すごく がんばって おぼえた きおくが あります||S
95|［열심히 외운 '눈의 꽃' 가사］|いっしょうけんめい おぼえた ゆきのはなの かし||C
96|［지금도 기억하는 가사］|いまでも おぼえている かし||C
97|힘드셨겠네요|たいへんでしたね||M
98|그래도 정말 좋은 곡이에요|でも ほんとうに いい きょくです||S
99|제가 부르는 건 아니지만|わたしが うたってる わけじゃ ないけど||M
100|'미안하다, 사랑한다' 드라마도 보고|ごめん あいしてるの ドラマも みて||M
101|(제 노래를 커버해서) 그 드라마에|わたしの うたを カバーして その ドラマに||M
102|쓰였다는 게 감동이었어요|つかって もらえてるって かんどうしましたね||M
103|박효신 씨는 만나보셨어요?|パク・ヒョシンさんには あいましたか||S
104|아직 못 뵀는데요|まだ おあい できてないんですけど||M
105|그런 날이 올지 모르겠지만|そんな ひが くるか わからないけど||M
106|그분도 아무 데나 나오는 타입은 아니라서…|かれも どこにでも でる タイプじゃ ないので||S
107|뭐, 언젠가 기회가 되면|まあ いつかは きかいが あれば||M
108|이 방송 아마 보시겠죠?|この ばんぐみ たぶん みるでしょ||S
109|［미카 X 효신의 만남을 바라며］|みか かける ヒョシンの であいを ねがって||C
110|효신, 나카시마 씨는 만나야지|ヒョシン なかじまさんには あわなきゃ||S
111|언젠가!|いつか||M
112|한국은 몇 번째예요?|かんこくは なんかいめですか||S
113|일을 포함해서…|しごとを ふくめて||M
114|개인적으로도 왔었어서|プライベートでも きてたので||M
115|이제 몇 번인지 모르겠어요|もう なんかいか わからないです||M
116|［'제친구'에도 출연했었다!］|ジェチングにも しゅつえんしていた||C
117|콘서트는 이번이 처음이세요?|コンサートは こんかいが はじめてですか||S
118|［6월 13일 일산 킨텍스홀 '아시아 투어 2026' 공연 예정!］|ろくがつ じゅうさんにち イルサン キンテックスホール アジアツアー にせんにじゅうろく こうえん よてい||C
119|그렇게 큰 규모는 한국에서 해본 적 있으세요?|そんなに おおきな サイズは かんこくで やったこと ありますか||S
120|없어요|ないです||M
121|도전이네요|ちょうせんですね||S
122|아무도 안 오면 어떡하지…?|だれも こなかったら どうしよう||M
123|늘 불안해지지 않으세요?|いつも ふあんに なりませんか||S
124|네, 물론 그래요|はい もちろん そうです||M
125|막이 올라가고|まくが あがって||M
126|공연 전에 꿈을 꾸거든요…|こうえんまえに ゆめを みるんですよね||M
127|막이 올랐는데 아무도 없다거나|まくが あがったのに だれも いないとか||M
128|아직 못 외웠는데 무대에 나간다거나|まだ おぼえてないのに ステージに でるとか||M
129|네? 정말요?|え ほんとうですか||S
130|그런 꿈만 꿔요|そんな ゆめばかり みます||M
131|저 삼수했거든요|わたし さんろうしたんですよ||S
132|［삼수하던 때 늘 꾸던 악몽은］|さんろうしてた ときに いつも みた あくむは||C
133|아직 공부를 하나도 못 했는데|まだ ぜんぜん べんきょう できてないのに||S
134|인생이 걸린 시험을 보는|じんせいが かかった しけんを うける||S
135|책상에 앉아 있는 거예요|つくえに すわっているんです||S
136|하나도 모르겠어! 내 인생은 끝났다…|ぜんぜん わからない わたしの じんせいは おわった||S
137|커닝하려고 해도 시험 감독관이 엄청 감시하고 있고|カンニングしようと しても しけんかんとくに すごく かんしされてる||S
138|'어떡하지? 으악!' 하면서 깨요|どうしよう うわーって おきるんです||S
139|그 정도려나, 근데…|それくらいかな でも||S
140|귀엽지 않아요?|かわいくない||S
141|그거랑 비슷해요|それに ちかいです||M
142|가수가 콘서트에서 관객이 안 와서|かしゅが コンサートで かんきゃくが こなくて||M
143|무서워서 잠이 깨는 꿈을 자주 꿔요|こわくて めが さめる ゆめを しょっちゅう みます||M
144|아까 처음에 제가 말했죠?|さっき さいしょに わたしが いいましたよね||S
145|나카시마 미카는 J-POP 팬뿐 아니라 한국 사람은|なかじまみかは ジェイポップファンだけで なく かんこくじんは||S
146|누구나 '나카시마 미카 알아' 하는 느낌이니까요|だれでも なかじまみか しってるって かんじですから||S
147|감사합니다|ありがとうございます||M
148|오늘 같이 '노래할텐데'를 해도 좋았을 텐데|きょう いっしょに うたうだろうに しても よかったのに||S
149|제 노래 중에 아시는 노래 있으세요?|わたしの うたの なかで しっている うた ありますか||M
150|들어봐야 알 것 같아요|きかないと わからないです||S
151|죄송해요…|すいません||S
152|오히려 기뻐요|ぎゃくに うれしいです||M
153|정말요? 왜요?|ほんとうですか どうしてですか||S
154|제 입으로 말하기는 뭣하지만|じぶんで いうのも なんですが||M
155|한국에서는 엄청 알려져 있어서|かんこくでは すごく しられているので||M
156|정말요?|ほんとうですか||S
157|'당신 누구예요?' 소리를 들으면 왠지 기뻐요|あなた だれって いわれると なんか うれしいです||M
158|그 정도까지는 아니에요|そこまでは いかないですよ||S
159|저도 일본에서 활동 열심히 하고 있지만|わたしも にほんで かつどう がんばってますが||S
160|다시 한번 신인이 돼서|もういちど しんじんに なって||S
161|또 도전하는 게 굉장히 기쁘달까|また ちょうせんするのが すごく うれしいと いうか||S
162|맞아요, 서로 많이 아는 상태보다|そうですね いろいろ しっている じょうたいよりも||M
