# 형식: 種類|日本語|読み|韓国語|メモ   (E = 표현・문형, V = 단어)
# --- 표현 ---------------------------------------------------
E|出たいと言ってくれたので|でたいと いってくれたので|나오고 싶다고 해주셔서|〜と言ってくれる=~라고 말해 주다
E|食べたいらしいので|たべたいらしいので|드시고 싶다고 하셔서|〜らしい=~라고 한다(전문)
E|作ろうと思ったけど|つくろうと おもったけど|만들려고 했지만|〜(よ)うと思う=~하려고 하다
E|お邪魔します|おじゃまします|실례합니다(남의 집에 들어갈 때)|방문 인사 정형구
E|お酒がお好きだということで|おさけが おすきだと いうことで|술을 좋아하신다고 해서|〜ということで=~라고 해서
E|食べてみてから判断してください|たべてみてから はんだんしてください|드셔보고 나서 판단해 주세요|〜てから=~하고 나서
E|辛すぎるのは苦手です|からすぎるのは にがてです|너무 매운 건 잘 못 먹어요|〜すぎる=너무 ~하다, 苦手=질색
E|何を言っているかは分かるけど|なにを いっているかは わかるけど|무슨 말인지는 알겠지만|〜かは分かる=~인지는 알다
E|覚えなきゃいけないんですか|おぼえなきゃ いけないんですか|외워야 하는 건가요|〜なきゃいけない=~해야 한다
E|使ってもらえてるって感動しました|つかって もらえてるって かんどうしました|써주신다는 게 감동이었어요|〜てもらう=(남이) ~해 주다
E|まだお会いできてないんですけど|まだ おあい できてないんですけど|아직 뵙지 못했는데요|お会いできる=만나 뵐 수 있다(겸양 가능형)
E|誰も来なかったらどうしよう|だれも こなかったら どうしよう|아무도 안 오면 어떡하지|〜たらどうしよう=~하면 어쩌지
E|不安になりませんか|ふあんに なりませんか|불안해지지 않으세요|〜になる=~해지다
E|そんな夢ばかり見ます|そんな ゆめばかり みます|그런 꿈만 꿔요|〜ばかり=~만
E|聞かないと分からないです|きかないと わからないです|들어봐야 알아요|〜ないと分からない=~하지 않으면 모른다
E|自分で言うのもなんですが|じぶんで いうのも なんですが|제 입으로 말하기는 뭣하지만|겸손 표현
E|知らないことは知らないと言ってください|しらないことは しらないと いってください|모르는 건 모른다고 말해 주세요|〜と言う=~라고 말하다
E|それだけあればいいタイプ|それだけ あれば いい タイプ|그것만 있으면 되는 타입|〜さえあればいい 계열
E|ご飯さえ食べられればいい|ごはんさえ たべられれば いい|밥만 먹을 수 있으면 된다|〜さえ〜ば=~만 ~하면
E|一度に食べるわけではなくて|いちどに たべる わけでは なくて|한 번에 먹는 건 아니고|〜わけではない=~인 것은 아니다
E|旅行を兼ねて来た|りょこうを かねて きた|여행을 겸해서 왔다|〜を兼ねて=~을 겸해서
E|食べてほしいという気持ち|たべてほしいと いう きもち|먹었으면 하는 마음|〜てほしい=~해 주길 바라다
E|調べてみないといけませんね|しらべてみないと いけませんね|알아봐야겠네요|〜ないといけない=~해야 한다
E|気になるんですよね|きに なるんですよね|신경 쓰이거든요|気になる=신경 쓰이다
E|助けてもらってバスを借りて|たすけてもらって バスを かりて|도움을 받아 버스를 빌려서|〜てもらう+〜て 연결
E|なると決まってから上京した|なると きまってから じょうきょうした|되기로 정해지고 나서 상경했다|〜と決まる=~하기로 정해지다
E|「仮歌を歌ってくれ」と言われて|かりうたを うたってくれと いわれて|가이드 보컬을 불러 달라는 말을 듣고|수동 〜と言われる
E|考えもしなかった|かんがえも しなかった|생각도 못 했다|〜もしない=~조차 하지 않다
E|お金まで払って私を見に来てくれた|おかねまで はらって わたしを みに きてくれた|돈까지 내고 저를 보러 와줬다|〜まで=~까지, 〜に来る=~하러 오다
E|おっしゃる通り|おっしゃる とおり|말씀하신 대로|경어 おっしゃる + 〜通り
E|怖くてたまらないです|こわくて たまらないです|무서워서 견딜 수가 없어요|〜てたまらない=~해서 견딜 수 없다
E|満足のいく録画はなかった|まんぞくの いく ろくがは なかった|만족스러운 녹화는 없었다|満足のいく=만족스러운
E|慣れていないんです|なれていないんです|익숙하지 않아요|〜に慣れる=~에 익숙해지다
E|感覚がつかめない|かんかくが つかめない|감각이 안 잡힌다|つかめる=잡을 수 있다(가능형)
E|どうやって歌うんですか|どうやって うたうんですか|어떻게 노래해요|どうやって=어떻게(방법)
E|聞くしかないじゃないですか|きくしか ないじゃ ないですか|들을 수밖에 없잖아요|〜しかない=~할 수밖에 없다
E|両耳につけてしまうとちょっと不安になったりして|りょうみみに つけて しまうと ちょっと ふあんに なったりして|양쪽에 껴버리면 좀 불안해지기도 해서|〜たりして=~하기도 하고
E|途中で外しちゃいますね|とちゅうで はずしちゃいますね|중간에 빼버리게 되네요|〜ちゃう=〜てしまう의 구어
E|完璧に歌う必要はない|かんぺきに うたう ひつようは ない|완벽하게 부를 필요는 없다|〜必要はない=~할 필요는 없다
E|大目に見てください|おおめに みて ください|너그럽게 봐주세요|관용구
E|喜んでくれたらいいな|よろこんでくれたら いいな|기뻐해 주면 좋겠다|〜たらいいな=~하면 좋겠다
E|遠慮なく断ってください|えんりょなく ことわって ください|사양 말고 거절해 주세요|遠慮なく=사양 말고
E|来ていただけたら嬉しいです|きて いただけたら うれしいです|와주시면 기쁘겠습니다|겸양 〜ていただく
E|楽しみにしています|たのしみに しています|기대하고 있어요|楽しみにする=기대하다
E|来てくださってありがとうございます|きて くださって ありがとうございます|와주셔서 감사합니다|경어 〜てくださる
# --- 단어 ---------------------------------------------------
V|出身地|しゅっしんち|출신지·고향|
V|知名度|ちめいど|인지도|
V|番組|ばんぐみ|방송 프로그램|
V|歌詞|かし|가사|
V|生放送|なまほうそう|생방송|
V|観客|かんきゃく|관객|
V|緊張|きんちょう|긴장|
V|舞台|ぶたい|무대|
V|音響|おんきょう|음향|
V|楽器|がっき|악기|
V|上京|じょうきょう|상경|
V|作詞作曲|さくしさっきょく|작사 작곡|
V|事務所|じむしょ|소속사·사무소|
V|温泉|おんせん|온천|
V|田舎|いなか|시골|
V|小骨|こぼね|잔가시|
V|冷麺|れいめん|냉면|
V|白米|はくまい|흰쌀밥|
V|栄養|えいよう|영양|
V|雰囲気|ふんいき|분위기|
V|味付け|あじつけ|양념·간|
V|観光地|かんこうち|관광지|
V|情報|じょうほう|정보|
V|奇跡|きせき|기적|
V|性格|せいかく|성격|
V|環境|かんきょう|환경|
V|野外|やがい|야외|
V|形式|けいしき|형식|
