# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
会う,会い,会わ,会っ|会う|あう|만나다|회
今日|今日|きょう|오늘|금일
中島|ナカジマ|なかじま|나카시마(성)|
美嘉|ミカ|みか|미카(이름)|
出,出る|出る|でる|나오다·나가다|출
言っ,言い,言う,言わ,言え|言う|ゆう|말하다|언
私|私|わたくし|나·저|사
初めて|初めて|はじめて|처음|초
酒|酒|さけ|술|주
飲め,飲ま|飲む|のむ|마시다|음
食べ,食べよう,食べる|食べる|たべる|먹다|식
作ろう,作っ,作る|作る|つくる|만들다|작
思っ,思い,思う|思う|おもう|생각하다|사
肉|肉|にく|고기|육
全部|全部|ぜんぶ|전부|전부
鶏肉|鶏肉|けいにく|닭고기|계육
和え物|和え物|あえもの|무침|화물
本当|本当|ほんとう|정말·진짜|본당
食事|食事|しょくじ|식사|식사
月|月|つき|월·달|월
韓国|韓国|かんこく|한국|한국
邪魔|邪魔|じゃま|방해|사마
初めまして|初めまして|はじめまして|처음 뵙겠습니다|초
何|何|なん|무엇|하
好き|好き|すき|좋아함|호
出身|出身|しゅっしん|출신|출신
地|地|ち|땅·곳|지
鹿児島|カゴシマ|かごしま|가고시마(지명)|
検索|検索|けんさく|검색|검색
最近|最近|さいきん|요즘|최근
流行っ|流行る|はやる|유행하다|류행
持っ|持つ|もつ|들다·가지다|지
鶏|鶏|にわとり|닭|계
丸|丸|まる|통째·동그라미|환
入っ|入る|はいる|들어가다·들어 있다|입
もち米|糯米|もちごめ|찹쌀|나미
一緒|一緒|いっしょ|함께|일서
煮る|煮る|にる|끓이다·삶다|자
鍋|鍋|なべ|냄비|과
料理|料理|りょうり|요리|료리
少し|少し|すこし|조금|소
薄い|薄い|うすい|묽다·얇다|박
人|人|ひと|사람|인
家|家|いえ|집|가
立派|立派|りっぱ|훌륭함|립파
判断|判断|はんだん|판단|판단
知り合い|知り合い|しりあい|아는 사람|지합
店|店|みせ|가게|점
美味しい|美味しい|おいしい|맛있다|미미
辛い,辛,辛く|辛い|つらい|맵다|신
大丈夫|大丈夫|だいじょうぶ|괜찮음|대장부
苦手|苦手|にがて|잘 못함·질색|고수
大好き|大好き|だいすき|아주 좋아함|대호
ご飯|御飯|ごはん|밥|어반
別|別|べつ|별개·딱히|별
炊き|焚く|たく|(밥을) 짓다|분
入れる,入れ|入れる|いれる|넣다|입
汚れ,汚れる|汚れる|よごれる|탁해지다·더러워지다|오
同じ|同じ|おなじ|같음|동
味|味|あじ|맛|미
濃く|濃い|こい|진하다|농
多め|多め|おおめ|넉넉히|다
腕|腕|うで|솜씨·팔|완
後|後|あと|뒤·다음|후
来る,来|来る|くる|오다|래
語|語|ご|말·~어|어
皆|皆|みな|모두|개
使う,使っ,使わ,使い|使う|つかう|쓰다·사용하다|사
言葉|言葉|ことば|말|언엽
分かる,分から,分かり|分かる|わかる|알다|분
返せ|返す|かえす|되돌려주다·대답하다|반
有名|有名|ゆうめい|유명|유명
珍しい|珍しい|めずらしい|드물다·별일이다|진
雪|雪|ゆき|눈|설
華|花|はな|꽃|화
方|方|ほう|쪽·편|방
前|前|まえ|앞|전
年代|年代|ねんだい|연대|년대
代表|代表|だいひょう|대표|대표
的|的|まと|~적|적
存在|存在|そんざい|존재|존재
原曲|原曲|げんきょく|원곡|원곡
者|者|もの|~자(사람)|자
日本|日本|にっぽん|일본|일본
行き来|行き来|いきき|오감·왕래|행래
活発|活発|かっぱつ|활발|활발
活動|活動|かつどう|활동|활동
中|中|なか|안·중|중
知っ,知ら|知る|しる|알다|지
知名|知名|ちめい|지명(알려짐)|지명
度|度|ど|~번(횟수)|도
歌謡|歌謡|かよう|가요|가요
祭|祭|まつり|축제·~제|제
番組|番組|ばんぐみ|방송 프로그램|번조
浜田|ハマダ|はまだ|하마다(성)|
歌う,歌っ,歌える,歌わ,歌い,歌え|歌う|うたう|노래하다|가
団体|団体|だんたい|단체|단체
曲|曲|きょく|곡(노래)|곡
歌詞|歌詞|かし|가사|가사
覚え|覚える|おぼえる|기억하다|각
状態|状態|じょうたい|상태|상태
順番|順番|じゅんばん|차례|순번
企画|企画|きかく|기획|기화
分|分|ぶん|몫·분|분
時間|時間|じかん|시간|시간
頑張っ,頑張り|頑張る|がんばる|열심히 하다|완장
記憶|記憶|きおく|기억|기억
一生|一生|いっしょう|평생|일생
懸命|懸命|けんめい|열심|현명
今|今|いま|지금|금
大変|大変|たいへん|힘듦·큰일|대변
愛し|愛する|あいする|사랑하다|애
見,見る|見る|みる|보다|견
歌|歌|うた|노래|가
感動|感動|かんどう|감동|감동
日|日|ひ|날·해|일
彼|彼|かれ|그(사람)|피
機会|機会|きかい|기회|기회
多分|多分|たぶん|아마|다분
出会い|出会い|であい|만남|출회
願っ,願い|願う|ねがう|바라다·부탁하다|원
回|回|かい|회·번|회
目|目|め|~번째·눈|목
仕事|仕事|しごと|일·직업|사사
含め|含める|ふくめる|포함하다|함
出演|出演|しゅつえん|출연|출연
今回|今回|こんかい|이번|금회
一山|一山|ひとやま|일산(지명)|일산
公演|公演|こうえん|공연|공연
予定|予定|よてい|예정|예정
大きな|大きな|おおきな|큰|대
挑戦|挑戦|ちょうせん|도전|도전
誰|誰|だれ|누구|수
不安|不安|ふあん|불안|불안
幕|幕|まく|막|막
上がっ|上がる|あがる|오르다|상
夢|夢|ゆめ|꿈|몽
三|三|さん|셋·3|삼
浪|浪|なみ|재수(浪人)|랑
悪夢|悪夢|あくむ|악몽|악몽
全然|全然|ぜんぜん|전혀|전연
勉強|勉強|べんきょう|공부|면강
人生|人生|じんせい|인생|인생
試験|試験|しけん|시험|시험
受ける|受ける|うける|받다|수
机|机|つくえ|책상|궤
座っ|座る|すわる|앉다|좌
